protocol,tcp_bytes,quic_bytes,real_time,
6,73,,0.167152,
6,73,,0.663097,
6,0,,1.016635,
6,0,,1.016662,
6,129,,1.029068,
6,0,,1.061165,
6,0,,1.062393,
6,0,,1.202367,
6,0,,1.202376,
6,0,,1.20238,
6,0,,1.202384,
6,0,,1.20239,
6,0,,1.202394,
6,254,,1.240604,
6,0,,1.244025,
6,0,,1.246501,
6,0,,1.247981,
6,0,,1.249211,
6,0,,1.249464,
6,0,,1.249473,
6,0,,1.389263,
6,0,,1.389271,
6,517,,1.389276,
6,517,,1.389281,
6,0,,1.43363,
6,0,,1.435196,
6,1430,,1.493976,
6,1430,,1.494002,
6,1430,,1.49416,
6,1430,,1.494291,
6,931,,1.494297,
6,1430,,1.495311,
6,1430,,1.495438,
6,1430,,1.495552,
6,1430,,1.495667,
6,933,,1.495748,
6,0,,1.576519,
6,0,,1.576539,
6,0,,1.576545,
6,0,,1.576549,
6,0,,1.576554,
6,0,,1.576558,
6,517,,1.576563,
6,517,,1.576569,
6,0,,1.617952,
6,0,,1.620656,
6,1430,,1.678184,
6,1430,,1.678201,
6,1430,,1.678396,
6,1430,,1.678527,
6,933,,1.678536,
6,1430,,1.680766,
6,1430,,1.680856,
6,1430,,1.680987,
6,394,,1.68099,
6,73,,1.703127,
6,517,,1.763199,
6,517,,1.763209,
6,0,,1.80879,
6,0,,1.810007,
6,1430,,1.868968,
6,1430,,1.869094,
6,1430,,1.86921,
6,1430,,1.869323,
6,934,,1.869405,
6,1430,,1.870254,
6,1430,,1.870369,
6,1430,,1.870499,
6,1430,,1.870614,
6,933,,1.870622,
6,517,,1.950776,
6,517,,1.950784,
6,0,,1.950815,
6,110,,1.971606,
6,110,,1.973916,
6,0,,1.973929,
6,0,,1.997788,
6,0,,1.997808,
6,1430,,2.058147,
6,1430,,2.058165,
6,1430,,2.058362,
6,395,,2.058376,
6,1430,,2.058526,
6,1430,,2.058641,
6,1430,,2.058756,
6,1430,,2.058872,
6,932,,2.058875,
6,0,,2.138009,
6,0,,2.138018,
6,517,,2.138021,
6,517,,2.138025,
6,0,,2.179254,
6,0,,2.18485,
6,933,,2.264115,
6,110,,2.272316,
6,0,,2.280425,
6,110,,2.280438,
6,0,,2.280444,
6,517,,2.324311,
6,0,,2.324319,
6,517,,2.324323,
6,517,,2.324326,
6,0,,2.368313,
6,0,,2.369855,
6,0,,2.371425,
6,394,,2.479792,
6,933,,2.489182,
6,517,,2.511388,
6,0,,2.511399,
6,64,,2.511404,
6,92,,2.511408,
6,520,,2.511412,
6,31,,2.537716,
6,0,,2.555669,
6,0,,2.55568,
6,0,,2.555696,
6,608,,2.556127,
6,0,,2.558363,
6,934,,2.639999,
6,1046,,2.644553,
6,1430,,2.644683,
6,1430,,2.644798,
6,1430,,2.657645,
6,933,,2.660248,
6,1430,,2.670718,
6,1430,,2.683731,
6,1430,,2.69679,
6,0,,2.698649,
6,1235,,2.709812,
6,1430,,2.721118,
6,1430,,2.734157,
6,1430,,2.747215,
6,1430,,2.760251,
6,1430,,2.773301,
6,395,,2.819441,
6,0,,2.843503,
6,932,,2.844744,
6,0,,2.885475,
6,73,,2.990973,
6,0,,3.072734,
6,517,,3.072753,
6,517,,3.072759,
6,0,,3.113953,
6,0,,3.11955,
6,73,,3.225289,
6,520,,3.259816,
6,0,,3.259824,
6,517,,3.259828,
6,0,,3.28509,
6,0,,3.303926,
6,0,,3.324693,
6,110,,3.391435,
6,110,,3.394341,
6,0,,3.394367,
6,0,,3.447107,
6,64,,3.447114,
6,517,,3.447118,
6,517,,3.447122,
6,73,,3.457272,
6,0,,3.492591,
6,0,,3.492608,
6,608,,3.493047,
6,0,,3.494219,
6,1430,,3.632061,
6,517,,3.633243,
6,0,,3.63325,
6,1430,,3.641208,
6,1430,,3.67476,
6,1430,,3.674897,
6,1430,,3.675003,
6,0,,3.680252,
6,73,,3.687111,
6,933,,3.687781,
6,1430,,3.792085,
6,1430,,3.812349,
6,0,,3.820554,
6,0,,3.87214,
6,73,,3.921268,
6,1430,,3.971502,
6,1430,,3.974976,
6,1430,,3.996867,
6,0,,4.007984,
6,64,,4.008016,
6,0,,4.053634,
6,0,,4.194888,
6,0,,4.194895,
6,64,,4.194898,
6,92,,4.194901,
6,676,,4.194904,
6,0,,4.22042,
6,0,,4.236028,
6,0,,4.236111,
6,608,,4.236647,
6,31,,4.241696,
6,0,,4.349309,
6,129,,4.371785,
6,0,,4.381945,
6,1430,,4.426132,
6,1430,,4.42615,
6,394,,4.426215,
6,0,,4.568476,
6,56,,4.670061,
6,0,,4.755689,
6,252,,4.755697,
6,0,,4.785915,
6,491,,4.841146,
6,487,,4.843406,
6,70,,4.847829,
6,73,,4.881774,
6,73,,4.925748,
6,0,,4.942524,
6,64,,4.942533,
6,92,,4.942536,
6,0,,4.986432,
6,0,,4.986452,
6,608,,4.986875,
6,31,,4.991969,
6,0,,5.129232,
6,64,,5.129242,
6,73,,5.158994,
6,1430,,5.174973,
6,1430,,5.175087,
6,1430,,5.175136,
6,0,,5.17514,
6,934,,5.187977,
6,0,,5.316286,
6,254,,5.33657,
6,24,,5.365078,
6,73,,5.390954,
6,24,,5.502866,
6,0,,5.502885,
6,0,,5.503536,
6,266,,5.503542,
6,517,,5.503546,
6,517,,5.503549,
6,0,,5.533756,
6,0,,5.550595,
6,0,,5.55067,
6,70,,5.60894,
6,0,,5.690538,
6,0,,5.690545,
6,64,,5.690548,
6,92,,5.690551,
6,31,,5.725269,
6,0,,5.735982,
6,0,,5.736003,
6,608,,5.736469,
6,31,,5.741547,
6,409,,5.743842,
6,1430,,5.745906,
6,1430,,5.758983,
6,39,,5.76103,
6,892,,5.772567,
6,1430,,5.818455,
6,1430,,5.824916,
6,1430,,5.838052,
6,1430,,5.85115,
6,73,,5.855213,
6,1430,,5.86427,
6,0,,5.877363,
6,0,,5.907851,
6,1430,,5.924375,
6,1430,,5.924391,
6,1430,,5.924604,
6,933,,5.937373,
6,639,,5.958882,
6,0,,6.064828,
6,39,,6.1287,
6,39,,6.128711,
6,0,,6.251313,
6,676,,6.251324,
6,1430,,6.275508,
6,0,,6.276749,
6,1430,,6.300581,
6,1266,,6.438575,
6,0,,6.438583,
6,0,,6.469206,
6,31,,6.523172,
6,0,,6.62541,
6,64,,6.62542,
6,0,,6.62543,
6,408,,6.625434,
6,0,,6.650592,
6,0,,6.670362,
6,0,,6.672127,
6,608,,6.672592,
6,546,,6.694404,
