protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.21256,
6,0,,0.212565,
6,0,,0.702156,
6,0,,0.702172,
6,0,,0.704218,
6,0,,0.704462,
6,0,,1.074922,
6,0,,1.074931,
6,517,,1.074935,
6,517,,1.074938,
6,0,,1.074948,
6,0,,1.074953,
6,0,,1.074958,
6,0,,1.074963,
6,0,,1.074967,
6,0,,1.076758,
6,0,,1.077012,
6,0,,1.077053,
6,0,,1.077555,
6,0,,1.077564,
6,0,,1.077566,
6,0,,1.078042,
6,1430,,1.14353,
6,1430,,1.14355,
6,1430,,1.143746,
6,1430,,1.143877,
6,933,,1.14388,
6,1430,,1.146491,
6,1430,,1.14658,
6,1430,,1.14673,
6,1430,,1.146752,
6,933,,1.146933,
6,0,,1.26211,
6,0,,1.264107,
6,110,,1.267115,
6,0,,1.269866,
6,110,,1.270243,
6,0,,1.270264,
6,0,,1.448907,
6,0,,1.448914,
6,0,,1.448917,
6,0,,1.448921,
6,0,,1.448928,
6,517,,1.448932,
6,517,,1.448936,
6,0,,1.450854,
6,0,,1.450978,
6,110,,1.504846,
6,110,,1.509095,
6,0,,1.50911,
6,1430,,1.521125,
6,1430,,1.521188,
6,1430,,1.521338,
6,1430,,1.521469,
6,933,,1.521476,
6,1430,,1.521663,
6,1430,,1.521779,
6,1430,,1.52191,
6,1430,,1.522023,
6,932,,1.522028,
6,517,,1.636112,
6,517,,1.636121,
6,0,,1.638154,
6,0,,1.638401,
6,1430,,1.707671,
6,1430,,1.707691,
6,1430,,1.707898,
6,1430,,1.708028,
6,933,,1.708036,
6,1430,,1.70993,
6,1430,,1.710046,
6,1430,,1.710175,
6,395,,1.710184,
6,517,,1.823431,
6,0,,1.823453,
6,0,,1.823476,
6,517,,1.82348,
6,517,,1.823483,
6,0,,1.825304,
6,0,,1.825736,
6,0,,1.825832,
6,1430,,1.894831,
6,1430,,1.894855,
6,1430,,1.89505,
6,1430,,1.895165,
6,933,,1.89517,
6,933,,1.906678,
6,0,,2.01074,
6,110,,2.079138,
6,110,,2.083883,
6,0,,2.083911,
6,0,,2.197034,
6,0,,2.19704,
6,517,,2.197044,
6,517,,2.197047,
6,0,,2.198935,
6,0,,2.199105,
6,932,,2.272319,
6,933,,2.300782,
6,0,,2.302452,
6,517,,2.384353,
6,64,,2.384387,
6,92,,2.384399,
6,520,,2.384405,
6,0,,2.384415,
6,0,,2.384419,
6,0,,2.386201,
6,0,,2.386218,
6,0,,2.38627,
6,0,,2.386614,
6,608,,2.386786,
6,0,,2.386796,
6,31,,2.387786,
6,933,,2.465816,
6,997,,2.498843,
6,1430,,2.498976,
6,1430,,2.498986,
6,395,,2.501251,
6,1430,,2.511943,
6,1430,,2.524989,
6,1430,,2.538065,
6,1430,,2.551093,
6,1430,,2.564152,
6,0,,2.572453,
6,517,,2.572473,
6,517,,2.572477,
6,0,,2.57426,
6,0,,2.574976,
6,1430,,2.577169,
6,1430,,2.59023,
6,1430,,2.603251,
6,1430,,2.616333,
6,1430,,2.629349,
6,933,,2.702983,
6,0,,2.758187,
6,0,,2.94548,
6,520,,2.945491,
6,0,,2.947304,
6,0,,3.132347,
6,0,,3.132357,
6,64,,3.132361,
6,517,,3.132365,
6,0,,3.134294,
6,0,,3.134324,
6,608,,3.13473,
6,1430,,3.202271,
6,0,,3.319609,
6,517,,3.319619,
6,517,,3.319623,
6,0,,3.321641,
6,0,,3.321913,
6,1430,,3.424402,
6,0,,3.506662,
6,1430,,3.617912,
6,1430,,3.653415,
6,0,,3.692895,
6,1430,,3.855075,
6,0,,3.880234,
6,64,,3.880242,
6,0,,3.882177,
6,1430,,3.921903,
6,0,,4.06719,
