protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.358088,
6,0,,0.360909,
6,75,,0.361068,
6,143,,0.607405,
17,,1358,0.768489,
17,,83,0.768653,
17,,541,0.768802,
17,,101,0.768863,
17,,1358,0.837083,
17,,630,0.851678,
17,,34,0.851697,
17,,33,0.851827,
17,,1358,0.852952,
17,,1358,0.871452,
17,,119,0.871853,
17,,1358,0.876095,
17,,88,0.877035,
6,0,,0.881744,
6,0,,0.881768,
6,0,,0.881774,
17,,84,0.89449,
17,,41,0.894606,
17,,617,0.911775,
17,,94,0.911791,
17,,45,0.91196,
17,,45,0.912024,
17,,33,0.912031,
17,,41,0.912845,
17,,33,0.913048,
6,0,,0.921929,
6,0,,0.922406,
6,0,,0.926099,
17,,35,0.934535,
17,,35,0.934561,
17,,41,0.938764,
6,0,,1.067735,
6,0,,1.067747,
6,0,,1.067751,
6,0,,1.067754,
6,0,,1.067758,
6,0,,1.106504,
6,0,,1.107226,
6,0,,1.110422,
6,0,,1.11141,
6,0,,1.120507,
6,0,,1.25482,
6,0,,1.254835,
6,0,,1.254838,
6,517,,1.254842,
6,517,,1.254845,
6,0,,1.294796,
6,0,,1.295009,
6,1430,,1.354536,
6,1430,,1.354558,
6,1430,,1.354776,
6,1430,,1.354881,
6,933,,1.354895,
6,1430,,1.355077,
6,1430,,1.355218,
6,1430,,1.355322,
6,1430,,1.35544,
6,931,,1.355453,
6,517,,1.442626,
6,0,,1.442634,
6,0,,1.442638,
6,0,,1.442641,
6,0,,1.442644,
6,0,,1.442648,
6,517,,1.442654,
6,0,,1.48129,
6,0,,1.486396,
6,80,,1.501165,
6,1430,,1.54107,
6,1430,,1.541091,
6,1430,,1.541314,
6,1430,,1.541428,
6,932,,1.541436,
6,1430,,1.545557,
6,1430,,1.545687,
6,1430,,1.545782,
6,395,,1.545787,
6,517,,1.628941,
6,517,,1.62895,
6,517,,1.628955,
6,0,,1.668287,
6,0,,1.671516,
6,0,,1.672343,
6,1430,,1.727844,
6,1430,,1.727866,
6,1430,,1.72806,
6,394,,1.728069,
6,1430,,1.730482,
6,1430,,1.730586,
6,1430,,1.73073,
6,1430,,1.730845,
6,933,,1.730853,
6,1430,,1.731451,
6,1430,,1.731553,
6,1430,,1.731684,
6,1430,,1.731827,
6,932,,1.731836,
6,517,,1.816018,
6,0,,1.816042,
6,0,,1.868458,
6,0,,1.89615,
6,0,,1.897469,
6,1430,,1.927283,
6,1430,,1.927405,
6,1430,,1.927524,
6,1430,,1.927639,
6,931,,1.927644,
6,0,,1.968414,
6,0,,1.968443,
6,517,,1.968589,
6,0,,2.002845,
6,0,,2.002854,
6,517,,2.002857,
6,517,,2.002862,
6,0,,2.03888,
6,1430,,2.039832,
6,0,,2.039844,
6,1430,,2.039951,
6,0,,2.03996,
6,1430,,2.04011,
6,0,,2.040118,
6,1430,,2.040123,
6,0,,2.040126,
6,924,,2.040274,
6,0,,2.040282,
6,64,,2.040726,
6,208,,2.041283,
6,0,,2.042288,
6,0,,2.046662,
6,931,,2.110472,
6,0,,2.111564,
6,529,,2.112519,
6,87,,2.124708,
6,0,,2.124775,
6,34,,2.126324,
6,0,,2.164285,
6,517,,2.189705,
6,517,,2.189715,
6,0,,2.189719,
6,517,,2.189723,
6,63,,2.209807,
6,0,,2.228154,
6,0,,2.232315,
6,0,,2.242097,
6,932,,2.294738,
6,395,,2.318875,
6,110,,2.319154,
6,110,,2.322052,
6,0,,2.322065,
6,517,,2.377074,
6,0,,2.377084,
6,64,,2.377087,
6,92,,2.377091,
6,520,,2.377094,
6,31,,2.402245,
6,0,,2.41682,
