protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.000765,
6,0,,0.000796,
6,39,,0.012346,
6,129,,0.393867,
6,110,,0.495983,
6,110,,0.498971,
6,0,,0.498985,
6,0,,1.288157,
6,0,,1.288169,
6,0,,1.328426,
6,0,,1.331364,
6,0,,1.662387,
6,0,,1.662396,
6,517,,1.662399,
6,517,,1.662403,
6,0,,1.662413,
6,0,,1.662418,
6,0,,1.662422,
6,0,,1.702496,
6,0,,1.7029,
6,0,,1.702971,
6,0,,1.705575,
6,0,,1.707887,
6,1430,,1.763303,
6,1430,,1.763321,
6,1430,,1.763532,
6,1430,,1.763647,
6,933,,1.763656,
6,1430,,1.76561,
6,1430,,1.765708,
6,1430,,1.765828,
6,1430,,1.765957,
6,932,,1.765966,
6,0,,1.849033,
6,0,,1.849042,
6,0,,1.849046,
6,0,,1.887805,
6,0,,1.889493,
6,0,,1.894666,
6,0,,2.036166,
6,0,,2.036174,
6,0,,2.036178,
6,517,,2.036181,
6,517,,2.036185,
6,0,,2.076189,
6,0,,2.076771,
6,1430,,2.136741,
6,1430,,2.136864,
6,1430,,2.136981,
6,1430,,2.137095,
6,934,,2.137103,
6,1430,,2.137325,
6,1430,,2.137437,
6,1430,,2.137553,
6,1430,,2.137683,
6,933,,2.137694,
6,517,,2.222727,
6,0,,2.222738,
6,0,,2.267696,
6,1430,,2.32792,
6,1430,,2.327944,
6,1430,,2.328177,
6,393,,2.328186,
6,0,,2.410102,
6,932,,2.577039,
6,0,,2.597243,
6,1238,,2.737901,
6,0,,2.784233,
6,0,,2.784244,
6,517,,2.784248,
6,517,,2.784252,
6,0,,2.82406,
6,0,,2.82476,
6,129,,2.827239,
6,0,,2.910682,
6,0,,2.911664,
6,933,,2.912241,
6,0,,2.929414,
6,934,,2.949404,
6,517,,2.971418,
6,0,,2.971429,
6,0,,2.971433,
6,0,,2.971436,
6,64,,2.971441,
6,92,,2.971444,
6,519,,2.971447,
6,0,,2.971451,
6,31,,2.996903,
6,0,,3.010232,
6,0,,3.011578,
6,0,,3.011587,
6,0,,3.011695,
6,608,,3.011982,
6,0,,3.01199,
6,0,,3.016387,
6,0,,3.017101,
6,998,,3.108068,
6,1430,,3.108089,
6,1430,,3.108308,
6,393,,3.116583,
6,1430,,3.121237,
6,1430,,3.134349,
6,1430,,3.147406,
6,0,,3.158558,
6,1430,,3.160544,
6,110,,3.161731,
6,1430,,3.17365,
6,110,,3.185813,
6,0,,3.185845,
6,1430,,3.186756,
6,1430,,3.199861,
6,1430,,3.212971,
6,1430,,3.226042,
6,1430,,3.239162,
6,0,,3.345421,
6,0,,3.53256,
6,519,,3.53258,
6,0,,3.557017,
6,0,,3.719164,
6,0,,3.719173,
6,0,,3.719176,
6,0,,3.719179,
6,64,,3.719183,
6,517,,3.719186,
6,517,,3.719192,
6,0,,3.758225,
6,0,,3.759959,
6,0,,3.762149,
6,608,,3.762725,
6,1430,,3.818332,
6,1430,,3.820297,
6,110,,3.826419,
6,0,,3.865321,
6,110,,3.86575,
6,0,,3.865771,
6,517,,3.906446,
6,0,,3.906456,
6,517,,3.906461,
6,0,,3.95142,
6,0,,3.951879,
6,1430,,4.0116,
6,1430,,4.064266,
6,0,,4.09346,
6,1430,,4.268643,
6,0,,4.279829,
6,129,,4.406035,
6,0,,4.467132,
6,64,,4.467138,
6,1430,,4.494688,
6,0,,4.510127,
6,129,,4.622074,
6,0,,4.654409,
6,64,,4.654418,
6,92,,4.654421,
6,0,,4.694165,
6,0,,4.694188,
6,608,,4.694537,
6,31,,4.694541,
6,1430,,4.831433,
6,1266,,4.841591,
6,675,,4.841602,
6,0,,4.841607,
6,1430,,4.849096,
6,0,,4.866175,
6,1430,,4.88247,
6,1430,,4.882491,
6,1430,,4.882712,
6,0,,4.886511,
6,933,,4.895456,
6,4,,5.002773,
6,1430,,5.022204,
6,0,,5.027832,
6,546,,5.110665,
6,1430,,5.116411,
6,770,,5.123789,
6,142,,5.13077,
6,39,,5.13202,
6,129,,5.191998,
6,0,,5.215224,
6,0,,5.402475,
6,0,,5.402484,
6,0,,5.402495,
6,64,,5.402498,
6,92,,5.402501,
6,252,,5.402504,
6,0,,5.40251,
6,0,,5.442981,
6,0,,5.443001,
6,0,,5.443003,
6,608,,5.443509,
6,0,,5.446524,
6,0,,5.446533,
6,31,,5.44859,
6,110,,5.499831,
6,110,,5.502408,
6,0,,5.502423,
6,500,,5.504605,
6,503,,5.506357,
6,70,,5.510929,
6,0,,5.589133,
6,64,,5.589142,
6,0,,5.632128,
6,1430,,5.634318,
6,1430,,5.634448,
6,393,,5.634456,
6,0,,5.776396,
6,0,,5.962902,
6,445,,5.968752,
6,0,,6.149906,
6,0,,6.149914,
6,0,,6.149918,
6,0,,6.149921,
6,64,,6.149924,
6,92,,6.149927,
6,0,,6.19482,
6,0,,6.194837,
6,608,,6.195409,
6,31,,6.200404,
6,70,,6.304186,
6,0,,6.337389,
6,0,,6.337398,
6,0,,6.337402,
6,0,,6.337458,
6,0,,6.381398,
6,0,,6.381419,
6,0,,6.523887,
6,0,,6.523897,
6,0,,6.5239,
6,0,,6.523903,
6,0,,6.523906,
6,31,,6.523909,
6,1430,,6.54859,
6,1430,,6.555118,
6,0,,6.567892,
6,1430,,6.568214,
6,0,,6.711465,
6,517,,6.711475,
6,517,,6.711479,
6,0,,6.750123,
6,0,,6.751797,
6,517,,6.89832,
6,0,,6.898329,
6,0,,6.898333,
6,0,,6.943729,
6,31,,6.956248,
17,,1358,7.085085,
6,317,,7.085098,
6,0,,7.085119,
6,0,,7.114208,
17,,1358,7.125815,
17,,1358,7.185291,
17,,1358,7.185304,
17,,1358,7.185519,
17,,1358,7.185528,
17,,1358,7.271744,
6,0,,7.271756,
6,0,,7.271759,
17,,1358,7.311734,
17,,342,7.31178,
6,39,,7.365255,
6,0,,7.428144,
6,0,,7.43699,
6,0,,7.459191,
6,317,,7.459199,
6,0,,7.48362,
17,,1358,7.611919,
6,608,,7.632728,
6,0,,7.645916,
17,,1358,7.645925,
17,,1358,7.685737,
6,0,,7.833133,
6,64,,7.833141,
6,266,,7.833183,
6,1430,,7.839352,
6,1430,,7.856909,
6,0,,7.876092,
6,0,,7.87909,
6,0,,8.020313,
6,1430,,8.030123,
6,360,,8.110488,
6,1430,,8.112304,
6,1430,,8.125385,
6,892,,8.138349,
6,110,,8.187207,
6,110,,8.189655,
6,0,,8.18967,
6,1430,,8.192128,
6,1430,,8.198665,
6,0,,8.207551,
6,1430,,8.211724,
6,1430,,8.224821,
6,1430,,8.237892,
6,1430,,8.250948,
17,,1358,8.286045,
6,0,,8.3945,
6,0,,8.394507,
6,0,,8.394511,
6,408,,8.394515,
6,0,,8.434894,
6,0,,8.438497,
6,0,,8.438506,
6,999,,8.486065,
6,0,,8.581535,
6,1139,,8.608469,
6,31,,8.699534,
6,0,,8.768494,
6,110,,8.866733,
6,0,,8.86977,
6,110,,8.870433,
6,0,,8.870443,
6,1422,,8.955016,
6,0,,8.994976,
17,,1358,9.142298,
6,0,,9.14231,
6,0,,9.142319,
17,,1358,9.182204,
6,0,,9.32955,
6,1430,,9.368355,
6,394,,9.368375,
6,0,,9.468271,
6,0,,9.515806,
6,422,,9.515816,
6,1430,,9.556281,
6,1430,,9.556406,
6,934,,9.55641,
6,1418,,9.561075,
6,0,,9.702883,
6,1430,,9.748572,
6,1430,,9.74859,
6,934,,9.748687,
6,0,,9.889957,
6,573,,9.930455,
6,0,,10.077242,
6,1430,,10.122447,
6,0,,10.264124,
17,,1358,10.382573,
6,0,,10.445208,
6,0,,10.451425,
6,0,,10.451434,
6,1430,,10.476145,
6,0,,10.499997,
6,110,,10.503021,
6,110,,10.505306,
6,0,,10.505319,
6,0,,10.638646,
6,0,,10.638653,
17,,1358,10.825437,
6,0,,11.012716,
6,0,,11.012724,
6,0,,11.198984,
6,31,,11.198994,
6,0,,11.238728,
6,0,,11.269668,
6,0,,11.386002,
6,0,,11.573263,
6,408,,11.573273,
6,422,,11.573277,
6,0,,11.582842,
6,0,,11.613643,
6,0,,11.618228,
6,824,,11.744781,
6,0,,11.760342,
6,0,,11.947066,
6,0,,11.947074,
6,0,,11.947077,
6,0,,11.94708,
6,39,,11.947083,
6,0,,11.986819,
6,0,,12.134158,
6,0,,12.134167,
6,0,,12.13417,
6,0,,12.134173,
6,0,,12.134176,
6,517,,12.134179,
6,517,,12.134185,
6,31,,12.134189,
6,35,,12.134193,
6,0,,12.174618,
6,0,,12.174638,
6,0,,12.177995,
6,0,,12.178156,
6,1430,,12.238227,
6,1430,,12.238519,
6,0,,12.320787,
6,0,,12.508042,
6,1430,,12.553181,
6,0,,12.69516,
6,0,,12.695168,
6,39,,12.695171,
6,0,,12.734851,
6,1430,,12.74035,
6,1430,,12.746867,
6,0,,12.882017,
6,0,,12.882027,
6,0,,12.882031,
6,0,,12.882034,
6,0,,12.882038,
6,1126,,12.996716,
6,0,,13.06903,
6,1430,,13.093921,
6,1430,,13.100435,
6,0,,13.128516,
6,110,,13.189988,
6,110,,13.192039,
6,0,,13.192066,
6,1430,,13.252528,
6,0,,13.25581,
6,1430,,13.261159,
6,1430,,13.280504,
6,1430,,13.28705,
6,360,,13.355941,
6,0,,13.443079,
6,0,,13.443092,
