protocol,tcp_bytes,quic_bytes,real_time,
6,39,,0.186904,
6,73,,0.197821,
6,1363,,0.580224,
6,0,,0.686616,
6,0,,0.686627,
6,0,,0.68931,
6,0,,0.689487,
6,110,,0.882365,
6,110,,0.88848,
6,0,,0.888506,
6,125,,0.892035,
6,25,,0.978114,
6,33,,0.992175,
6,0,,1.06075,
6,0,,1.06076,
6,517,,1.060764,
6,517,,1.060767,
6,0,,1.060778,
6,0,,1.060784,
6,0,,1.060788,
6,0,,1.063585,
6,0,,1.063611,
6,0,,1.064052,
6,0,,1.064071,
6,0,,1.064073,
6,1430,,1.133496,
6,1430,,1.133627,
6,1430,,1.133744,
6,1430,,1.133859,
6,933,,1.133872,
6,1430,,1.137146,
6,1430,,1.137268,
6,1430,,1.137383,
6,1430,,1.137481,
6,933,,1.137563,
6,0,,1.247504,
6,0,,1.24752,
6,0,,1.247524,
6,0,,1.250099,
6,0,,1.250122,
6,0,,1.250125,
6,0,,1.434439,
6,0,,1.43445,
6,0,,1.434453,
6,517,,1.434457,
6,517,,1.43446,
6,0,,1.436975,
6,0,,1.436982,
6,1238,,1.450711,
6,1430,,1.505138,
6,1430,,1.505156,
6,1430,,1.505383,
6,1430,,1.505476,
6,933,,1.505485,
6,1430,,1.508448,
6,1430,,1.508579,
6,1430,,1.50859,
6,394,,1.508692,
6,0,,1.567162,
6,517,,1.621943,
6,0,,1.621967,
6,0,,1.624302,
6,53,,1.629586,
6,1430,,1.693933,
6,1430,,1.693948,
6,1430,,1.694162,
6,1430,,1.694293,
6,931,,1.694301,
6,25,,1.77163,
6,0,,1.778512,
6,0,,1.808552,
6,110,,1.852107,
6,0,,1.86804,
6,110,,1.870316,
6,0,,1.870333,
6,73,,1.925793,
6,933,,1.928184,
6,0,,1.986435,
6,0,,1.99538,
6,0,,2.182614,
6,0,,2.18262,
6,517,,2.182623,
6,517,,2.182627,
6,0,,2.190619,
6,0,,2.190876,
6,24,,2.216231,
6,0,,2.260441,
6,0,,2.266096,
6,933,,2.284127,
6,0,,2.30102,
6,394,,2.311794,
6,517,,2.369878,
6,64,,2.369885,
6,92,,2.369888,
6,520,,2.369891,
6,0,,2.369895,
6,0,,2.369899,
6,0,,2.369904,
6,0,,2.369908,
6,0,,2.371966,
6,0,,2.372278,
6,0,,2.372286,
6,0,,2.372288,
6,0,,2.372537,
6,608,,2.372616,
6,0,,2.372637,
6,0,,2.373022,
6,31,,2.373206,
6,0,,2.402504,
6,1238,,2.466721,
6,110,,2.466963,
6,133,,2.468037,
6,73,,2.47682,
6,110,,2.480345,
6,0,,2.480367,
6,931,,2.487265,
6,996,,2.500983,
6,1430,,2.501004,
6,1430,,2.501224,
6,1430,,2.514038,
6,1430,,2.527178,
6,1238,,2.538694,
6,1430,,2.540306,
6,1430,,2.553396,
6,0,,2.556574,
6,1430,,2.566475,
6,25,,2.56746,
6,1430,,2.57958,
6,1430,,2.592695,
6,1430,,2.605795,
6,1430,,2.618916,
6,1430,,2.632041,
6,73,,2.697567,
6,0,,2.743354,
6,0,,2.766284,
6,0,,2.874608,
6,0,,2.876703,
6,0,,2.876729,
6,228,,2.876805,
6,0,,2.880535,
6,1694,,2.880846,
6,0,,2.880856,
6,0,,2.880858,
6,0,,2.881217,
6,0,,2.883162,
6,73,,2.913569,
6,0,,2.930366,
6,520,,2.930374,
6,0,,2.932836,
6,0,,3.117399,
6,0,,3.117408,
6,0,,3.117411,
6,0,,3.117415,
6,64,,3.117422,
6,517,,3.117426,
6,517,,3.117429,
6,0,,3.122457,
6,608,,3.123155,
6,0,,3.123164,
6,0,,3.123845,
6,1430,,3.190115,
6,1430,,3.190348,
6,33,,3.232262,
6,0,,3.250416,
6,517,,3.304598,
6,0,,3.304605,
6,517,,3.304609,
6,0,,3.3067,
6,0,,3.307033,
6,73,,3.345634,
6,1430,,3.378843,
6,56,,3.433063,
6,1430,,3.463947,
6,0,,3.491848,
6,1430,,3.639422,
6,0,,3.678611,
6,0,,3.797751,
6,0,,3.865887,
6,64,,3.865897,
6,0,,3.867925,
6,1430,,3.919673,
6,0,,4.052938,
6,64,,4.052945,
6,92,,4.052948,
6,0,,4.055069,
6,0,,4.055077,
6,608,,4.055418,
6,31,,4.055431,
6,25,,4.135701,
6,73,,4.217369,
6,1430,,4.220697,
6,1266,,4.239891,
6,676,,4.2399,
6,0,,4.239904,
6,1430,,4.242365,
6,0,,4.242374,
6,1430,,4.242538,
6,394,,4.242543,
6,1430,,4.244796,
6,0,,4.247451,
6,0,,4.426727,
6,0,,4.426735,
6,1430,,4.441372,
6,595,,4.486332,
6,1430,,4.486953,
6,823,,4.499437,
6,200,,4.506827,
6,0,,4.614028,
6,0,,4.614038,
6,64,,4.614041,
6,92,,4.614044,
6,266,,4.614047,
6,0,,4.614053,
6,0,,4.616135,
6,0,,4.616144,
6,0,,4.616218,
6,0,,4.616383,
6,608,,4.616631,
6,0,,4.616645,
6,31,,4.621749,
6,1024,,4.650696,
6,0,,4.716565,
6,0,,4.801082,
6,1430,,4.803611,
6,1430,,4.803723,
6,1430,,4.803855,
6,931,,4.816542,
6,408,,4.856714,
6,1430,,4.85871,
6,1430,,4.87179,
6,892,,4.884774,
6,0,,4.914486,
6,1430,,4.942251,
6,1430,,4.948788,
6,1430,,4.961836,
6,1430,,4.974989,
6,0,,4.988182,
6,64,,4.988192,
6,1430,,4.98988,
6,0,,4.990296,
6,129,,5.124751,
6,0,,5.17441,
6,0,,5.361665,
6,0,,5.361672,
6,64,,5.361675,
6,92,,5.361678,
6,0,,5.36395,
6,0,,5.363992,
6,608,,5.364487,
6,73,,5.366644,
6,31,,5.369576,
6,129,,5.381823,
6,0,,5.548962,
6,0,,5.548968,
6,0,,5.548972,
6,0,,5.548976,
6,0,,5.551025,
6,73,,5.58531,
6,0,,5.642004,
6,0,,5.661815,
6,0,,5.735604,
6,0,,5.735612,
6,0,,5.735616,
6,0,,5.735619,
6,1430,,5.738029,
6,0,,5.738108,
6,73,,5.809425,
6,53,,5.811564,
6,110,,5.889365,
6,110,,5.891628,
6,0,,5.891642,
6,0,,5.922567,
6,0,,5.922578,
6,0,,5.922581,
6,0,,5.922584,
6,0,,5.922587,
6,31,,5.92259,
6,1430,,5.924898,
6,1430,,5.931487,
6,0,,5.944449,
6,1430,,5.944687,
6,73,,5.945327,
6,0,,6.109551,
6,517,,6.109561,
6,517,,6.109567,
6,0,,6.111702,
6,0,,6.111848,
6,31,,6.13507,
6,73,,6.249358,
6,517,,6.297277,
6,0,,6.297287,
6,0,,6.29729,
6,0,,6.299408,
17,,1358,6.483732,
6,316,,6.483742,
6,0,,6.483755,
6,0,,6.490366,
6,648,,6.529138,
6,1430,,6.535681,
6,0,,6.58598,
17,,1358,6.671134,
6,0,,6.671145,
6,252,,6.671159,
6,0,,6.678589,
6,74,,6.695961,
6,200,,6.700032,
6,541,,6.746179,
6,487,,6.748702,
6,70,,6.753012,
6,294,,6.811503,
6,0,,6.85812,
6,316,,6.858127,
6,0,,6.860197,
6,110,,6.870995,
6,25,,6.880161,
6,0,,6.884592,
6,110,,6.885016,
6,0,,6.885029,
17,,1358,6.974278,
6,608,,6.984021,
6,0,,7.045071,
17,,1358,7.04508,
17,,1358,7.04773,
6,1430,,7.228673,
6,64,,7.231846,
6,0,,7.231852,
6,0,,7.2339,
6,1430,,7.252575,
6,53,,7.268509,
6,25,,7.399519,
6,0,,7.41891,
6,1430,,7.449417,
6,110,,7.481573,
6,110,,7.489314,
6,0,,7.489329,
6,0,,7.606141,
6,0,,7.60615,
6,422,,7.606155,
6,1180,,7.606391,
6,0,,7.608438,
6,0,,7.608591,
17,,1358,7.648125,
6,0,,7.753629,
6,0,,7.793231,
6,0,,7.793249,
6,0,,7.795442,
6,0,,7.980171,
6,1422,,8.167082,
6,0,,8.169367,
6,80,,8.222405,
6,0,,8.353663,
17,,1358,8.353673,
17,,1358,8.356248,
6,0,,8.540576,
6,0,,8.540581,
6,0,,8.727812,
6,1430,,8.730167,
6,1430,,8.730297,
6,931,,8.730305,
6,1047,,8.839646,
6,0,,8.914885,
6,408,,8.914896,
6,1430,,8.917446,
6,1430,,8.917568,
6,931,,8.917579,
6,0,,8.917582,
6,0,,9.101919,
6,1430,,9.104267,
6,394,,9.104277,
6,0,,9.288606,
6,1430,,9.290996,
6,1430,,9.297517,
6,892,,9.310481,
6,0,,9.475832,
6,557,,9.478249,
17,,1358,9.556534,
6,0,,9.65882,
6,0,,9.662998,
6,701,,9.699275,
6,0,,9.850118,
6,0,,9.850126,
6,1430,,9.852481,
6,0,,10.036434,
6,0,,10.036443,
6,1430,,10.038735,
6,0,,10.223529,
17,,1358,10.223538,
6,1430,,10.225797,
6,0,,10.411208,
6,1430,,10.413542,
6,0,,10.597443,
6,31,,10.597453,
6,0,,10.599508,
6,0,,10.784838,
6,0,,10.784849,
6,422,,10.784852,
6,0,,10.787075,
6,110,,10.892366,
6,110,,10.895477,
6,0,,10.89549,
6,0,,10.972111,
6,408,,10.972118,
6,0,,10.974628,
6,0,,11.158527,
6,0,,11.158534,
6,0,,11.158537,
6,0,,11.158541,
6,517,,11.158544,
6,39,,11.158547,
6,31,,11.15855,
6,0,,11.160472,
6,0,,11.160597,
6,0,,11.160737,
6,1430,,11.229567,
6,0,,11.34588,
6,517,,11.345887,
6,0,,11.345892,
6,0,,11.348115,
6,1430,,11.416609,
6,0,,11.532891,
6,0,,11.720123,
6,110,,11.885924,
6,0,,11.889205,
6,129,,11.889781,
6,110,,11.889911,
6,0,,11.889922,
6,0,,11.907128,
6,0,,11.907135,
6,0,,11.907139,
6,39,,11.907142,
6,31,,11.907148,
6,0,,11.909169,
6,1430,,11.909475,
6,1430,,11.915983,
6,0,,11.928748,
6,0,,12.084601,
6,1180,,12.087405,
6,0,,12.093603,
6,31,,12.213148,
6,129,,12.229637,
6,0,,12.280906,
6,1430,,12.281456,
6,0,,12.367419,
6,46,,12.372412,
6,1430,,12.425838,
6,0,,12.468025,
6,110,,12.490023,
6,110,,12.507021,
6,0,,12.507036,
6,323,,12.559598,
6,323,,12.559896,
6,323,,12.560765,
6,323,,12.561392,
6,323,,12.561666,
6,323,,12.561963,
6,323,,12.562537,
6,323,,12.563158,
6,0,,12.65534,
6,0,,12.69139,
6,0,,12.841548,
6,1430,,12.84384,
6,0,,13.02911,
6,347,,13.029122,
6,0,,13.03119,
6,1430,,13.031523,
6,0,,13.129073,
6,0,,13.146617,
6,0,,13.148359,
6,75,,13.148513,
6,51,,13.157842,
6,0,,13.159058,
6,1051,,13.162423,
6,0,,13.203012,
6,0,,13.215395,
6,1430,,13.217716,
6,0,,13.38232,
6,0,,13.402872,
6,1430,,13.405268,
6,1039,,13.5589,
6,0,,13.589645,
6,0,,13.589651,
6,0,,13.589654,
6,0,,13.589657,
17,,1358,13.764377,
6,0,,13.777209,
6,0,,13.777218,
6,1430,,13.77966,
6,1430,,13.786061,
6,1430,,13.799124,
6,25,,13.799536,
6,1430,,13.812166,
6,1430,,13.825281,
6,1430,,13.83835,
6,1430,,13.851471,
6,0,,13.856886,
6,0,,13.856895,
6,1430,,13.864547,
6,1430,,13.882814,
6,1430,,13.890664,
6,0,,14.15109,
6,517,,14.1511,
6,0,,14.153004,
6,1430,,14.153385,
6,1430,,14.159937,
6,1430,,14.173057,
6,1430,,14.186169,
6,305,,14.22226,
6,305,,14.222264,
6,73,,14.327516,
6,0,,14.337476,
6,0,,14.337489,
6,517,,14.337492,
6,0,,14.339631,
6,557,,14.33993,
6,0,,14.340212,
6,0,,14.358304,
6,0,,14.52451,
6,31,,14.524517,
6,0,,14.524521,
6,0,,14.524532,
6,0,,14.524535,
6,0,,14.524538,
6,1430,,14.526893,
6,1430,,14.526911,
6,0,,14.526913,
6,0,,14.526916,
6,249,,14.533264,
6,1430,,14.533391,
6,73,,14.540357,
6,39,,14.571979,
6,64,,14.617791,
6,0,,14.711549,
6,0,,14.711557,
6,0,,14.711561,
6,39,,14.711564,
6,0,,14.713793,
6,73,,14.755204,
6,46,,14.766799,
1,17,,1358,14.898824
6,0,,15.086276,
6,73,,15.180323,
1,17,,1358,15.272683
6,0,,15.272693,
6,35,,15.272698,
6,0,,15.27498,
6,0,,15.275077,
6,1430,,15.289493,
6,249,,15.303473,
6,0,,15.397763,
6,1430,,15.43382,
6,0,,15.460081,
6,0,,15.460115,
6,0,,15.462417,
6,0,,15.571523,
6,0,,15.646745,
6,0,,15.833998,
6,110,,15.895987,
6,110,,15.89859,
6,0,,15.898604,
6,0,,16.020932,
6,0,,16.020942,
6,73,,16.051336,
1,17,,1358,16.207754
6,0,,16.207765,
6,0,,16.207767,
6,0,,16.293071,
6,31,,16.309148,
1,17,,1358,16.395015
6,73,,16.395699,
6,0,,16.467827,
6,0,,16.581472,
6,0,,16.768768,
6,0,,16.768778,
6,64,,16.768781,
6,0,,16.771113,
6,305,,16.781809,
6,110,,16.890416,
6,0,,16.902938,
6,110,,16.903036,
6,0,,16.903046,
6,0,,16.95555,
6,0,,17.142691,
6,0,,17.329507,
6,0,,17.329514,
6,0,,17.331705,
6,110,,17.507624,
6,0,,17.517029,
6,64,,17.517037,
6,0,,17.517041,
6,0,,17.519219,
6,0,,17.519446,
6,110,,17.523456,
6,0,,17.523475,
6,0,,17.703715,
6,0,,17.703722,
6,64,,17.703725,
6,0,,17.706007,
6,73,,17.779321,
6,0,,17.891017,
6,0,,18.077652,
6,35,,18.077661,
6,0,,18.079884,
6,0,,18.264909,
6,0,,18.264917,
6,129,,18.436526,
1,17,,1358,18.452416
6,0,,18.452428,
6,24,,18.686624,
6,129,,18.737847,
6,0,,18.825955,
6,0,,18.825965,
6,1430,,18.828254,
6,1430,,18.834804,
6,1430,,18.847884,
6,1430,,18.861022,
6,1430,,18.875516,
6,1430,,18.891002,
6,1430,,18.903749,
6,1430,,18.917025,
6,0,,18.927639,
6,1430,,18.929654,
6,1430,,18.94286,
6,1430,,18.955934,
6,1430,,18.968648,
6,0,,19.012841,
6,0,,19.200104,
6,31,,19.20011,
6,105,,19.200113,
6,0,,19.200125,
6,0,,19.212108,
6,0,,19.212568,
6,0,,19.212577,
6,56,,19.327854,
6,0,,19.365198,
6,0,,19.386421,
6,0,,19.386435,
6,1430,,19.388511,
6,29,,19.388521,
6,0,,19.389039,
6,0,,19.41351,
6,0,,19.441038,
6,0,,19.539927,
6,0,,19.574044,
6,1430,,19.576486,
6,29,,19.576495,
6,0,,19.760814,
6,0,,19.948052,
6,0,,20.135208,
6,0,,20.135219,
6,0,,20.137637,
6,1430,,20.167704,
6,0,,20.263226,
6,0,,20.32184,
6,0,,20.321864,
6,0,,20.323902,
6,0,,20.441428,
6,0,,20.483977,
6,0,,20.509159,
6,359,,20.604883,
6,0,,20.694848,
6,0,,20.695458,
6,1430,,20.697811,
6,1430,,20.704335,
6,1430,,20.717428,
6,0,,20.882756,
6,0,,20.882766,
6,0,,20.882769,
6,0,,20.882772,
6,0,,20.885022,
6,0,,20.88508,
6,0,,20.885504,
6,110,,20.899392,
6,110,,20.905514,
6,0,,20.905526,
6,0,,21.05646,
6,24,,21.160255,
6,0,,21.168141,
6,0,,21.177719,
6,0,,21.256935,
6,0,,21.256945,
6,1430,,21.25954,
6,0,,21.259551,
6,0,,21.330343,
6,0,,21.352563,
6,0,,21.443888,
6,0,,21.443905,
6,1430,,21.44614,
6,0,,21.446161,
6,1430,,21.452746,
6,1430,,21.465804,
6,1430,,21.478893,
6,1430,,21.491987,
6,1430,,21.505059,
6,1430,,21.518184,
6,1430,,21.531168,
6,249,,21.544135,
6,0,,21.630388,
6,0,,21.817601,
6,110,,21.904286,
6,0,,21.923496,
6,110,,21.9299,
6,0,,21.929915,
6,0,,22.00483,
6,0,,22.192121,
6,0,,22.192131,
6,0,,22.194718,
6,0,,22.379057,
6,0,,22.379065,
6,0,,22.381748,
6,0,,22.441339,
17,,36,22.458057,
6,110,,22.524396,
6,110,,22.528182,
6,0,,22.528196,
6,0,,22.566097,
6,0,,22.753062,
6,0,,22.753068,
6,64,,22.753072,
6,0,,22.755549,
6,0,,22.939398,
6,0,,23.127358,
6,0,,23.313888,
6,39,,23.313898,
6,116,,23.313902,
6,1430,,23.316292,
6,1430,,23.322848,
6,0,,23.335933,
6,64,,23.501119,
6,105,,23.501127,
6,0,,23.503491,
6,0,,23.503886,
6,0,,23.688156,
6,64,,23.688166,
6,1430,,23.6907,
6,0,,23.69071,
6,1430,,23.698771,
6,1430,,23.710417,
6,1430,,23.723492,
6,0,,24.061971,
6,0,,24.061979,
6,517,,24.061982,
6,0,,24.061987,
6,0,,24.064954,
6,1430,,24.13491,
6,0,,24.240243,
6,0,,24.248467,
6,0,,24.401951,
6,0,,24.43614,
6,0,,24.436148,
6,0,,24.436152,
6,517,,24.436155,
6,39,,24.436159,
6,0,,24.438123,
6,1430,,24.438416,
6,0,,24.438424,
6,1430,,24.507471,
6,0,,24.622767,
6,0,,24.622776,
17,,1358,24.622786,
6,1430,,24.625189,
6,0,,24.809501,
6,0,,24.809507,
6,0,,24.809514,
6,0,,24.809519,
6,0,,24.809522,
6,0,,24.809526,
6,0,,24.810665,
6,0,,24.810675,
6,0,,24.811889,
6,0,,24.812136,
17,,1358,24.996533,
6,0,,24.996544,
6,198,,24.996548,
6,0,,24.998747,
6,0,,25.117874,
6,0,,25.117888,
6,0,,25.183806,
6,0,,25.183821,
6,0,,25.183824,
6,0,,25.183829,
6,0,,25.183834,
6,1430,,25.189184,
6,0,,25.370573,
17,,1358,25.370583,
6,1430,,25.555908,
6,0,,25.558073,
6,0,,25.55808,
6,39,,25.558085,
6,0,,25.55926,
6,0,,25.560136,
6,0,,25.619265,
6,0,,25.619268,
6,0,,25.619536,
6,0,,25.619539,
6,0,,25.744465,
6,0,,25.744474,
6,0,,25.745539,
6,110,,25.906283,
6,110,,25.911378,
6,0,,25.911401,
6,0,,25.931864,
6,198,,25.931875,
6,0,,25.933957,
6,129,,26.053854,
6,0,,26.119172,
6,0,,26.11918,
6,1430,,26.122518,
6,0,,26.122598,
6,0,,26.306113,
6,0,,26.30612,
6,1430,,26.308394,
6,0,,26.308404,
6,25,,26.343781,
6,0,,26.441268,
6,0,,26.493338,
6,1430,,26.495756,
17,,1358,26.680165,
6,0,,26.680175,
6,1430,,26.682758,
17,,1358,26.682869,
6,0,,26.867095,
6,1430,,26.86947,
6,0,,26.929183,
6,110,,26.930579,
6,0,,26.933364,
6,110,,26.936172,
6,0,,26.936184,
6,517,,27.05379,
6,0,,27.05583,
6,0,,27.142511,
6,39,,27.152843,
6,0,,27.241041,
6,1430,,27.243522,
6,1430,,27.250147,
6,0,,27.358544,
6,0,,27.427481,
6,0,,27.427488,
6,517,,27.427492,
6,517,,27.427496,
6,0,,27.429467,
6,0,,27.429639,
6,31,,27.483977,
6,1430,,27.499425,
6,110,,27.529156,
6,110,,27.531494,
6,0,,27.531507,
6,0,,27.581712,
6,0,,27.614925,
6,0,,27.614933,
6,0,,27.614936,
6,0,,27.61494,
6,517,,27.61495,
6,64,,27.614953,
6,92,,27.614956,
6,0,,27.614961,
6,0,,27.614964,
6,0,,27.616108,
6,0,,27.617082,
6,0,,27.617112,
6,1430,,27.617423,
6,1430,,27.685927,
6,0,,27.773895,
6,0,,27.782497,
6,0,,27.802475,
6,0,,27.802491,
6,0,,27.802497,
6,64,,27.802502,
6,0,,27.80251,
6,0,,27.803634,
6,0,,27.804827,
6,0,,27.98877,
6,0,,28.176462,
6,1430,,28.197258,
6,0,,28.36256,
6,1430,,28.528222,
6,0,,28.549436,
17,,1358,28.549444,
6,1430,,28.563896,
6,62,,28.583553,
6,0,,28.654496,
6,1430,,28.69026,
6,0,,28.736433,
6,0,,28.736441,
6,354,,28.736445,
6,0,,28.739014,
6,0,,28.924231,
6,0,,28.924239,
6,0,,28.924243,
6,0,,28.924247,
6,0,,28.926516,
6,0,,29.110503,
6,0,,29.110513,
6,0,,29.298101,
6,0,,29.485104,
6,0,,29.485112,
6,0,,29.485122,
6,0,,29.487389,
6,0,,29.487886,
6,46,,29.538249,
6,73,,29.556552,
6,46,,29.639498,
6,0,,29.671602,
6,73,,29.770367,
6,0,,29.8588,
6,0,,29.858814,
6,0,,29.861215,
6,73,,29.986144,
6,0,,30.04555,
6,0,,30.232782,
6,0,,30.382479,
6,73,,30.41008,
6,0,,30.420109,
6,0,,30.420116,
6,0,,30.42012,
6,0,,30.420123,
6,517,,30.420127,
6,0,,30.422277,
6,0,,30.538792,
6,0,,30.607036,
6,517,,30.607047,
6,0,,30.609099,
6,0,,30.609531,
6,73,,30.625645,
6,0,,30.794195,
6,0,,30.794206,
6,1430,,30.796475,
6,0,,30.796558,
6,1430,,30.803073,
6,73,,30.839725,
6,110,,30.911941,
6,110,,30.914045,
6,0,,30.914059,
6,0,,30.980658,
6,1430,,30.983022,
6,73,,31.047632,
6,0,,31.167643,
6,1430,,31.170095,
6,73,,31.298301,
17,,1358,31.352822,
17,,86,31.352993,
6,0,,31.354546,
6,1430,,31.356871,
17,,1358,31.381729,
17,,1358,31.42696,
17,,630,31.426968,
17,,86,31.427321,
17,,41,31.427387,
17,,855,31.427531,
17,,91,31.429785,
17,,37,31.430334,
17,,42,31.430551,
6,73,,31.463446,
6,1430,,31.536166,
6,0,,31.541382,
6,0,,31.54139,
6,0,,31.542492,
6,1430,,31.543735,
6,1430,,31.698237,
17,,629,31.722536,
17,,43,31.722736,
17,,36,31.727908,
6,0,,31.729086,
6,0,,31.729095,
6,0,,31.729099,
6,0,,31.729103,
6,0,,31.730511,
6,1430,,31.731207,
6,50,,31.731221,
17,,41,31.753642,
6,0,,31.82146,
6,0,,31.915718,
6,1430,,31.91813,
6,1430,,31.924667,
6,110,,31.93742,
6,1430,,31.937741,
6,0,,31.942034,
6,110,,31.942044,
6,0,,31.942051,
6,1430,,31.950831,
6,1430,,31.963946,
6,1430,,31.977063,
6,1430,,31.990172,
6,0,,32.102479,
6,1430,,32.104656,
6,50,,32.104665,
6,0,,32.290042,
6,0,,32.290051,
6,0,,32.290054,
6,0,,32.290057,
6,517,,32.29006,
6,517,,32.290064,
6,0,,32.290071,
6,0,,32.291209,
6,0,,32.291378,
6,1430,,32.292471,
6,1460,,32.292568,
6,1460,,32.29287,
6,1430,,32.299028,
6,73,,32.319737,
6,0,,32.477081,
6,0,,32.477091,
6,0,,32.479603,
6,110,,32.532673,
6,110,,32.536107,
6,0,,32.536175,
6,0,,32.663513,
6,0,,32.663523,
6,0,,32.663526,
6,0,,32.851117,
6,0,,32.851129,
6,0,,32.853424,
6,0,,32.887169,
6,73,,33.026288,
6,0,,33.037428,
6,0,,33.037437,
6,1430,,33.039751,
6,1430,,33.046292,
6,1430,,33.059398,
6,1430,,33.072511,
6,1460,,33.34131,
6,1460,,33.341985,
6,0,,33.411821,
6,1430,,33.414202,
6,1430,,33.42072,
