protocol,tcp_bytes,quic_bytes,real_time,
6,110,,0.209241,
6,0,,0.213143,
6,110,,0.213826,
6,0,,0.213848,
6,0,,0.64121,
6,0,,0.664512,
6,0,,0.664535,
6,0,,0.708629,
6,0,,0.7096,
6,0,,0.850766,
6,0,,0.850776,
6,0,,0.890745,
6,0,,0.90452,
6,0,,1.037821,
6,0,,1.037847,
6,517,,1.037854,
6,517,,1.037859,
6,0,,1.037877,
6,0,,1.037881,
6,0,,1.037886,
6,0,,1.03789,
6,0,,1.078537,
6,0,,1.07874,
6,0,,1.081778,
6,0,,1.082696,
6,0,,1.082762,
6,0,,1.083174,
6,1430,,1.141669,
6,1430,,1.141789,
6,1430,,1.141904,
6,1430,,1.142018,
6,931,,1.1421,
6,1430,,1.142654,
6,1430,,1.142756,
6,1430,,1.142887,
6,1430,,1.143003,
6,931,,1.143005,
6,0,,1.205247,
6,0,,1.206273,
6,75,,1.206618,
6,0,,1.225223,
6,0,,1.225232,
6,517,,1.225236,
6,517,,1.22524,
6,0,,1.265124,
6,0,,1.278828,
6,1430,,1.324944,
6,1430,,1.324974,
6,1430,,1.325171,
6,395,,1.325188,
6,1430,,1.338735,
6,1430,,1.338842,
6,1430,,1.338956,
6,394,,1.33896,
6,0,,1.41216,
6,0,,1.412171,
6,0,,1.412174,
6,0,,1.412178,
6,517,,1.412181,
6,517,,1.412185,
6,0,,1.452642,
6,0,,1.453079,
6,1430,,1.512564,
6,1430,,1.512707,
6,1430,,1.512805,
6,1430,,1.512937,
6,932,,1.512946,
6,1430,,1.513248,
6,1430,,1.513346,
6,1430,,1.513477,
6,1430,,1.513594,
6,932,,1.513606,
6,517,,1.598817,
6,517,,1.598828,
6,0,,1.598844,
6,0,,1.643073,
6,0,,1.643433,
17,,86,1.645477,
17,,41,1.671296,
6,1430,,1.703059,
6,1430,,1.703077,
6,1430,,1.703286,
6,1430,,1.703418,
6,932,,1.703426,
6,1430,,1.703614,
6,1430,,1.703729,
6,1430,,1.703861,
6,1430,,1.703975,
6,933,,1.703983,
6,517,,1.786195,
6,0,,1.786206,
6,517,,1.78621,
6,517,,1.786213,
6,0,,1.830491,
6,0,,1.830842,
6,0,,1.839686,
6,0,,1.86333,
6,0,,1.864246,
6,931,,1.919841,
6,0,,1.936258,
6,0,,1.936288,
6,517,,1.936435,
6,0,,1.973336,
6,517,,1.973347,
6,0,,2.008164,
6,1430,,2.009019,
6,0,,2.009029,
6,1430,,2.009149,
6,0,,2.009152,
6,1430,,2.009264,
6,0,,2.009266,
6,1430,,2.009395,
6,0,,2.009397,
6,923,,2.009399,
6,0,,2.009401,
6,64,,2.009799,
6,208,,2.010215,
6,0,,2.013198,
6,395,,2.08021,
6,0,,2.081907,
6,529,,2.082562,
6,87,,2.087889,
6,0,,2.087956,
6,34,,2.088856,
6,394,,2.096669,
6,0,,2.128322,
6,0,,2.159894,
6,0,,2.159902,
6,517,,2.159906,
6,517,,2.15991,
6,64,,2.159913,
6,92,,2.159916,
6,0,,2.200278,
6,0,,2.20032,
6,0,,2.203877,
6,0,,2.203935,
6,608,,2.204346,
6,31,,2.204368,
6,932,,2.278096,
6,932,,2.290741,
6,519,,2.346962,
6,0,,2.346972,
6,517,,2.346977,
6,0,,2.37688,
6,0,,2.400491,
6,0,,2.404309,
6,0,,2.474989,
6,1047,,2.484302,
6,1430,,2.484355,
6,1430,,2.484537,
6,1430,,2.497448,
6,932,,2.498688,
6,1430,,2.510554,
6,933,,2.514276,
6,1430,,2.523595,
6,0,,2.533774,
6,517,,2.533781,
6,517,,2.533786,
6,1430,,2.536683,
6,1430,,2.549759,
6,1430,,2.562834,
6,1430,,2.575894,
6,0,,2.57803,
6,0,,2.578392,
6,1430,,2.588967,
6,1430,,2.602031,
6,1430,,2.615105,
6,0,,2.721358,
6,0,,2.908103,
6,519,,2.908113,
6,0,,2.933129,
6,0,,2.955954,
6,0,,2.958434,
6,0,,3.094801,
6,64,,3.094812,
6,0,,3.139614,
6,608,,3.14001,
6,1430,,3.232391,
6,1430,,3.248387,
6,0,,3.282581,
6,517,,3.282588,
6,517,,3.282593,
6,1430,,3.322586,
6,1430,,3.322608,
6,395,,3.322711,
6,0,,3.322975,
6,0,,3.322984,
6,1430,,3.430174,
6,1430,,3.44252,
6,0,,3.468684,
6,1430,,3.650774,
6,0,,3.655943,
6,0,,3.655952,
6,64,,3.655956,
6,92,,3.655958,
6,266,,3.655961,
6,517,,3.655977,
6,1430,,3.666337,
6,110,,3.686828,
6,31,,3.686918,
6,110,,3.690719,
6,0,,3.690732,
6,0,,3.695644,
6,0,,3.695654,
6,0,,3.695742,
6,608,,3.696076,
6,0,,3.700276,
6,517,,3.84353,
6,0,,3.843538,
6,64,,3.843606,
6,1430,,3.887619,
6,0,,3.888086,
6,0,,3.888376,
6,1430,,3.897358,
6,1430,,3.897385,
6,394,,3.897496,
6,408,,3.898302,
6,1430,,3.900306,
6,1430,,3.913459,
6,892,,3.926501,
6,1430,,3.983529,
6,1430,,3.99009,
6,1430,,4.003229,
6,1430,,4.016378,
6,1430,,4.03002,
6,0,,4.03012,
6,675,,4.030128,
6,0,,4.055261,
6,80,,4.178099,
6,0,,4.216843,
6,0,,4.21685,
6,64,,4.216853,
6,0,,4.270261,
6,608,,4.270695,
6,0,,4.403768,
6,1430,,4.444488,
6,1430,,4.444509,
6,1430,,4.444715,
6,932,,4.457498,
6,110,,4.557847,
6,110,,4.569561,
6,0,,4.569598,
6,0,,4.590744,
6,64,,4.590753,
6,0,,4.644252,
6,0,,4.778003,
6,1430,,4.816979,
6,0,,4.965486,
6,64,,4.965495,
6,0,,5.010278,
6,0,,5.152594,
6,64,,5.152602,
6,92,,5.152605,
6,0,,5.192901,
6,0,,5.192921,
6,608,,5.19341,
6,31,,5.198491,
6,110,,5.214173,
6,0,,5.218683,
6,110,,5.21939,
6,0,,5.219405,
6,608,,5.231764,
6,0,,5.338858,
6,1430,,5.379435,
6,1430,,5.379458,
6,1430,,5.379675,
6,932,,5.39244,
6,0,,5.525701,
6,0,,5.712777,
6,252,,5.89967,
6,0,,5.89968,
6,0,,5.928235,
6,1430,,5.954794,
6,1430,,5.970342,
6,31,,5.973429,
6,541,,5.983938,
6,518,,5.986409,
6,39,,5.990974,
6,639,,6.063504,
6,0,,6.086719,
6,0,,6.086738,
6,64,,6.086742,
6,92,,6.086745,
6,64,,6.086749,
6,0,,6.086754,
6,0,,6.127014,
6,0,,6.127037,
6,608,,6.127448,
6,0,,6.131513,
6,0,,6.131523,
6,31,,6.13257,
6,0,,6.140206,
6,0,,6.274473,
6,675,,6.274486,
6,422,,6.274493,
6,0,,6.298694,
6,0,,6.29953,
6,1430,,6.318966,
6,1430,,6.318987,
6,1430,,6.33207,
6,932,,6.345086,
6,0,,6.460752,
6,0,,6.648324,
6,1266,,6.834863,
6,0,,6.834873,
6,0,,6.834876,
6,0,,6.864574,
6,31,,6.88292,
6,64,,7.022203,
6,0,,7.022212,
6,0,,7.022216,
6,608,,7.039963,
6,0,,7.066373,
6,0,,7.066623,
6,608,,7.066817,
6,1430,,7.066985,
6,1430,,7.067099,
6,1430,,7.080104,
6,933,,7.093115,
6,596,,7.102819,
6,1430,,7.105893,
6,697,,7.118657,
6,1047,,7.120917,
6,148,,7.124948,
6,0,,7.143584,
6,0,,7.208803,
6,64,,7.20881,
6,0,,7.208815,
6,64,,7.208819,
6,0,,7.252986,
6,0,,7.253446,
6,0,,7.253646,
6,445,,7.293216,
6,446,,7.300209,
6,0,,7.395923,
6,1180,,7.445115,
6,608,,7.535752,
6,0,,7.582962,
6,61,,7.74101,
6,0,,7.770688,
6,64,,7.770697,
6,0,,7.81518,
6,608,,7.815654,
6,0,,7.957474,
6,0,,7.957499,
6,0,,7.957504,
6,252,,7.95751,
6,0,,7.981139,
6,1430,,7.982133,
6,1430,,7.988459,
6,892,,8.001444,
6,608,,8.06663,
6,0,,8.083148,
6,0,,8.144364,
6,0,,8.144373,
6,64,,8.144378,
6,1047,,8.169585,
6,1430,,8.17437,
6,1430,,8.187431,
6,0,,8.188988,
6,46,,8.197564,
6,31,,8.1976,
6,0,,8.197679,
6,1430,,8.200516,
6,0,,8.330783,
6,0,,8.330793,
6,31,,8.330797,
6,557,,8.354545,
6,0,,8.355701,
6,1235,,8.363151,
6,0,,8.518042,
6,1430,,8.543285,
6,1430,,8.549816,
6,0,,8.624347,
6,110,,8.691923,
6,110,,8.696203,
6,0,,8.696218,
6,0,,8.705424,
17,,1358,8.705437,
17,,1358,8.75037,
6,608,,8.786805,
17,,1358,8.809846,
17,,1358,8.809866,
17,,1358,8.810073,
17,,1358,8.810081,
6,46,,8.859289,
6,31,,8.859295,
6,0,,8.859519,
6,317,,8.892286,
6,0,,8.892308,
6,64,,8.892312,
6,0,,8.917236,
6,1430,,8.917487,
6,0,,8.945724,
17,,1358,9.079002,
17,,1358,9.123453,
17,,335,9.123469,
6,77,,9.144461,
6,0,,9.255686,
6,1266,,9.265878,
6,0,,9.265887,
6,0,,9.265891,
6,0,,9.265895,
6,0,,9.265899,
6,317,,9.265902,
6,0,,9.27219,
6,0,,9.29067,
6,1430,,9.291308,
6,0,,9.297513,
6,0,,9.310515,
6,0,,9.31077,
17,,1358,9.42434,
6,0,,9.452862,
6,0,,9.452872,
17,,1358,9.452877,
6,1430,,9.47809,
17,,1358,9.497306,
6,110,,9.570723,
6,110,,9.573102,
6,0,,9.573129,
6,0,,9.63978,
6,1430,,9.665001,
6,77,,9.772153,
6,0,,9.827325,
6,422,,9.827336,
6,0,,9.851499,
6,1430,,9.852549,
6,1430,,9.859087,
6,1430,,9.872136,
6,1430,,9.885235,
6,1430,,9.898267,
6,1430,,9.911419,
6,1430,,9.924461,
6,1430,,9.937491,
6,1430,,9.950609,
6,1430,,9.963658,
6,1430,,9.976757,
6,1430,,9.989814,
6,1430,,10.002903,
6,0,,10.0141,
6,1430,,10.03933,
6,1430,,10.045849,
17,,1358,10.098132,
6,77,,10.174454,
6,0,,10.201368,
6,110,,10.219776,
6,0,,10.223634,
6,110,,10.224302,
6,0,,10.224326,
6,1430,,10.226596,
6,1430,,10.233118,
6,64,,10.388493,
6,0,,10.388502,
6,1430,,10.413742,
6,1430,,10.420255,
6,0,,10.432665,
6,1,,10.54669,
6,0,,10.575478,
6,1430,,10.600709,
6,1430,,10.607143,
17,,1358,10.762436,
6,0,,10.76245,
6,1430,,10.78787,
6,77,,10.802171,
17,,1358,10.806875,
6,0,,11.136432,
6,0,,11.136441,
6,408,,11.136444,
6,0,,11.160094,
6,1430,,11.161753,
6,1422,,11.323109,
6,0,,11.323121,
6,0,,11.347422,
6,1430,,11.347718,
6,0,,11.347953,
6,0,,11.510228,
6,0,,11.697462,
6,1430,,11.721839,
6,0,,11.883587,
6,0,,11.883596,
6,1430,,11.908122,
