protocol,tcp_bytes,quic_bytes,real_time,
6,701,,0.856538,
6,0,,0.884882,
6,0,,0.884892,
6,0,,0.887378,
6,0,,0.887388,
6,0,,1.072542,
6,0,,1.072554,
6,0,,1.072559,
6,0,,1.072564,
6,0,,1.074879,
6,0,,1.074891,
6,0,,1.074893,
6,0,,1.075373,
6,110,,1.089445,
6,0,,1.091615,
6,110,,1.092137,
6,0,,1.092156,
6,0,,1.259642,
6,0,,1.259651,
6,517,,1.259655,
6,517,,1.259658,
6,0,,1.259668,
6,0,,1.259672,
6,0,,1.2621,
6,0,,1.262109,
6,0,,1.262151,
6,0,,1.262156,
6,1430,,1.32918,
6,1430,,1.329193,
6,1430,,1.329405,
6,1430,,1.32954,
6,932,,1.329549,
6,1430,,1.332113,
6,1430,,1.332244,
6,1430,,1.332252,
6,1430,,1.332444,
6,931,,1.332525,
6,0,,1.445765,
6,0,,1.445776,
6,0,,1.445779,
6,0,,1.445784,
6,517,,1.445788,
6,517,,1.445792,
6,0,,1.44798,
6,0,,1.448141,
6,1430,,1.51503,
6,1430,,1.515052,
6,1430,,1.515273,
6,394,,1.515281,
6,1430,,1.518221,
6,1430,,1.518335,
6,1430,,1.51845,
6,1430,,1.518582,
6,933,,1.51859,
6,517,,1.632828,
6,517,,1.632839,
6,0,,1.632856,
6,0,,1.632859,
6,0,,1.635075,
6,0,,1.635306,
6,1430,,1.701991,
6,1430,,1.702116,
6,1430,,1.702231,
6,1430,,1.70236,
6,933,,1.702369,
6,1430,,1.704084,
6,1430,,1.704199,
6,1430,,1.704313,
6,395,,1.704326,
6,517,,1.820112,
6,517,,1.820121,
6,0,,1.82014,
6,0,,1.822331,
6,0,,1.822483,
6,0,,1.856501,
6,0,,1.857626,
17,,85,1.888498,
17,,41,1.890098,
6,1430,,1.89336,
6,1430,,1.89347,
6,1430,,1.893602,
6,1430,,1.893717,
6,933,,1.893721,
6,1430,,1.893912,
6,1430,,1.894043,
6,1430,,1.894168,
6,1430,,1.894282,
6,933,,1.894386,
6,0,,1.929684,
6,0,,1.929718,
6,517,,1.929889,
6,0,,2.001716,
6,1430,,2.002797,
6,0,,2.002809,
6,1430,,2.002899,
6,0,,2.002905,
6,1430,,2.003014,
6,0,,2.003019,
6,1430,,2.003128,
6,0,,2.003133,
6,922,,2.003135,
6,0,,2.003136,
6,64,,2.003794,
6,208,,2.004227,
6,0,,2.007473,
6,517,,2.00748,
6,0,,2.009701,
6,0,,2.075861,
6,529,,2.076942,
6,87,,2.085504,
6,0,,2.085593,
6,34,,2.086994,
6,0,,2.126332,
6,931,,2.131445,
6,110,,2.13161,
6,110,,2.134132,
6,0,,2.134146,
6,0,,2.194475,
6,517,,2.194482,
6,517,,2.194485,
6,0,,2.196602,
6,0,,2.196783,
6,394,,2.299272,
6,933,,2.326795,
6,517,,2.380724,
6,517,,2.380734,
6,517,,2.380737,
6,0,,2.380743,
6,0,,2.380746,
6,0,,2.382953,
6,0,,2.38312,
6,0,,2.383133,
6,0,,2.390326,
6,0,,2.460758,
6,933,,2.47113,
6,395,,2.48906,
6,64,,2.568181,
6,92,,2.568188,
6,520,,2.568192,
6,0,,2.568196,
6,0,,2.570378,
6,0,,2.570387,
6,0,,2.570411,
6,608,,2.57089,
6,31,,2.571387,
6,933,,2.645502,
6,933,,2.691024,
6,1047,,2.692084,
6,1430,,2.692196,
6,1430,,2.692327,
6,1430,,2.705293,
6,1430,,2.718414,
6,1430,,2.731583,
6,1430,,2.744682,
6,0,,2.754661,
6,1430,,2.757839,
6,1430,,2.770968,
6,1430,,2.78411,
6,1430,,2.797251,
6,1430,,2.810351,
6,1430,,2.823505,
6,0,,2.942142,
6,110,,3.114223,
6,110,,3.117834,
6,0,,3.117848,
6,0,,3.129526,
6,517,,3.129535,
6,520,,3.129539,
6,0,,3.131789,
6,0,,3.131799,
6,0,,3.316165,
6,64,,3.316173,
6,517,,3.316177,
6,517,,3.316181,
6,0,,3.31845,
6,0,,3.318459,
6,0,,3.318662,
6,608,,3.318852,
6,1430,,3.4515,
6,1430,,3.478851,
6,517,,3.503037,
6,517,,3.503045,
6,0,,3.503049,
6,0,,3.505255,
6,1430,,3.50562,
6,1430,,3.505701,
6,394,,3.505707,
6,0,,3.505709,
6,1430,,3.623229,
6,1430,,3.641245,
6,0,,3.689693,
6,1430,,3.797583,
6,1430,,3.843089,
6,0,,3.877208,
6,0,,3.877216,
6,64,,3.87722,
6,92,,3.877223,
6,0,,3.87941,
6,0,,3.879419,
6,608,,3.879863,
6,31,,3.884965,
6,0,,4.064243,
6,64,,4.064252,
6,1430,,4.066578,
6,1430,,4.066694,
6,1430,,4.066736,
6,0,,4.066751,
6,933,,4.079532,
6,1430,,4.1137,
6,0,,4.250993,
6,676,,4.251003,
6,0,,4.25329,
6,0,,4.43849,
6,266,,4.438498,
6,0,,4.445837,
6,0,,4.625145,
6,31,,4.667228,
6,412,,4.668856,
6,1430,,4.671413,
6,1430,,4.684446,
6,892,,4.697475,
6,1430,,4.748111,
6,1430,,4.754499,
6,1430,,4.767574,
6,1430,,4.780649,
6,1430,,4.793697,
6,0,,4.81189,
6,0,,4.811903,
6,64,,4.811907,
6,92,,4.81191,
6,252,,4.811913,
6,0,,4.814014,
6,0,,4.814027,
6,0,,4.814029,
6,0,,4.81425,
6,608,,4.814499,
6,31,,4.819765,
6,541,,4.887078,
6,487,,4.889622,
6,70,,4.894024,
6,0,,4.999267,
6,0,,4.999289,
6,1430,,5.001899,
6,1430,,5.00203,
6,1430,,5.002038,
6,0,,5.00204,
6,933,,5.01488,
6,0,,5.186205,
6,64,,5.186213,
6,0,,5.188688,
6,0,,5.372986,
6,517,,5.372994,
6,517,,5.372999,
6,0,,5.375154,
6,0,,5.375381,
6,0,,5.560047,
6,0,,5.560057,
6,64,,5.56006,
6,92,,5.560063,
6,0,,5.562409,
6,0,,5.56242,
6,608,,5.562891,
6,31,,5.567976,
6,70,,5.656433,
6,0,,5.747456,
6,0,,5.747466,
6,0,,5.749653,
6,1430,,5.749933,
6,1430,,5.750048,
6,395,,5.750056,
6,0,,5.934176,
6,0,,5.934186,
6,0,,5.93692,
6,110,,6.092509,
6,1430,,6.101586,
6,0,,6.120806,
6,1051,,6.139892,
6,1430,,6.147102,
6,0,,6.190863,
6,110,,6.191773,
6,0,,6.191785,
6,639,,6.289595,
6,0,,6.307789,
6,64,,6.307798,
6,1266,,6.307803,
6,0,,6.309989,
6,608,,6.310783,
6,0,,6.315884,
6,31,,6.374964,
6,0,,6.495218,
6,676,,6.495227,
6,422,,6.495231,
6,1430,,6.497603,
6,1430,,6.497646,
6,0,,6.497652,
6,0,,6.497654,
6,1430,,6.510651,
6,933,,6.523657,
6,0,,6.681993,
6,596,,6.741864,
6,1430,,6.745138,
6,776,,6.757689,
6,167,,6.764685,
6,0,,6.790219,
6,0,,6.869266,
6,0,,6.995199,
6,0,,7.056406,
6,0,,7.056416,
6,64,,7.056419,
6,64,,7.056423,
6,0,,7.058517,
6,0,,7.058608,
6,608,,7.058961,
6,110,,7.134558,
6,110,,7.136862,
6,0,,7.136876,
6,608,,7.187416,
6,0,,7.243459,
6,64,,7.243466,
6,1430,,7.245968,
6,1430,,7.246011,
6,0,,7.246028,
6,1430,,7.259016,
6,933,,7.272137,
6,608,,7.289603,
6,0,,7.429913,
6,408,,7.429979,
6,0,,7.432071,
6,0,,7.617405,
6,64,,7.617412,
6,0,,7.619508,
6,0,,7.803847,
6,0,,7.803858,
6,0,,7.806227,
6,1235,,7.807236,
6,1180,,7.959381,
6,0,,7.991578,
6,64,,7.991589,
6,0,,7.991593,
6,0,,7.993791,
6,0,,7.993987,
6,608,,7.994379,
6,608,,8.021462,
6,110,,8.119086,
6,110,,8.122276,
6,0,,8.122291,
6,0,,8.177787,
6,0,,8.177798,
6,1430,,8.180293,
6,1430,,8.186811,
6,892,,8.199805,
6,0,,8.36506,
6,0,,8.365069,
6,557,,8.367266,
6,1430,,8.367692,
6,943,,8.374145,
6,0,,8.552477,
6,0,,8.552488,
6,0,,8.55249,
6,31,,8.552493,
6,1047,,8.554947,
6,1430,,8.559752,
6,1430,,8.572904,
6,1430,,8.586044,
6,0,,8.598866,
6,0,,8.739133,
6,0,,8.926374,
6,0,,8.926381,
6,1430,,8.928843,
6,1430,,8.935388,
6,608,,8.963733,
6,1266,,9.112911,
6,0,,9.112923,
6,0,,9.11546,
17,,1358,9.299878,
17,,1358,9.303408,
17,,1358,9.373675,
17,,1358,9.373709,
17,,1358,9.373897,
17,,1358,9.374011,
6,317,,9.487281,
6,0,,9.487302,
6,0,,9.48955,
6,1430,,9.489858,
6,608,,9.593635,
17,,1358,9.673891,
6,0,,9.673903,
6,64,,9.673906,
6,0,,9.67391,
6,1430,,9.676435,
6,0,,9.676445,
17,,1358,9.67662,
17,,341,9.676628,
6,1430,,9.68306,
6,80,,9.709864,
6,0,,9.861058,
6,317,,9.861067,
6,0,,9.862093,
6,1430,,9.86358,
6,0,,9.869845,
6,80,,9.927157,
17,,1358,9.977025,
6,0,,10.003157,
17,,1358,10.04836,
6,0,,10.04837,
17,,1358,10.050918,
6,1430,,10.051048,
6,1430,,10.057607,
6,1430,,10.070726,
6,1430,,10.083853,
6,1430,,10.09701,
6,1430,,10.110162,
6,1430,,10.12325,
6,1430,,10.136397,
6,1430,,10.149532,
6,80,,10.151187,
6,1430,,10.162673,
6,1430,,10.17581,
6,1430,,10.188941,
6,1430,,10.20206,
6,0,,10.235267,
6,1430,,10.237729,
6,1430,,10.244285,
6,0,,10.422529,
6,1430,,10.425026,
6,1430,,10.431702,
6,80,,10.59122,
6,0,,10.609532,
6,422,,10.609543,
6,1430,,10.611986,
6,0,,10.612008,
6,1430,,10.618615,
17,,1358,10.651835,
6,33,,10.686773,
6,0,,10.738193,
6,0,,10.796497,
6,1430,,10.798968,
6,1430,,10.805509,
6,408,,10.982852,
6,0,,10.982858,
6,0,,10.984944,
6,1430,,10.985385,
6,1051,,11.131879,
6,64,,11.170094,
6,0,,11.172362,
6,110,,11.192277,
6,0,,11.194446,
6,110,,11.195199,
6,0,,11.195212,
6,1422,,11.357482,
17,,1358,11.357492,
6,0,,11.357498,
17,,1358,11.360106,
6,0,,11.360115,
6,80,,11.519231,
6,0,,11.544424,
6,0,,11.544433,
6,1430,,11.546918,
6,1430,,11.54693,
6,1430,,11.553425,
6,892,,11.566472,
6,0,,11.730816,
6,0,,11.730826,
6,0,,11.733113,
6,0,,11.918425,
6,0,,11.918434,
6,1430,,11.920992,
6,0,,11.921002,
6,0,,12.10529,
6,0,,12.105298,
6,1430,,12.107864,
6,1430,,12.114367,
6,110,,12.137164,
6,110,,12.139911,
6,0,,12.139927,
6,0,,12.292543,
6,0,,12.478913,
17,,1358,12.560792,
6,1235,,12.58327,
6,0,,12.666176,
6,608,,12.821431,
6,1180,,12.823347,
6,0,,12.853576,
6,39,,12.947484,
6,73,,12.951074,
6,0,,13.039833,
6,0,,13.039841,
17,,1358,13.039845,
6,110,,13.122872,
6,110,,13.128185,
6,0,,13.128199,
6,73,,13.160645,
6,0,,13.227076,
6,557,,13.229539,
6,80,,13.31125,
6,73,,13.376652,
6,0,,13.413703,
6,64,,13.413711,
6,0,,13.415944,
6,608,,13.507521,
6,1422,,13.600842,
6,0,,13.600861,
6,0,,13.600865,
6,0,,13.603408,
6,31,,13.788108,
6,0,,13.788116,
6,0,,13.790329,
6,1430,,13.790611,
6,0,,13.974951,
6,0,,13.974969,
6,1430,,13.977426,
6,1430,,13.977544,
6,1430,,13.983994,
6,0,,14.162199,
6,0,,14.349458,
6,0,,14.349466,
6,31,,14.349469,
6,0,,14.351692,
6,1430,,14.377269,
6,0,,14.535795,
6,608,,14.585581,
6,0,,14.722801,
6,0,,14.91012,
6,1430,,14.912697,
6,0,,15.096944,
6,1430,,15.09946,
6,0,,15.283809,
6,0,,15.283819,
6,517,,15.283822,
6,0,,15.285948,
6,1430,,15.28635,
6,1430,,15.357004,
6,0,,15.471071,
6,0,,15.471079,
6,0,,15.471081,
6,31,,15.471084,
6,35,,15.471088,
6,0,,15.473108,
6,0,,15.473124,
6,0,,15.658344,
6,0,,15.845413,
6,1430,,15.848054,
6,943,,15.854487,
6,0,,15.95518,
6,0,,16.031809,
6,1430,,16.060126,
6,110,,16.196384,
6,0,,16.200553,
6,110,,16.201194,
6,0,,16.201204,
6,0,,16.219475,
6,0,,16.219484,
6,0,,16.219486,
6,517,,16.219489,
6,39,,16.219494,
6,0,,16.221571,
6,0,,16.221779,
6,1430,,16.289065,
6,1430,,16.390251,
6,64,,16.4064,
6,64,,16.406407,
6,0,,16.406411,
6,0,,16.406414,
6,0,,16.406417,
6,0,,16.40642,
6,0,,16.408477,
6,0,,16.40862,
6,0,,16.592949,
6,0,,16.780184,
6,0,,16.780195,
17,,41,16.889516,
17,,33,16.892981,
6,0,,16.967441,
