protocol,tcp_bytes,quic_bytes,real_time,
6,77,,0,
6,0,,0.031759,
6,0,,0.036031,
6,0,,0.036065,
6,31,,0.198006,
17,,1358,0.558919,
17,,86,0.559072,
17,,541,0.559205,
17,,101,0.559263,
6,0,,0.561573,
17,,1358,0.630488,
17,,1358,0.636156,
17,,630,0.643887,
17,,34,0.643907,
17,,33,0.644109,
17,,1358,0.654454,
17,,1358,0.654865,
17,,1358,0.670514,
17,,122,0.670723,
17,,84,0.679032,
17,,65,0.679054,
17,,41,0.679156,
17,,41,0.679182,
17,,617,0.704004,
17,,45,0.704205,
17,,33,0.704476,
17,,94,0.704703,
17,,33,0.704736,
17,,41,0.704859,
17,,45,0.704929,
17,,35,0.727614,
17,,41,0.730852,
17,,36,0.753757,
6,110,,0.849805,
6,0,,0.852773,
6,110,,0.853204,
6,0,,0.853213,
6,0,,1.128682,
6,0,,1.128696,
6,0,,1.170249,
6,0,,1.172944,
6,31,,1.197526,
6,0,,1.314647,
6,0,,1.314657,
6,517,,1.502672,
6,517,,1.502682,
6,0,,1.502692,
6,0,,1.502696,
6,0,,1.502703,
6,0,,1.502707,
6,0,,1.502711,
6,0,,1.502715,
6,0,,1.544193,
6,0,,1.544313,
6,0,,1.546525,
6,0,,1.548263,
6,0,,1.549479,
6,0,,1.550477,
6,0,,1.552478,
6,0,,1.55292,
6,1430,,1.608111,
6,1430,,1.608223,
6,1430,,1.608337,
6,1430,,1.608462,
6,932,,1.608468,
6,1430,,1.609415,
6,1430,,1.609526,
6,1430,,1.609633,
6,1430,,1.609762,
6,933,,1.609767,
6,24,,1.624231,
6,0,,1.688673,
6,0,,1.688681,
6,0,,1.688685,
6,0,,1.688688,
6,0,,1.688691,
6,0,,1.688695,
6,517,,1.688698,
6,517,,1.688701,
6,0,,1.726832,
6,0,,1.728145,
6,1430,,1.786863,
6,1430,,1.786886,
6,1430,,1.787117,
6,1430,,1.787126,
6,932,,1.787231,
6,1430,,1.788184,
6,1430,,1.788309,
6,1430,,1.78833,
6,1430,,1.788555,
6,932,,1.788564,
6,0,,1.8233,
6,517,,1.875997,
6,517,,1.876007,
6,0,,1.917234,
6,0,,1.917255,
6,1430,,1.979787,
6,1430,,1.979813,
6,1430,,1.980037,
6,1430,,1.98014,
6,1430,,1.980254,
6,1430,,1.980387,
6,1430,,1.980496,
6,1430,,1.980602,
6,932,,1.980684,
6,931,,1.980765,
6,932,,1.982236,
6,933,,1.992785,
6,0,,2.033667,
6,0,,2.034663,
6,517,,2.063011,
6,517,,2.063019,
6,0,,2.063024,
6,0,,2.063035,
6,0,,2.074235,
