protocol,tcp_bytes,quic_bytes,real_time,
6,110,,0.526305,
6,110,,0.530671,
6,0,,0.530686,
17,,41,0.880798,
17,,33,0.88412,
6,0,,1.295331,
6,0,,1.295342,
6,0,,1.334275,
6,0,,1.337712,
6,129,,1.418895,
6,0,,1.48325,
6,0,,1.483262,
6,0,,1.525252,
6,0,,1.525466,
6,0,,1.669994,
6,0,,1.670001,
6,517,,1.670005,
6,517,,1.670009,
6,0,,1.670024,
6,0,,1.670029,
6,0,,1.670033,
6,0,,1.670036,
6,0,,1.708812,
6,0,,1.711791,
6,0,,1.712271,
6,0,,1.721372,
6,1430,,1.768969,
6,1430,,1.768991,
6,1430,,1.769212,
6,1430,,1.769326,
6,932,,1.769335,
6,1430,,1.772441,
6,1430,,1.772571,
6,1430,,1.772669,
6,1430,,1.772772,
6,930,,1.772853,
6,517,,1.856342,
6,517,,1.856354,
6,0,,1.856365,
6,0,,1.85637,
6,0,,1.897997,
6,0,,1.898096,
6,0,,1.899061,
6,0,,1.907909,
6,0,,1.930814,
6,0,,1.93144,
6,1430,,1.957827,
6,1430,,1.957942,
6,1430,,1.958057,
6,394,,1.958066,
6,1430,,1.95822,
6,1430,,1.958335,
6,1430,,1.958466,
6,394,,1.958474,
6,0,,1.999581,
6,0,,1.999608,
6,517,,1.999755,
6,0,,2.043852,
6,0,,2.043926,
6,517,,2.043933,
6,517,,2.043937,
6,0,,2.043965,
6,0,,2.067553,
6,1430,,2.068327,
6,0,,2.068338,
6,1430,,2.068455,
6,0,,2.068458,
6,1430,,2.06857,
6,0,,2.068575,
6,1430,,2.068703,
6,0,,2.068717,
6,923,,2.06872,
6,0,,2.068722,
6,64,,2.069137,
6,208,,2.069578,
6,0,,2.085336,
6,0,,2.095206,
6,0,,2.137347,
6,529,,2.138429,
6,1430,,2.145557,
6,1430,,2.145688,
6,1430,,2.145698,
6,1430,,2.145916,
6,933,,2.145924,
6,87,,2.145927,
6,0,,2.14596,
6,34,,2.147169,
6,1430,,2.155075,
6,1430,,2.155191,
6,1430,,2.155322,
6,1430,,2.15533,
6,932,,2.155436,
6,24,,2.184445,
6,0,,2.184449,
6,0,,2.186051,
6,110,,2.186532,
6,0,,2.18897,
6,110,,2.189421,
6,0,,2.189432,
6,517,,2.230728,
6,0,,2.230737,
6,0,,2.272395,
6,394,,2.339972,
6,394,,2.341801,
6,0,,2.384968,
6,0,,2.418061,
6,0,,2.466033,
6,0,,2.534112,
6,930,,2.576085,
6,517,,2.604271,
6,0,,2.646035,
6,24,,2.688959,
6,0,,2.791335,
6,0,,2.791343,
6,517,,2.791346,
6,517,,2.79135,
6,0,,2.791354,
6,0,,2.791357,
6,64,,2.79136,
6,0,,2.830183,
6,608,,2.830674,
6,0,,2.832743,
6,0,,2.833712,
6,0,,2.842592,
6,0,,2.842803,
6,0,,2.933035,
6,1430,,2.933949,
6,0,,2.934059,
6,0,,2.934069,
6,289,,2.93414,
6,933,,2.93642,
6,254,,2.939351,
6,0,,2.939363,
6,1138,,2.939535,
6,0,,2.939543,
6,1430,,2.940109,
6,932,,2.949322,
6,92,,2.978691,
6,520,,2.978699,
6,0,,2.978704,
6,517,,2.978707,
6,0,,2.978711,
6,0,,3.008297,
6,31,,3.0174,
6,0,,3.020417,
6,1047,,3.118153,
6,1430,,3.118176,
6,1430,,3.118284,
6,1430,,3.131327,
6,1430,,3.14445,
6,110,,3.145405,
6,110,,3.148118,
6,0,,3.148131,
6,1430,,3.15759,
6,0,,3.165853,
6,1430,,3.170746,
6,1241,,3.183819,
6,1430,,3.19523,
6,1430,,3.208355,
6,1430,,3.221519,
6,1430,,3.234644,
6,1430,,3.247769,
6,24,,3.336823,
6,0,,3.353106,
6,520,,3.539298,
6,0,,3.564668,
6,0,,3.727013,
6,0,,3.727021,
6,0,,3.727025,
6,64,,3.727027,
6,517,,3.72703,
6,517,,3.727034,
6,0,,3.727041,
6,1430,,3.769065,
6,1430,,3.769086,
6,394,,3.769111,
6,0,,3.769115,
6,608,,3.769552,
6,0,,3.769561,
6,0,,3.778453,
6,1430,,3.829641,
6,1430,,3.829767,
6,1430,,3.829882,
6,1430,,3.829997,
6,933,,3.830003,
6,1430,,3.838678,
6,1430,,3.8387,
6,1430,,3.838841,
6,1430,,3.839024,
6,931,,3.839038,
6,517,,3.913242,
6,517,,3.913253,
6,107,,3.954056,
6,0,,3.954625,
6,0,,3.964392,
6,1430,,4.08839,
6,1430,,4.09216,
6,0,,4.100317,
6,1430,,4.101997,
6,107,,4.263456,
6,0,,4.281536,
6,0,,4.287838,
6,0,,4.287845,
6,64,,4.287848,
6,92,,4.287851,
6,0,,4.287865,
6,0,,4.329429,
6,0,,4.329448,
6,1430,,4.329824,
6,1430,,4.329929,
6,394,,4.329943,
6,608,,4.329944,
6,31,,4.33223,
6,1430,,4.4465,
6,73,,4.468637,
6,64,,4.474773,
6,0,,4.474782,
6,0,,4.516848,
6,24,,4.553867,
6,107,,4.555664,
6,266,,4.662206,
6,676,,4.662217,
6,0,,4.662221,
6,0,,4.687639,
6,73,,4.688141,
6,0,,4.692026,
6,31,,4.692735,
6,0,,4.848554,
6,933,,4.867701,
6,931,,4.875159,
6,409,,4.900362,
6,1430,,4.901483,
6,73,,4.904171,
6,1430,,4.908019,
6,892,,4.90803,
6,1430,,4.974036,
6,1430,,4.977292,
6,1430,,4.977408,
6,1430,,4.990368,
6,1430,,4.990482,
6,64,,5.035734,
6,0,,5.035748,
6,0,,5.035752,
6,0,,5.035755,
6,1430,,5.077384,
6,1430,,5.07751,
6,1430,,5.077532,
6,0,,5.077536,
6,0,,5.077574,
6,608,,5.077829,
6,0,,5.078551,
6,933,,5.090391,
6,107,,5.127322,
6,0,,5.222728,
6,0,,5.409976,
6,1048,,5.43702,
6,0,,5.509171,
6,39,,5.509177,
6,110,,5.531602,
6,110,,5.543333,
6,0,,5.543348,
6,0,,5.595172,
6,64,,5.596336,
6,0,,5.638477,
6,0,,5.68782,
6,608,,5.692509,
6,0,,5.783832,
6,0,,5.78384,
6,64,,5.783843,
6,92,,5.783846,
6,0,,5.783849,
6,0,,5.825169,
6,0,,5.825184,
6,608,,5.825665,
6,31,,5.830811,
6,1430,,5.835216,
6,1430,,5.835228,
6,1430,,5.835444,
6,932,,5.848208,
6,0,,5.970944,
6,422,,5.970953,
6,0,,5.970957,
6,0,,5.970961,
17,,86,5.990373,
17,,41,5.991955,
6,1418,,5.996486,
6,0,,6.012717,
6,0,,6.01319,
6,107,,6.279606,
6,0,,6.345068,
6,1266,,6.345094,
6,0,,6.345098,
6,0,,6.374526,
6,639,,6.494367,
6,0,,6.531894,
6,0,,6.531905,
6,0,,6.531909,
6,1430,,6.557391,
6,31,,6.566954,
6,596,,6.587494,
6,1430,,6.590345,
6,968,,6.60339,
6,39,,6.612101,
6,64,,6.718365,
6,92,,6.718376,
6,517,,6.71838,
6,517,,6.718384,
6,0,,6.760547,
6,0,,6.769394,
6,0,,6.769403,
6,0,,6.769428,
6,608,,6.769815,
6,31,,6.774985,
6,0,,6.905319,
6,612,,6.905329,
6,39,,6.915959,
6,0,,6.930755,
6,24,,6.984765,
6,0,,7.01767,
6,0,,7.062897,
6,0,,7.093339,
6,0,,7.093365,
6,0,,7.09337,
6,0,,7.093376,
6,0,,7.093382,
6,1430,,7.118868,
6,110,,7.190605,
6,0,,7.193334,
6,110,,7.193722,
6,0,,7.193733,
6,608,,7.247637,
6,0,,7.27992,
6,0,,7.467268,
6,31,,7.467277,
6,0,,7.46728,
6,0,,7.4926,
6,1047,,7.492864,
6,1430,,7.502517,
6,1430,,7.515655,
6,1430,,7.528794,
6,31,,7.557112,
6,1048,,7.717017,
6,0,,7.84031,
6,64,,7.84032,
6,1430,,7.865947,
6,1430,,7.87248,
6,1430,,7.875797,
6,0,,7.882406,
6,1430,,7.88429,
6,608,,7.996522,
6,1266,,8.028147,
6,0,,8.028156,
6,0,,8.052371,
6,1235,,8.103401,
6,110,,8.148802,
6,110,,8.152656,
6,0,,8.152672,
17,,1358,8.214752,
6,316,,8.214763,
6,0,,8.214766,
6,0,,8.214776,
6,0,,8.21478,
6,1430,,8.240592,
6,0,,8.256589,
6,0,,8.25757,
17,,1358,8.402003,
6,252,,8.40202,
6,0,,8.402024,
6,1241,,8.42778,
6,0,,8.432404,
6,541,,8.487139,
6,487,,8.489578,
6,70,,8.493985,
6,0,,8.589178,
6,422,,8.589187,
6,316,,8.589191,
6,0,,8.614451,
6,1430,,8.614801,
6,0,,8.621033,
6,0,,8.634192,
6,0,,8.635453,
6,0,,8.635511,
6,107,,8.711372,
6,0,,8.775496,
17,,1358,8.775507,
6,1430,,8.801125,
6,0,,8.962517,
6,1430,,8.988152,
6,1430,,8.994673,
6,1180,,8.997193,
6,1430,,9.007822,
6,1430,,9.020964,
6,1430,,9.034109,
6,1430,,9.04723,
6,1430,,9.060344,
6,1430,,9.073496,
6,1430,,9.086629,
6,1430,,9.099758,
6,1430,,9.112897,
6,1430,,9.126034,
6,1430,,9.139157,
6,0,,9.149752,
6,1430,,9.175437,
6,1430,,9.18199,
17,,1358,9.417317,
6,0,,9.524207,
6,64,,9.524218,
6,1430,,9.549886,
6,1430,,9.556432,
6,0,,9.565937,
6,1430,,9.569572,
6,1430,,9.582684,
6,31,,9.748322,
6,0,,9.748404,
6,0,,9.886769,
6,0,,9.897454,
6,1430,,9.923088,
6,1430,,9.929663,
6,1430,,9.942787,
6,1430,,9.95591,
17,,1358,10.085283,
17,,1358,10.126618,
6,0,,10.263043,
6,1422,,10.271258,
6,0,,10.271269,
6,0,,10.271273,
6,0,,10.281471,
6,0,,10.295477,
6,1430,,10.29696,
6,1430,,10.29713,
6,1430,,10.300189,
6,892,,10.300198,
6,0,,10.458731,
6,0,,10.458738,
6,0,,10.458743,
6,408,,10.458746,
6,0,,10.45875,
6,0,,10.48378,
6,1430,,10.4842,
6,1430,,10.487461,
6,1430,,10.501208,
6,1430,,10.501218,
6,1430,,10.501436,
6,933,,10.501444,
6,110,,10.543695,
6,0,,10.551574,
6,110,,10.580237,
6,0,,10.580274,
6,0,,10.645767,
6,0,,10.83306,
6,0,,11.019233,
17,,1358,11.326683,
6,0,,11.393963,
