protocol,tcp_bytes,quic_bytes,real_time,
6,73,,0,
6,110,,0.142227,
6,0,,0.145532,
6,110,,0.192689,
6,0,,0.192713,
6,73,,0.238618,
6,39,,0.324133,
6,73,,0.477747,
6,0,,0.70768,
6,0,,0.707692,
6,0,,0.710398,
6,0,,0.710637,
6,0,,0.894716,
6,0,,0.894736,
6,0,,0.894744,
6,0,,0.89475,
6,0,,0.894757,
6,0,,0.894763,
6,0,,0.896935,
6,0,,0.897424,
6,0,,0.897434,
6,0,,0.897436,
6,0,,0.897443,
6,0,,0.897451,
6,73,,0.949662,
6,129,,1.012821,
6,0,,1.037533,
6,0,,1.081775,
6,0,,1.081786,
6,517,,1.081789,
6,517,,1.081792,
6,0,,1.084289,
6,0,,1.084299,
6,0,,1.13412,
6,1430,,1.151059,
6,1430,,1.151187,
6,1430,,1.15129,
6,1430,,1.151405,
6,932,,1.151419,
6,1430,,1.151939,
6,1430,,1.152053,
6,1430,,1.15216,
6,1430,,1.152288,
6,933,,1.152297,
6,0,,1.269283,
6,0,,1.269291,
6,0,,1.269295,
6,0,,1.269298,
6,0,,1.269301,
6,0,,1.269306,
6,517,,1.26931,
6,517,,1.269314,
6,0,,1.271377,
6,0,,1.271697,
6,1430,,1.33789,
6,1430,,1.337912,
6,1430,,1.338132,
6,1430,,1.338247,
6,933,,1.338256,
6,1430,,1.338787,
6,1430,,1.338903,
6,1430,,1.339033,
6,1430,,1.339149,
6,931,,1.339157,
6,517,,1.455545,
6,517,,1.455552,
6,0,,1.457797,
6,0,,1.457921,
17,,41,1.510052,
6,1430,,1.524898,
6,1430,,1.524915,
6,1430,,1.525142,
6,394,,1.52515,
6,1430,,1.525289,
6,1430,,1.52542,
6,1430,,1.525429,
6,1430,,1.525648,
6,932,,1.525657,
17,,33,1.537932,
6,517,,1.642884,
6,517,,1.642892,
6,0,,1.642908,
6,517,,1.642917,
6,0,,1.645305,
6,0,,1.645441,
6,0,,1.64552,
6,1430,,1.712302,
6,1430,,1.712324,
6,1430,,1.712527,
6,395,,1.712536,
6,1430,,1.712821,
6,1430,,1.712952,
6,1430,,1.712961,
6,1430,,1.713182,
6,933,,1.713191,
6,129,,1.824349,
6,0,,1.829425,
6,0,,1.829433,
6,517,,1.829437,
6,517,,1.82944,
6,0,,1.831726,
6,0,,1.831876,
6,933,,1.903852,
6,0,,1.904002,
6,0,,1.906263,
6,73,,1.941825,
6,0,,1.972908,
6,0,,1.972941,
6,517,,1.97311,
6,0,,2.016508,
6,517,,2.016521,
6,517,,2.016526,
6,0,,2.01849,
6,0,,2.018872,
6,0,,2.03947,
6,1430,,2.040247,
6,0,,2.040259,
6,1430,,2.04036,
6,0,,2.040366,
6,1430,,2.040479,
6,0,,2.040484,
6,1430,,2.040616,
6,0,,2.040625,
6,923,,2.040627,
6,0,,2.04063,
6,64,,2.041028,
6,208,,2.04144,
6,933,,2.096205,
6,0,,2.107874,
6,529,,2.108515,
6,87,,2.112824,
6,0,,2.112883,
6,931,,2.11296,
6,34,,2.114466,
6,0,,2.15401,
6,517,,2.203518,
6,0,,2.203528,
6,64,,2.203531,
6,92,,2.203534,
6,521,,2.203537,
6,0,,2.205768,
6,0,,2.205951,
6,0,,2.205959,
6,0,,2.205974,
6,608,,2.20647,
6,31,,2.207261,
6,932,,2.282193,
6,394,,2.301095,
6,1047,,2.326559,
6,1430,,2.32658,
6,1430,,2.326801,
6,1430,,2.339728,
6,1430,,2.352835,
6,1430,,2.365904,
6,1430,,2.379039,
6,0,,2.391168,
6,517,,2.391175,
6,1430,,2.392141,
6,0,,2.393659,
6,1430,,2.405244,
6,1430,,2.418361,
6,0,,2.430004,
6,1430,,2.431438,
6,1430,,2.444556,
6,1430,,2.45764,
6,0,,2.496641,
6,933,,2.498089,
6,395,,2.513954,
6,0,,2.577723,
6,0,,2.765168,
6,517,,2.765189,
6,517,,2.765194,
6,0,,2.767496,
6,0,,2.767648,
6,129,,2.803972,
6,0,,2.951898,
6,521,,2.951906,
6,0,,2.954393,
6,0,,2.962649,
6,0,,2.972864,
6,0,,2.972893,
6,289,,2.972984,
6,254,,2.981503,
6,0,,2.98153,
6,1138,,2.982039,
6,0,,2.982046,
6,0,,3.138916,
6,64,,3.138927,
6,517,,3.13893,
6,0,,3.1412,
6,0,,3.141234,
6,608,,3.141712,
6,1430,,3.164014,
6,1430,,3.248327,
6,1430,,3.265063,
6,0,,3.326021,
6,1430,,3.328505,
6,1430,,3.328629,
6,1430,,3.328745,
6,933,,3.341571,
6,0,,3.383379,
