protocol,tcp_bytes,quic_bytes,real_time,
6,26,,0.395175,
6,24,,0.523862,
6,73,,0.534114,
6,0,,0.661399,
6,0,,0.722184,
6,73,,0.731997,
17,,41,0.82752,
17,,33,0.830584,
6,0,,0.862934,
6,73,,0.947066,
6,0,,0.950891,
6,254,,0.980293,
6,0,,1.434348,
6,0,,1.434355,
6,0,,1.436553,
6,0,,1.437025,
6,0,,1.621395,
6,0,,1.621404,
6,0,,1.621408,
6,0,,1.621411,
6,0,,1.624092,
6,0,,1.624104,
6,0,,1.624106,
6,0,,1.624323,
6,0,,1.80815,
6,0,,1.808159,
6,517,,1.808164,
6,517,,1.808168,
6,0,,1.80818,
6,0,,1.808185,
6,0,,1.810327,
6,0,,1.810643,
6,0,,1.810868,
6,0,,1.811156,
6,1430,,1.877139,
6,1430,,1.877254,
6,1430,,1.877369,
6,1430,,1.877501,
6,932,,1.877508,
6,1430,,1.87873,
6,1430,,1.8788,
6,1430,,1.878958,
6,1430,,1.87909,
6,932,,1.879102,
6,0,,1.889525,
6,0,,1.890638,
6,0,,1.960527,
6,0,,1.960552,
6,517,,1.960704,
6,0,,1.99529,
6,0,,1.995299,
6,0,,1.995302,
6,0,,1.995305,
6,517,,1.995309,
6,517,,1.995312,
6,0,,1.997597,
6,0,,1.997866,
6,0,,2.029799,
6,1430,,2.030537,
6,0,,2.030546,
6,1430,,2.030648,
6,0,,2.030652,
6,1430,,2.030756,
6,0,,2.030758,
6,1430,,2.030871,
6,0,,2.030873,
6,924,,2.030953,
6,0,,2.030955,
6,64,,2.031351,
6,208,,2.031808,
6,1430,,2.063459,
6,1430,,2.063477,
6,1430,,2.063697,
6,394,,2.063705,
6,1430,,2.064098,
6,1430,,2.064222,
6,1430,,2.064343,
6,1430,,2.064459,
6,931,,2.064472,
6,110,,2.07716,
6,110,,2.089609,
6,0,,2.089624,
6,0,,2.100846,
6,529,,2.1024,
6,87,,2.110793,
6,0,,2.110826,
6,34,,2.121308,
6,0,,2.161096,
6,517,,2.18178,
6,517,,2.181788,
6,0,,2.181793,
6,0,,2.181796,
6,0,,2.184106,
6,0,,2.184383,
6,1430,,2.250514,
6,1430,,2.25053,
6,1430,,2.250746,
6,1430,,2.250845,
6,932,,2.250941,
6,1430,,2.252201,
6,1430,,2.252238,
6,1430,,2.252437,
6,394,,2.252444,
6,517,,2.36892,
6,517,,2.368928,
6,0,,2.368946,
6,0,,2.371249,
6,0,,2.371367,
6,0,,2.425124,
6,1430,,2.43636,
6,1430,,2.436381,
6,1430,,2.436591,
6,1430,,2.436706,
6,931,,2.436719,
6,1430,,2.440392,
6,1430,,2.440417,
6,1430,,2.440633,
6,1430,,2.440748,
6,933,,2.440756,
6,0,,2.493832,
6,0,,2.556264,
6,517,,2.556274,
6,0,,2.558837,
6,932,,2.682551,
6,0,,2.743261,
6,517,,2.743268,
6,517,,2.743272,
6,0,,2.745465,
6,0,,2.745591,
6,110,,2.750734,
6,0,,2.753119,
6,110,,2.754158,
6,0,,2.754205,
6,931,,2.842854,
6,394,,2.851615,
6,517,,2.929813,
6,517,,2.929822,
6,517,,2.929825,
6,0,,2.92983,
6,0,,2.929833,
6,0,,2.932137,
6,0,,2.932324,
6,0,,2.932503,
6,394,,3.00987,
6,932,,3.021752,
6,52,,3.102143,
6,64,,3.116655,
6,92,,3.116663,
6,520,,3.116667,
6,0,,3.116671,
6,0,,3.118714,
6,0,,3.118723,
6,0,,3.118725,
6,608,,3.119365,
6,31,,3.120372,
6,0,,3.125472,
6,931,,3.206205,
6,933,,3.210444,
6,1047,,3.2551,
6,1430,,3.255209,
6,1430,,3.25534,
6,1430,,3.267915,
6,1430,,3.281017,
6,1430,,3.294151,
6,0,,3.304253,
6,1430,,3.307227,
6,1430,,3.320347,
6,1430,,3.333901,
6,1430,,3.346625,
6,1430,,3.3597,
6,796,,3.371328,
6,26,,3.371331,
6,1430,,3.372747,
6,1430,,3.386051,
6,0,,3.491256,
6,517,,3.491266,
6,0,,3.493839,
6,0,,3.678305,
6,520,,3.678316,
6,0,,3.680333,
6,0,,3.865353,
6,64,,3.86536,
6,517,,3.865364,
6,517,,3.865368,
6,0,,3.867569,
6,0,,3.867713,
6,608,,3.868016,
6,0,,3.868034,
6,1430,,3.994916,
6,1430,,4.003726,
6,517,,4.052034,
6,0,,4.052042,
6,0,,4.054469,
6,1430,,4.054685,
6,1430,,4.054817,
6,394,,4.054825,
6,1430,,4.161091,
6,1430,,4.173848,
6,0,,4.239253,
6,1430,,4.358284,
6,1430,,4.36279,
6,0,,4.426293,
6,0,,4.426299,
6,64,,4.426303,
6,92,,4.426306,
6,266,,4.426308,
6,0,,4.428554,
6,0,,4.428597,
6,0,,4.428599,
6,608,,4.429204,
6,31,,4.434283,
6,0,,4.613239,
6,64,,4.61325,
6,1430,,4.615465,
6,1430,,4.615596,
6,1430,,4.61561,
6,0,,4.615612,
6,931,,4.628459,
6,1430,,4.660271,
6,409,,4.67301,
6,1430,,4.675054,
6,4,,4.687018,
6,1430,,4.68816,
6,892,,4.701168,
6,110,,4.708092,
6,110,,4.714611,
6,0,,4.714631,
6,1430,,4.761125,
6,1430,,4.767703,
6,1430,,4.78088,
6,1430,,4.793887,
6,0,,4.800362,
6,676,,4.800385,
6,0,,4.802462,
6,1430,,4.807014,
6,0,,4.894072,
6,0,,4.896551,
6,0,,4.896567,
6,228,,4.89663,
6,0,,4.898761,
6,1694,,4.902986,
6,0,,4.903043,
6,0,,4.903051,
6,0,,4.90384,
6,0,,4.905725,
