protocol,tcp_bytes,quic_bytes,real_time,
6,110,,1.119348,
6,110,,1.122345,
6,0,,1.122361,
6,0,,1.727924,
6,0,,1.727933,
6,0,,1.727937,
6,0,,1.727941,
6,0,,1.727946,
6,0,,1.766813,
6,0,,1.767296,
6,0,,1.772674,
6,0,,1.773413,
6,0,,1.777116,
6,0,,1.914425,
6,0,,1.914432,
6,0,,1.914437,
6,0,,1.954078,
6,0,,1.955325,
6,0,,1.966858,
6,0,,2.101353,
6,0,,2.101361,
6,0,,2.101364,
6,0,,2.101368,
6,0,,2.101371,
6,517,,2.101376,
6,517,,2.101379,
6,0,,2.137796,
6,0,,2.140063,
6,0,,2.140174,
6,0,,2.140745,
6,1430,,2.20034,
6,1430,,2.200361,
6,1430,,2.200548,
6,1430,,2.200679,
6,932,,2.200683,
6,1430,,2.200867,
6,1430,,2.200981,
6,1430,,2.201112,
6,1430,,2.201227,
6,932,,2.20123,
6,0,,2.212877,
6,0,,2.212906,
6,517,,2.21306,
6,0,,2.284967,
6,1430,,2.285867,
6,0,,2.285885,
6,1430,,2.285975,
6,0,,2.28598,
6,1430,,2.286096,
6,0,,2.286099,
6,1430,,2.286212,
6,0,,2.286214,
6,923,,2.286217,
6,0,,2.286219,
6,64,,2.286648,
6,208,,2.287017,
6,517,,2.288619,
6,517,,2.288626,
6,0,,2.333089,
6,0,,2.333831,
6,0,,2.35908,
6,529,,2.35971,
6,87,,2.366634,
6,0,,2.366666,
6,34,,2.367857,
6,1430,,2.392853,
6,1430,,2.392868,
6,1430,,2.393094,
6,1430,,2.393201,
6,932,,2.393215,
6,1430,,2.394032,
6,1430,,2.394164,
6,1430,,2.394174,
6,1430,,2.394392,
6,932,,2.394401,
6,0,,2.407105,
6,517,,2.475688,
6,0,,2.475697,
6,0,,2.4757,
6,0,,2.475703,
6,517,,2.475707,
6,517,,2.47571,
6,0,,2.515312,
6,0,,2.516401,
6,0,,2.524491,
6,110,,2.537665,
6,110,,2.541722,
6,0,,2.541751,
6,1430,,2.575882,
6,1430,,2.575901,
6,1430,,2.576126,
6,1430,,2.576241,
6,931,,2.576249,
6,1430,,2.576453,
6,1430,,2.576462,
6,1430,,2.576683,
6,1430,,2.576813,
6,933,,2.576822,
6,1430,,2.584452,
6,1430,,2.58458,
6,1430,,2.584695,
6,393,,2.584704,
6,517,,2.662984,
6,517,,2.663003,
6,0,,2.6711,
6,0,,2.708289,
6,0,,2.715101,
6,0,,2.741996,
6,110,,2.765616,
6,0,,2.768498,
6,110,,2.769179,
6,0,,2.76919,
6,1430,,2.774982,
6,1430,,2.775008,
6,1430,,2.775224,
6,395,,2.775232,
6,517,,2.849579,
6,0,,2.849589,
6,0,,2.849602,
6,517,,2.849606,
6,517,,2.84961,
6,0,,2.849613,
6,0,,2.894158,
6,0,,2.898448,
6,0,,2.901799,
6,932,,2.972221,
6,517,,3.036429,
6,517,,3.036439,
6,0,,3.075751,
6,0,,3.07692,
6,932,,3.150118,
6,932,,3.200956,
6,517,,3.224212,
6,517,,3.224223,
6,0,,3.224229,
6,0,,3.224232,
6,64,,3.224235,
6,92,,3.224238,
6,0,,3.262968,
6,0,,3.262983,
6,608,,3.263409,
6,31,,3.263414,
6,0,,3.269463,
6,0,,3.273063,
6,393,,3.363867,
6,520,,3.411143,
6,0,,3.411152,
6,0,,3.411164,
6,0,,3.439425,
6,1047,,3.551394,
6,1430,,3.551415,
6,1430,,3.551607,
6,1430,,3.56451,
6,1430,,3.577609,
6,1430,,3.590684,
6,0,,3.597948,
6,1430,,3.603757,
6,1430,,3.616827,
6,1430,,3.629922,
6,1430,,3.642979,
6,1430,,3.656057,
6,1430,,3.669145,
6,1430,,3.682223,
6,933,,3.730184,
6,931,,3.746716,
6,0,,3.784936,
6,395,,3.944465,
6,517,,3.971748,
6,520,,3.971759,
6,0,,3.99559,
6,0,,4.016245,
6,517,,4.158585,
6,0,,4.158594,
6,517,,4.158597,
6,517,,4.158601,
6,64,,4.158604,
6,0,,4.197435,
6,0,,4.197961,
6,608,,4.198192,
6,0,,4.199145,
6,0,,4.210676,
6,1430,,4.302229,
6,92,,4.345468,
6,252,,4.345474,
6,517,,4.345478,
6,0,,4.345482,
6,0,,4.345495,
6,1430,,4.35297,
6,31,,4.369267,
6,0,,4.38428,
6,1430,,4.390324,
6,1430,,4.39044,
6,1430,,4.390554,
6,0,,4.394272,
6,932,,4.403304,
6,550,,4.429515,
6,503,,4.429536,
6,31,,4.433934,
6,39,,4.434222,
6,1430,,4.51606,
6,252,,4.533332,
6,0,,4.533348,
6,0,,4.556683,
6,0,,4.719469,
6,0,,4.719477,
6,64,,4.906281,
6,0,,4.9507,
6,608,,4.951183,
6,1430,,4.952499,
6,0,,5.093823,
6,676,,5.093833,
6,408,,5.093838,
6,0,,5.093841,
6,0,,5.117281,
6,0,,5.117763,
6,1430,,5.139247,
6,1430,,5.139267,
6,1430,,5.139461,
6,932,,5.152236,
6,1430,,5.458296,
6,0,,5.467564,
6,0,,5.467573,
6,1430,,5.47484,
6,64,,5.655211,
6,0,,5.655222,
6,1430,,5.672651,
6,0,,5.699629,
6,64,,5.841975,
6,92,,5.841982,
6,0,,5.841986,
6,1430,,5.88161,
6,1430,,5.881631,
6,1430,,5.881841,
6,0,,5.8871,
6,0,,5.887109,
6,608,,5.887528,
6,31,,5.892642,
6,931,,5.901171,
6,608,,5.966044,
6,0,,6.029314,
6,110,,6.123279,
6,110,,6.126619,
6,0,,6.126635,
6,1266,,6.216207,
6,0,,6.248028,
6,33,,6.276338,
6,517,,6.402315,
6,0,,6.402324,
6,0,,6.45442,
6,596,,6.462034,
6,1430,,6.464883,
6,778,,6.477861,
6,39,,6.484763,
6,0,,6.539797,
6,0,,6.589501,
6,408,,6.589511,
6,0,,6.589516,
6,0,,6.61286,
6,64,,6.77725,
6,0,,6.777258,
6,0,,6.816509,
6,608,,6.816983,
6,1430,,6.817921,
6,1430,,6.818048,
6,1430,,6.818162,
6,1430,,6.820058,
6,933,,6.837541,
6,0,,6.96391,
6,639,,7.064801,
6,0,,7.151189,
6,39,,7.277436,
6,1422,,7.338226,
6,0,,7.364482,
6,676,,7.524866,
6,0,,7.524885,
6,0,,7.524888,
6,64,,7.524892,
6,64,,7.524895,
6,0,,7.524907,
6,110,,7.542151,
6,110,,7.544584,
6,0,,7.544599,
6,0,,7.548676,
6,0,,7.564415,
6,0,,7.565333,
6,608,,7.565786,
6,1430,,7.573992,
6,1430,,7.574107,
6,393,,7.574115,
6,1189,,7.629013,
6,64,,7.712308,
6,0,,7.712315,
6,0,,7.756712,
6,110,,7.770134,
6,0,,7.774019,
6,110,,7.774403,
6,0,,7.774414,
6,0,,7.89961,
6,0,,7.89962,
6,64,,8.085455,
6,92,,8.085464,
6,0,,8.134168,
6,0,,8.134188,
6,608,,8.134608,
6,31,,8.139736,
6,608,,8.162169,
6,608,,8.270056,
6,0,,8.273324,
6,64,,8.273331,
6,0,,8.273335,
6,0,,8.273339,
6,0,,8.313555,
6,0,,8.313718,
6,0,,8.318732,
6,1430,,8.325667,
6,1430,,8.325721,
6,395,,8.325725,
6,266,,8.460096,
6,0,,8.460112,
6,0,,8.489245,
6,0,,8.647107,
6,24,,8.647119,
6,0,,8.647122,
6,64,,8.647125,
6,410,,8.698883,
6,0,,8.699098,
6,608,,8.69958,
6,1430,,8.700924,
6,674,,8.785852,
6,0,,8.834305,
6,0,,8.834313,
6,573,,8.857836,
6,608,,8.914143,
6,266,,9.020389,
6,0,,9.044236,
6,0,,9.20779,
6,0,,9.207799,
6,0,,9.207802,
6,408,,9.207805,
6,0,,9.20781,
6,0,,9.207813,
6,0,,9.207819,
6,31,,9.207822,
6,0,,9.231196,
6,1047,,9.231836,
6,1430,,9.23667,
6,0,,9.248193,
6,1430,,9.249752,
6,0,,9.253111,
6,1430,,9.262989,
6,0,,9.275578,
6,64,,9.395212,
6,0,,9.447237,
6,1430,,9.483092,
6,1422,,9.58132,
6,1235,,9.58172,
6,0,,9.607566,
6,0,,9.769313,
6,0,,9.769321,
17,,1358,9.769331,
