protocol,tcp_bytes,quic_bytes,real_time,
6,80,,0.06229,
6,86,,0.332418,
6,56,,0.563115,
6,126,,0.765424,
6,56,,0.796804,
6,0,,0.94037,
6,0,,1.115932,
6,0,,1.115945,
6,0,,1.118032,
6,0,,1.118512,
6,0,,1.166436,
6,401,,1.376656,
6,0,,1.398446,
6,56,,1.415896,
6,0,,1.489841,
6,0,,1.489851,
6,517,,1.489854,
6,517,,1.489858,
6,0,,1.489867,
6,0,,1.489872,
6,0,,1.489877,
6,0,,1.489882,
6,0,,1.489886,
6,0,,1.492064,
6,0,,1.492073,
6,0,,1.492076,
6,0,,1.492255,
6,0,,1.492337,
6,0,,1.49243,
6,0,,1.492571,
6,1430,,1.557934,
6,1430,,1.557957,
6,1430,,1.558164,
6,1430,,1.558271,
6,932,,1.558276,
6,1430,,1.564225,
6,1430,,1.564354,
6,1430,,1.564485,
6,1430,,1.564494,
6,933,,1.564601,
6,0,,1.676845,
6,0,,1.679363,
6,0,,1.854603,
6,0,,1.863701,
6,0,,1.863709,
6,0,,1.863713,
6,0,,1.863717,
6,0,,1.86372,
6,517,,1.863724,
6,517,,1.863727,
6,0,,1.866077,
6,0,,1.866086,
6,0,,1.907975,
6,0,,1.908795,
6,1430,,1.933081,
6,1430,,1.9331,
6,1430,,1.933324,
6,1430,,1.93344,
6,933,,1.933448,
6,1430,,1.935653,
6,1430,,1.935663,
6,1430,,1.935881,
6,1430,,1.936011,
6,932,,1.93602,
6,0,,1.977955,
6,0,,1.977985,
6,517,,1.978141,
6,39,,2.031067,
6,0,,2.047023,
6,1430,,2.048405,
6,0,,2.048417,
6,1430,,2.048506,
6,0,,2.048514,
6,1430,,2.048651,
6,0,,2.04866,
6,1430,,2.048765,
6,0,,2.048774,
6,923,,2.048776,
6,0,,2.048779,
6,64,,2.049222,
6,208,,2.04973,
6,517,,2.050311,
6,517,,2.050318,
6,0,,2.052344,
6,0,,2.052572,
6,0,,2.118618,
6,1430,,2.12022,
6,1430,,2.120351,
6,1430,,2.12036,
6,1430,,2.12058,
6,529,,2.120588,
6,932,,2.120681,
6,1430,,2.122267,
6,1430,,2.122382,
6,1430,,2.122499,
6,395,,2.122513,
6,87,,2.137457,
6,0,,2.137537,
6,34,,2.138899,
6,0,,2.176955,
6,517,,2.237757,
6,0,,2.23778,
6,0,,2.237789,
6,517,,2.237794,
6,517,,2.237797,
6,0,,2.239832,
6,0,,2.239913,
6,0,,2.240006,
6,129,,2.261933,
6,1430,,2.308207,
6,1430,,2.308331,
6,1430,,2.308457,
6,1430,,2.308574,
6,932,,2.308585,
6,933,,2.351647,
6,0,,2.424851,
6,0,,2.440966,
6,129,,2.484127,
6,0,,2.511269,
6,110,,2.550425,
6,110,,2.554269,
6,0,,2.554285,
6,0,,2.6121,
6,0,,2.612106,
6,517,,2.61211,
6,517,,2.612113,
6,0,,2.614137,
6,0,,2.61418,
6,933,,2.730382,
6,0,,2.737399,
6,932,,2.746963,
6,517,,2.799159,
6,64,,2.799168,
6,92,,2.799171,
6,520,,2.799174,
6,0,,2.799179,
6,0,,2.799182,
6,0,,2.801278,
6,0,,2.801296,
6,0,,2.801392,
6,0,,2.801401,
6,608,,2.801735,
6,0,,2.802021,
6,31,,2.802369,
6,0,,2.806434,
6,1047,,2.92565,
6,1430,,2.925711,
6,1430,,2.925876,
6,395,,2.92867,
6,932,,2.931955,
6,1430,,2.938821,
6,1430,,2.951927,
6,1430,,2.965025,
6,1430,,2.978127,
6,0,,2.985298,
6,517,,2.985306,
6,517,,2.985309,
6,0,,2.987434,
6,0,,2.987537,
6,1430,,2.991217,
6,1430,,3.004341,
6,1430,,3.017429,
6,1430,,3.030537,
6,1430,,3.043632,
6,1430,,3.056729,
6,932,,3.06248,
6,110,,3.111927,
6,0,,3.116784,
6,110,,3.117193,
6,0,,3.117203,
6,0,,3.173031,
6,129,,3.269576,
6,0,,3.360214,
6,520,,3.360225,
6,0,,3.36222,
6,0,,3.546528,
6,0,,3.54654,
6,64,,3.546544,
6,517,,3.546548,
6,0,,3.548841,
6,0,,3.548853,
6,608,,3.549411,
6,1430,,3.615864,
6,0,,3.734071,
6,517,,3.734082,
6,0,,3.736145,
6,110,,3.79662,
6,110,,3.798889,
6,0,,3.798906,
6,1430,,3.899065,
6,0,,3.920506,
6,1430,,4.080864,
6,1430,,4.084039,
6,129,,4.089479,
6,0,,4.108067,
6,517,,4.108086,
6,517,,4.108095,
6,0,,4.110195,
6,0,,4.110286,
6,1430,,4.214635,
6,0,,4.294837,
6,64,,4.294846,
6,0,,4.297258,
6,1430,,4.335488,
6,0,,4.4818,
6,64,,4.481812,
6,92,,4.481815,
6,0,,4.483754,
6,0,,4.483764,
6,608,,4.484335,
6,31,,4.484354,
6,164,,4.642194,
6,1430,,4.657201,
6,0,,4.662493,
6,1266,,4.668386,
6,676,,4.668393,
6,0,,4.668397,
6,0,,4.670519,
6,1430,,4.670871,
6,1430,,4.671,
6,1430,,4.671009,
6,0,,4.675707,
6,932,,4.683895,
6,0,,4.855652,
6,24,,4.898394,
6,596,,4.915695,
6,1430,,4.91889,
6,690,,4.928794,
6,283,,4.935082,
6,39,,4.937546,
6,0,,5.042379,
6,0,,5.090073,
6,0,,5.226838,
6,0,,5.229871,
6,0,,5.229878,
6,64,,5.229881,
6,92,,5.229884,
6,252,,5.229887,
6,0,,5.231892,
6,0,,5.231903,
6,0,,5.231905,
6,608,,5.232324,
6,31,,5.237478,
6,541,,5.301987,
6,487,,5.304428,
6,70,,5.308817,
6,0,,5.417109,
6,64,,5.417118,
6,1430,,5.419576,
6,1430,,5.419705,
6,1430,,5.419722,
6,0,,5.419724,
6,932,,5.432584,
6,0,,5.603931,
6,0,,5.791148,
6,166,,5.950192,
6,0,,5.977372,
6,70,,6.075499,
6,0,,6.164744,
6,64,,6.164756,
6,0,,6.167072,
6,608,,6.167439,
6,401,,6.17626,
6,0,,6.351751,
6,1430,,6.35408,
6,1430,,6.35409,
6,395,,6.354193,
6,639,,6.511399,
6,1430,,6.518579,
6,0,,6.538751,
6,517,,6.538759,
6,64,,6.538764,
6,0,,6.540961,
6,0,,6.541105,
6,0,,6.726248,
6,0,,6.726269,
6,0,,6.726288,
6,64,,6.726293,
6,92,,6.726298,
6,0,,6.726304,
6,676,,6.726311,
6,0,,6.728238,
6,0,,6.728252,
6,0,,6.728313,
6,608,,6.728652,
6,0,,6.728661,
6,0,,6.728664,
6,31,,6.733842,
6,0,,6.91315,
6,1430,,6.915463,
6,1430,,6.915474,
6,1430,,6.928529,
6,932,,6.941564,
6,0,,7.030244,
6,1422,,7.09941,
6,0,,7.099421,
6,0,,7.101579,
6,608,,7.155967,
6,0,,7.287109,
6,266,,7.287119,
6,0,,7.294222,
6,608,,7.407073,
6,0,,7.474047,
6,64,,7.474056,
6,0,,7.476405,
6,409,,7.518962,
6,1430,,7.520976,
6,1430,,7.534112,
6,892,,7.547121,
6,110,,7.554834,
6,110,,7.560049,
6,0,,7.560073,
6,1430,,7.598895,
6,1430,,7.605445,
6,1430,,7.618545,
6,1430,,7.631647,
6,1430,,7.644772,
6,0,,7.66098,
6,0,,7.660989,
6,64,,7.660992,
6,408,,7.660995,
6,0,,7.661002,
6,0,,7.661005,
6,0,,7.663051,
6,0,,7.66306,
6,0,,7.663322,
6,0,,7.663331,
6,608,,7.663517,
6,1430,,7.665137,
6,0,,7.847479,
6,0,,7.847489,
6,0,,8.034515,
6,0,,8.034522,
6,0,,8.034525,
6,31,,8.034528,
6,64,,8.034532,
6,0,,8.036458,
6,0,,8.036573,
6,110,,8.117624,
6,0,,8.144057,
6,110,,8.144735,
6,0,,8.144755,
6,0,,8.221782,
6,1430,,8.224139,
6,1430,,8.23053,
6,1430,,8.243637,
6,1430,,8.25677,
6,0,,8.310513,
6,1180,,8.379682,
17,,1358,8.408757,
17,,1358,8.412359,
6,1430,,8.433325,
17,,1358,8.480246,
17,,1358,8.480268,
17,,1358,8.480425,
17,,1358,8.480528,
6,317,,8.595764,
6,0,,8.595782,
6,1430,,8.598081,
6,1430,,8.60462,
6,0,,8.617405,
6,608,,8.630888,
6,0,,8.680317,
6,0,,8.699985,
17,,1358,8.783026,
6,266,,8.783037,
6,0,,8.78304,
6,0,,8.783044,
6,0,,8.785163,
17,,1358,8.785549,
17,,336,8.785557,
6,110,,8.799263,
6,110,,8.801589,
6,0,,8.801605,
6,0,,8.969881,
6,317,,8.969891,
6,1430,,8.972134,
6,0,,8.978369,
6,129,,8.982935,
17,,1358,9.085724,
6,0,,9.156901,
17,,1358,9.156914,
6,1430,,9.159287,
17,,1358,9.159385,
6,129,,9.268046,
6,0,,9.343695,
6,1430,,9.345894,
6,53,,9.42402,
6,608,,9.459946,
6,0,,9.530962,
6,64,,9.53097,
6,1430,,9.53313,
6,0,,9.533139,
6,0,,9.717458,
6,0,,9.717469,
6,0,,9.717473,
6,1430,,9.719665,
6,0,,9.719676,
6,0,,9.719679,
6,1430,,9.726229,
6,1430,,9.739324,
6,1430,,9.752444,
17,,1358,9.759502,
6,1430,,9.765536,
6,1235,,9.770517,
6,1430,,9.7786,
6,1430,,9.791715,
6,1430,,9.804835,
6,1430,,9.817947,
6,1430,,9.831038,
6,1430,,9.844144,
6,1430,,9.857236,
6,1430,,9.870362,
6,0,,9.904573,
6,1430,,9.906794,
6,1430,,9.913343,
6,1422,,10.091736,
6,0,,10.091746,
6,1430,,10.094129,
6,0,,10.094138,
6,1430,,10.100746,
6,129,,10.117662,
6,0,,10.279001,
6,1430,,10.281214,
6,1430,,10.287756,
6,0,,10.465744,
17,,1358,10.465755,
6,1430,,10.467947,
17,,1358,10.468172,
6,1430,,10.474506,
6,0,,10.653,
6,408,,10.65302,
6,1430,,10.655213,
6,0,,10.655232,
6,1048,,10.737263,
6,0,,10.839515,
6,0,,10.839525,
6,0,,11.02672,
6,422,,11.026732,
6,0,,11.028745,
6,1430,,11.029197,
6,393,,11.029206,
6,0,,11.213828,
6,557,,11.215957,
6,0,,11.401066,
6,1430,,11.403374,
6,1430,,11.409911,
6,892,,11.42292,
6,284,,11.529156,
6,0,,11.588212,
6,64,,11.588224,
6,0,,11.590208,
17,,1358,11.668411,
6,0,,11.752168,
6,0,,11.772079,
6,0,,11.961695,
6,64,,11.961705,
6,0,,11.963854,
6,0,,12.149126,
6,0,,12.149138,
6,0,,12.149141,
6,1430,,12.151377,
6,0,,12.335596,
17,,1358,12.335608,
6,0,,12.522901,
6,110,,12.561069,
6,110,,12.563689,
6,0,,12.563752,
6,0,,12.709315,
6,0,,12.896671,
6,31,,12.896681,
6,0,,12.898597,
6,1180,,13.052273,
6,0,,13.083488,
6,0,,13.083498,
6,422,,13.083502,
6,1430,,13.085727,
6,557,,13.085736,
6,0,,13.085738,
6,1012,,13.092199,
6,110,,13.145134,
6,0,,13.149587,
6,110,,13.149971,
6,0,,13.149982,
6,0,,13.270561,
6,1430,,13.422997,
6,608,,13.430888,
6,0,,13.457656,
6,0,,13.457666,
6,0,,13.457669,
6,39,,13.457672,
6,0,,13.459603,
6,0,,13.566396,
6,0,,13.644693,
6,0,,13.644703,
6,0,,13.644706,
6,0,,13.644709,
6,31,,13.644712,
6,35,,13.644715,
6,0,,13.644729,
6,0,,13.644732,
6,0,,13.646764,
