protocol,tcp_bytes,quic_bytes,real_time
6,0,,0.647426
6,73,,0.729827
6,73,,0.813145
6,0,,0.858985
6,0,,1.2696
6,0,,1.269609
6,0,,1.310249
6,0,,1.313925
6,0,,1.456734
6,0,,1.45675
6,517,,1.456754
6,517,,1.456758
6,0,,1.497336
6,0,,1.500887
6,1430,,1.557496
6,1430,,1.557624
6,1430,,1.557738
6,1430,,1.557868
6,932,,1.557873
6,1430,,1.560963
6,1430,,1.561091
6,1430,,1.561206
6,1430,,1.561306
6,933,,1.561315
6,46,,1.567589
6,46,,1.667367
6,46,,1.77057
6,0,,1.840325
6,0,,1.841985
6,110,,1.884561
6,110,,1.888475
6,0,,1.888549
6,0,,1.922704
6,0,,1.922736
6,517,,1.922904
6,932,,1.933801
6,933,,1.941709
6,46,,1.963237
6,0,,2.002569
6,1430,,2.002911
6,0,,2.002924
6,1430,,2.003055
6,0,,2.003064
6,1430,,2.003156
6,0,,2.003161
6,1430,,2.003272
6,0,,2.003278
6,923,,2.003282
6,0,,2.003284
6,64,,2.003675
6,208,,2.004026
6,0,,2.016968
6,0,,2.016974
6,0,,2.016977
6,0,,2.083399
6,529,,2.085046
6,87,,2.090739
6,0,,2.090783
6,34,,2.091967
6,0,,2.128477
6,0,,2.204305
6,46,,2.347168
6,0,,2.372452
6,0,,2.391481
6,0,,2.44176
6,110,,2.479239
6,110,,2.485096
6,0,,2.485117
6,1430,,2.533787
6,64,,2.578471
6,92,,2.578482
6,520,,2.578498
6,0,,2.578503
6,31,,2.603452
6,0,,2.618714
6,0,,2.618735
6,0,,2.6188
6,608,,2.619527
6,1430,,2.622646
6,1430,,2.622772
6,1430,,2.622887
17,,1358,2.624336
17,,86,2.624613
17,,541,2.62494
17,,101,2.627185
6,933,,2.63566
17,,1358,2.652592
17,,1358,2.704934
17,,630,2.704953
17,,34,2.704954
17,,33,2.705069
17,,86,2.705276
17,,41,2.705337
17,,84,2.707317
17,,41,2.707403
6,1048,,2.719821
6,1430,,2.719853
6,1430,,2.72643
6,1430,,2.726441
6,1430,,2.739525
6,1430,,2.739546
6,1430,,2.752597
6,1430,,2.752727
6,0,,2.765039
6,1430,,2.765672
6,1430,,2.7658
17,,617,2.771225
17,,33,2.77136
17,,43,2.771427
17,,33,2.773439
6,1430,,2.778757
6,1430,,2.778881
17,,94,2.77889
17,,43,2.779055
17,,33,2.779398
6,1430,,2.791873
17,,41,2.805727
17,,33,2.807006
6,520,,2.95172
6,0,,2.975352
6,46,,3.115181
6,0,,3.138668
6,110,,3.323353
6,0,,3.32519
6,0,,3.325905
6,110,,3.325963
6,0,,3.325971
6,0,,3.513278
6,64,,3.513288
6,0,,3.513298
6,0,,3.513304
6,0,,3.51331
6,0,,3.513314
6,0,,3.51332
6,676,,3.513324
6,0,,3.513328
6,0,,3.513331
6,0,,3.516045
6,0,,3.516262
6,0,,3.536997
6,0,,3.557094
6,0,,3.557236
6,608,,3.557696
6,0,,3.566644
6,0,,3.566653
6,0,,3.70017
6,0,,3.700184
6,0,,3.700187
6,0,,3.700194
6,0,,3.702807
6,1430,,3.724063
6,1430,,3.724084
6,0,,3.744826
6,608,,3.821624
6,0,,3.887018
6,64,,3.88703
6,0,,3.887034
6,31,,3.887038
6,0,,3.889865
6,1430,,3.910904
6,0,,3.913855
6,0,,3.9309
6,0,,4.074183
6,608,,4.19787
6,0,,4.261151
6,0,,4.448446
6,0,,4.448457
6,0,,4.448461
6,31,,4.448465
6,64,,4.448482
6,0,,4.448487
6,0,,4.448491
6,0,,4.448495
6,0,,4.450914
6,0,,4.451387
6,0,,4.472056
6,0,,4.492199
6,0,,4.492297
6,0,,4.501791
6,0,,4.501802
6,0,,4.635536
6,0,,4.635547
6,46,,4.650233
6,0,,4.679725
6,0,,4.747811
6,0,,4.822095
6,0,,4.822111
6,0,,4.822114
6,0,,4.822119
6,0,,4.824461
6,0,,4.824502
6,1405,,4.845908
17,,1358,5.009279
17,,1358,5.054722
17,,1358,5.114438
17,,1358,5.114465
17,,1358,5.114662
17,,1358,5.11476
6,317,,5.196044
6,0,,5.196066
6,0,,5.220201
6,332,,5.221013
6,1430,,5.221471
6,608,,5.349384
17,,1358,5.38369
6,0,,5.383701
6,0,,5.383705
6,1430,,5.40768
6,1430,,5.41094
17,,1358,5.428574
17,,332,5.428594
6,0,,5.49297
6,0,,5.499116
6,0,,5.500831
6,0,,5.5129
6,141,,5.537296
6,0,,5.557858
6,64,,5.570127
6,0,,5.570137
6,1430,,5.594013
6,0,,5.613929
17,,1358,5.729022
6,0,,5.735066
17,,1358,5.757364
6,0,,5.757408
6,1430,,5.781467
17,,1358,5.802013
6,0,,5.88473
6,0,,5.944044
6,1430,,5.967902
6,0,,6.131294
6,1430,,6.155117
6,348,,6.318624
6,0,,6.342839
17,,1358,6.402141
6,0,,6.505653
6,0,,6.505677
6,0,,6.505686
6,0,,6.505691
6,0,,6.505695
6,0,,6.505698
6,0,,6.508211
6,0,,6.508964
6,0,,6.549529
6,0,,6.558837
6,0,,6.559084
6,0,,6.692982
6,0,,6.692996
6,0,,6.737538
6,0,,6.859655
17,,41,6.87203
17,,33,6.875811
6,0,,6.879239
6,0,,6.879247
6,0,,6.879251
6,0,,6.879256
6,0,,6.879259
6,0,,6.879263
6,517,,6.879267
6,517,,6.87927
6,0,,6.881559
6,0,,6.881829
6,0,,6.881919
6,0,,6.882033
6,110,,6.8892
6,110,,6.909914
6,0,,6.909946
6,1430,,6.951013
6,1430,,6.956799
6,517,,7.066552
6,0,,7.109966
6,1430,,7.170308
17,,1358,7.253771
6,0,,7.253781
6,0,,7.253784
6,0,,7.253788
6,0,,7.253791
6,0,,7.253795
6,517,,7.253798
17,,1358,7.29849
6,0,,7.307448
6,1430,,7.36729
