protocol,tcp_bytes,quic_bytes,real_time,
6,308,,0.063005,
6,0,,0.13197,
6,110,,1.045499,
6,110,,1.052398,
6,0,,1.052418,
6,0,,1.073519,
6,0,,1.07353,
6,0,,1.075894,
6,0,,1.076143,
6,0,,1.447006,
6,0,,1.447014,
6,517,,1.447017,
6,517,,1.44702,
6,0,,1.447031,
6,0,,1.447036,
6,0,,1.447041,
6,0,,1.447045,
6,0,,1.44705,
6,0,,1.45201,
6,0,,1.452024,
6,0,,1.452188,
6,0,,1.452196,
6,0,,1.452198,
6,0,,1.452199,
6,0,,1.452201,
6,1430,,1.516726,
6,1430,,1.516881,
6,1430,,1.516985,
6,1430,,1.517099,
6,932,,1.517112,
6,1430,,1.517674,
6,1430,,1.517804,
6,1430,,1.51792,
6,1430,,1.518034,
6,933,,1.518047,
6,0,,1.634307,
6,0,,1.636995,
6,0,,1.820612,
6,0,,1.820619,
6,0,,1.820622,
6,0,,1.820626,
6,0,,1.820629,
6,517,,1.820632,
6,517,,1.820638,
6,0,,1.822806,
6,0,,1.822874,
6,1430,,1.888521,
6,1430,,1.88854,
6,1430,,1.888727,
6,1430,,1.888857,
6,932,,1.888862,
6,1430,,1.889284,
6,1430,,1.889415,
6,1430,,1.889529,
6,394,,1.889536,
6,0,,1.903703,
6,0,,1.904795,
6,0,,1.971996,
6,0,,1.972017,
6,517,,1.972165,
6,517,,2.008034,
6,517,,2.008044,
6,0,,2.010281,
6,0,,2.010574,
6,0,,2.039333,
6,1430,,2.040588,
6,0,,2.040599,
6,1430,,2.040603,
6,0,,2.040607,
6,1430,,2.040816,
6,0,,2.040825,
6,1430,,2.04093,
6,0,,2.040939,
6,924,,2.040941,
6,0,,2.040944,
6,64,,2.041339,
6,208,,2.0418,
6,1430,,2.076714,
6,1430,,2.076736,
6,1430,,2.076941,
6,1430,,2.077075,
6,932,,2.077083,
6,1430,,2.078386,
6,1430,,2.078487,
6,1430,,2.078618,
6,394,,2.07862,
6,0,,2.108896,
6,529,,2.109826,
6,87,,2.119675,
6,0,,2.119735,
6,34,,2.121263,
6,0,,2.159237,
6,517,,2.194944,
6,0,,2.194991,
6,0,,2.195005,
6,517,,2.195009,
6,517,,2.195015,
6,0,,2.197208,
6,0,,2.19722,
6,0,,2.197326,
6,1430,,2.263249,
6,1430,,2.263274,
6,1430,,2.263494,
6,1430,,2.263596,
6,932,,2.263611,
6,933,,2.291249,
6,0,,2.382261,
6,0,,2.439244,
6,0,,2.507281,
6,0,,2.568736,
6,0,,2.568745,
6,517,,2.568748,
6,517,,2.568752,
6,0,,2.571002,
6,0,,2.571293,
6,0,,2.652759,
6,932,,2.661041,
17,,85,2.682226,
6,394,,2.684185,
17,,41,2.708043,
6,517,,2.756007,
6,0,,2.756017,
6,64,,2.756021,
6,92,,2.756024,
6,521,,2.756031,
6,0,,2.756036,
6,0,,2.758204,
6,0,,2.758213,
6,0,,2.758289,
6,0,,2.758297,
6,0,,2.758299,
6,608,,2.758769,
6,31,,2.759329,
6,110,,2.77001,
6,110,,2.773745,
6,0,,2.773757,
6,932,,2.844975,
6,394,,2.856481,
6,1048,,2.885586,
6,1430,,2.885607,
6,1430,,2.885828,
6,1430,,2.898655,
6,1430,,2.911704,
6,0,,2.911722,
6,0,,2.912867,
