protocol,tcp_bytes,quic_bytes,real_time,
6,39,,0.126368,
6,110,,0.926376,
6,110,,0.928329,
6,0,,0.928358,
6,129,,1.001131,
6,0,,1.087647,
6,0,,1.087658,
6,0,,1.090263,
6,0,,1.090273,
6,64,,1.146915,
6,0,,1.274877,
6,0,,1.274887,
6,0,,1.274891,
6,0,,1.277296,
6,0,,1.277559,
6,0,,1.277767,
6,51,,1.304355,
6,0,,1.461681,
6,0,,1.46169,
6,517,,1.461694,
6,517,,1.461699,
6,0,,1.461711,
6,0,,1.461716,
6,0,,1.46172,
6,0,,1.464114,
6,0,,1.464234,
6,0,,1.464556,
6,0,,1.46457,
6,0,,1.464572,
6,1430,,1.530443,
6,1430,,1.530581,
6,1430,,1.530699,
6,1430,,1.530798,
6,932,,1.530807,
6,1430,,1.531797,
6,1430,,1.531914,
6,1430,,1.532043,
6,1430,,1.532158,
6,931,,1.532166,
17,,41,1.580753,
17,,33,1.584936,
6,0,,1.648588,
6,0,,1.648597,
6,0,,1.6486,
6,517,,1.648603,
6,517,,1.648607,
6,0,,1.650859,
6,0,,1.651158,
6,1430,,1.717451,
6,1430,,1.717577,
6,1430,,1.717692,
6,1430,,1.717806,
6,1430,,1.717937,
6,1430,,1.718052,
6,931,,1.718061,
6,1430,,1.718265,
6,395,,1.718274,
17,,939,1.799186,
17,,35,1.802623,
17,,41,1.827815,
6,517,,1.835599,
6,0,,1.835606,
6,0,,1.835609,
6,0,,1.835612,
6,517,,1.835615,
6,0,,1.837985,
6,0,,1.838233,
6,1430,,1.906454,
6,1430,,1.906473,
6,1430,,1.906699,
6,1430,,1.906813,
6,1430,,1.906944,
6,1430,,1.906953,
6,932,,1.907226,
6,1430,,1.90723,
6,1430,,1.907366,
6,932,,1.907371,
6,0,,1.909802,
6,0,,1.91088,
6,46,,1.913262,
17,,545,1.932261,
17,,43,1.932441,
17,,280,1.935158,
17,,41,1.960437,
6,0,,1.980685,
6,0,,1.980707,
6,517,,1.980862,
6,517,,2.022045,
6,517,,2.022052,
6,0,,2.022072,
6,0,,2.02435,
6,0,,2.024764,
6,0,,2.05044,
6,1430,,2.050835,
6,0,,2.050852,
6,1430,,2.050948,
6,0,,2.050951,
6,1430,,2.05108,
6,0,,2.051086,
6,1430,,2.051195,
6,0,,2.0512,
6,924,,2.051203,
6,0,,2.051205,
6,64,,2.051687,
6,208,,2.054411,
6,129,,2.067252,
6,1430,,2.090584,
6,1430,,2.090722,
6,1430,,2.090843,
6,1430,,2.090942,
6,931,,2.091023,
6,1430,,2.092886,
6,1430,,2.093,
6,1430,,2.093104,
6,394,,2.093107,
6,0,,2.123409,
6,0,,2.209814,
6,129,,2.223337,
17,,854,2.261039,
17,,35,2.264068,
17,,41,2.289325,
6,931,,2.318826,
17,,480,2.394292,
17,,43,2.394474,
6,0,,2.3967,
6,517,,2.396712,
6,517,,2.396716,
17,,136,2.39731,
