protocol,tcp_bytes,quic_bytes,real_time,
6,0,,1.238054,
6,0,,1.238067,
6,0,,1.240289,
6,0,,1.240523,
6,0,,1.541601,
6,0,,1.541846,
6,0,,1.570973,
6,0,,1.570996,
6,0,,1.571003,
6,0,,1.571016,
6,0,,1.57102,
6,0,,1.574039,
6,0,,1.574276,
6,0,,1.574522,
6,0,,1.579872,
6,0,,1.579881,
6,0,,1.579885,
6,0,,1.579888,
6,517,,1.579895,
6,517,,1.579899,
6,0,,1.579908,
6,0,,1.582162,
6,0,,1.582195,
6,0,,1.617797,
6,0,,1.61802,
6,0,,1.627132,
6,1430,,1.648746,
6,1430,,1.648875,
6,1430,,1.64899,
6,1430,,1.649114,
6,1093,,1.649125,
6,1430,,1.649244,
6,1430,,1.64946,
6,1430,,1.649575,
6,1430,,1.649689,
6,1094,,1.649694,
6,1104,,1.679415,
6,0,,1.876335,
6,0,,1.876357,
6,0,,1.881253,
6,0,,1.921315,
6,0,,1.92844,
6,0,,1.928684,
6,0,,1.969983,
6,0,,1.969998,
6,0,,1.970007,
6,517,,1.970014,
6,517,,1.970018,
6,0,,1.972531,
6,0,,1.972547,
6,517,,2.023529,
6,0,,2.023548,
6,0,,2.023554,
6,0,,2.023562,
6,517,,2.023567,
6,0,,2.023574,
6,0,,2.023578,
6,0,,2.023582,
6,0,,2.025674,
6,0,,2.025695,
6,0,,2.025767,
6,0,,2.02578,
6,1430,,2.040343,
6,1430,,2.040365,
6,1430,,2.040583,
6,391,,2.040594,
6,1430,,2.04137,
6,1430,,2.041484,
6,1430,,2.041615,
6,1430,,2.041704,
6,1093,,2.041802,
6,517,,2.04794,
6,517,,2.047951,
6,517,,2.047955,
6,0,,2.047962,
6,0,,2.065827,
6,0,,2.073035,
6,1430,,2.092656,
6,1430,,2.09268,
6,1430,,2.092898,
6,392,,2.092909,
6,0,,2.094176,
6,0,,2.094428,
6,0,,2.094727,
6,0,,2.097905,
6,0,,2.123023,
6,0,,2.123036,
6,0,,2.149144,
6,1430,,2.154547,
6,1430,,2.154673,
6,1430,,2.154787,
6,1430,,2.154919,
6,951,,2.154924,
6,1430,,2.158131,
6,1430,,2.158261,
6,1430,,2.158375,
6,1430,,2.158489,
6,951,,2.158572,
6,1430,,2.158703,
6,1430,,2.158819,
6,1430,,2.158949,
6,1430,,2.159064,
6,950,,2.159068,
6,0,,2.174529,
6,74,,2.174542,
6,92,,2.174546,
6,520,,2.174552,
6,517,,2.174557,
6,0,,2.176762,
6,0,,2.176779,
6,0,,2.176876,
6,0,,2.176884,
6,910,,2.177162,
