protocol,tcp_bytes,Quic-bytes,real_time,
6,0,,1.250478,
6,0,,1.250489,
6,0,,1.295459,
6,0,,1.297386,
6,0,,1.389558,
6,0,,1.389575,
6,517,,1.389581,
6,517,,1.389586,
6,0,,1.436247,
6,1430,,1.494677,
6,1430,,1.494805,
6,1430,,1.494918,
6,1430,,1.495033,
6,1094,,1.49513,
6,1430,,1.49643,
6,1430,,1.496539,
6,1430,,1.496672,
6,1430,,1.496787,
6,1092,,1.496883,
6,53,,1.685289,
6,0,,1.735081,
6,0,,1.735094,
6,0,,1.7351,
6,0,,1.775679,
6,1094,,1.778375,
6,1092,,1.779116,
6,0,,1.779125,
6,0,,1.781091,
6,0,,1.782072,
6,0,,1.784001,
6,0,,1.924371,
6,0,,2.078226,
6,0,,2.082638,
6,0,,2.084598,
6,107,,2.099675,
6,1430,,2.16432,
6,53,,2.164377,
6,80,,2.190257,
6,1430,,2.203217,
6,107,,2.346221,
6,0,,2.553735,
6,0,,2.553745,
6,0,,2.553748,
6,0,,2.553751,
6,74,,2.553754,
6,0,,2.553765,
6,0,,2.55377,
6,0,,2.553775,
6,92,,2.553787,
6,520,,2.553791,
6,31,,2.586099,
6,107,,2.594469,
6,0,,2.596534,
6,1430,,2.598812,
6,1094,,2.59883,
6,0,,2.59899,
6,0,,2.599469,
6,0,,2.602216,
6,0,,2.602233,
6,0,,2.602235,
6,910,,2.602419,
6,173,,2.607365,
6,520,,2.60811,
6,0,,2.60812,
6,0,,2.613318,
6,0,,2.613342,
6,0,,2.613346,
6,0,,2.613353,
6,0,,2.61336,
6,74,,2.613364,
6,517,,2.61337,
6,0,,2.61591,
6,0,,2.615917,
6,0,,2.615922,
6,0,,2.615925,
6,0,,2.615928,
6,0,,2.615932,
6,0,,2.615934,
6,0,,2.615937,
6,0,,2.615939,
6,0,,2.615942,
6,0,,2.615945,
6,517,,2.615949,
6,517,,2.615953,
6,517,,2.615956,
6,0,,2.63376,
6,53,,2.645205,
6,0,,2.653673,
6,1430,,2.655041,
6,1430,,2.655052,
6,1430,,2.655171,
6,910,,2.655698,
6,0,,2.658677,
6,0,,2.659636,
6,0,,2.661593,
6,1092,,2.664725,
6,910,,2.668315,
6,0,,2.668335,
6,1224,,2.683413,
6,1430,,2.685197,
6,1430,,2.689302,
6,1430,,2.689313,
6,1430,,2.697476,
6,1430,,2.697484,
6,1430,,2.705612,
6,1066,,2.705633,
6,1430,,2.712782,
6,1430,,2.712802,
6,1430,,2.71419,
6,1430,,2.7142,
6,1430,,2.714418,
6,1430,,2.714549,
6,950,,2.714557,
6,1430,,2.719122,
6,1430,,2.719144,
6,1430,,2.719347,
6,391,,2.719355,
6,1430,,2.719888,
6,1430,,2.720019,
6,1430,,2.720134,
6,391,,2.720142,
6,1430,,2.72094,
6,1430,,2.721054,
6,1430,,2.721447,
6,1430,,2.721576,
6,1430,,2.72169,
6,1430,,2.721849,
6,949,,2.721857,
6,1430,,2.72913,
6,1430,,2.729246,
6,1430,,2.73729,
6,1430,,2.737392,
6,1430,,2.745485,
6,1430,,2.745498,
6,1430,,2.753654,
6,953,,2.753679,
6,0,,2.764419,
6,0,,2.764427,
6,0,,2.764431,
6,0,,2.764434,
6,0,,2.764437,
6,517,,2.764441,
6,517,,2.764447,
6,31,,2.764452,
6,0,,2.789749,
6,0,,2.809698,
6,0,,2.810154,
6,391,,2.853209,
6,1430,,2.869908,
6,1430,,2.869929,
6,1430,,2.870133,
6,1430,,2.870263,
6,950,,2.870271,
6,1430,,2.870755,
6,1430,,2.870886,
6,1430,,2.870895,
6,1430,,2.871116,
6,950,,2.871124,
6,0,,2.907375,
6,0,,2.907383,
6,0,,2.907386,
6,0,,2.907389,
6,0,,2.907396,
6,0,,2.907402,
6,0,,2.913361,
6,0,,2.918465,
6,0,,2.918471,
6,0,,2.948979,
6,0,,2.949708,
6,0,,3.015066,
6,0,,3.021497,
6,0,,3.092696,
6,107,,3.094289,
6,953,,3.094674,
6,1430,,3.124407,
6,0,,3.251028,
6,0,,3.252982,
6,950,,3.296606,
6,950,,3.29948,
6,0,,3.347619,
6,0,,3.394872,
6,6,,3.473447,
6,1430,,3.496771,
6,53,,3.652374,
6,1430,,3.708355,
6,391,,3.73253,
6,0,,3.756074,
6,950,,3.757668,
6,949,,3.762381,
6,1430,,3.938925,
6,1430,,3.984703,
6,107,,4.086235,
6,703,,4.291755,
6,0,,4.534551,
17,,1358,4.534567,
6,1430,,4.560289,
6,1430,,4.560419,
6,1430,,4.564346,
6,1430,,4.564453,
6,0,,4.572052,
17,,1358,4.580571,
17,,1358,4.640292,
17,,1358,4.640402,
17,,1358,4.6405,
17,,376,4.640504,
6,313,,4.697604,
17,,1358,4.722736,
6,313,,4.722759,
6,0,,4.722766,
6,0,,4.722771,
17,,1358,4.722775,
6,517,,4.72278,
6,517,,4.722786,
6,0,,4.722794,
6,0,,4.723053,
6,0,,4.748341,
6,1430,,4.748902,
6,1066,,4.74891,
6,1430,,4.755785,
6,1430,,4.755901,
6,0,,4.764452,
6,0,,4.7652,
6,0,,4.767954,
6,0,,4.768526,
17,,1358,4.769218,
6,1430,,4.796405,
6,0,,4.893734,
6,0,,4.893745,
6,0,,4.893748,
6,1430,,4.919497,
6,1430,,4.91951,
6,1430,,4.923589,
6,1430,,4.923689,
6,1430,,4.93175,
6,1430,,4.931771,
6,1430,,4.939911,
6,1430,,4.939932,
6,1430,,4.948072,
6,953,,4.952116,
6,0,,5.053869,
6,0,,5.067566,
17,,1358,5.069614,
6,1430,,5.079618,
6,1430,,5.081632,
6,1430,,5.218866,
6,1430,,5.264692,
6,53,,5.572308,
17,,1358,5.670005,
6,107,,6.074253,
6,0,,6.079785,
6,0,,6.0798,
17,,1358,6.079806,
17,,1358,6.124772,
6,0,,6.236118,
6,0,,6.350634,
6,0,,6.35064,
6,0,,6.350643,
6,517,,6.350647,
6,517,,6.350651,
6,0,,6.365312,
6,344,,6.365321,
6,64,,6.365325,
6,92,,6.365328,
6,1266,,6.366231,
6,0,,6.382408,
6,0,,6.382419,
6,0,,6.386593,
6,0,,6.386604,
6,0,,6.390788,
6,0,,6.39217,
6,0,,6.392915,
6,0,,6.39559,
6,0,,6.396156,
6,0,,6.3976,
6,0,,6.405634,
6,0,,6.405644,
6,608,,6.405983,
6,31,,6.405994,
6,1430,,6.425232,
6,1430,,6.425252,
6,391,,6.427195,
6,574,,6.623526,
6,1430,,6.626509,
6,1430,,6.663145,
6,655,,6.692585,
6,218,,6.72414,
6,1430,,6.740722,
6,1430,,6.770512,
6,0,,6.893071,
6,64,,6.893078,
6,92,,6.893081,
6,266,,6.893084,
6,0,,6.897911,
6,31,,6.918462,
6,0,,6.935554,
6,0,,6.935585,
6,0,,6.935687,
6,608,,6.936073,
6,1430,,6.936833,
6,1430,,6.936958,
6,391,,6.936962,
6,0,,6.955402,
6,0,,6.955411,
6,64,,6.955414,
6,0,,6.981325,
6,0,,6.998893,
6,608,,6.999404,
6,1430,,7.00721,
6,1430,,7.009242,
6,1430,,7.009372,
6,1430,,7.017418,
6,31,,7.05033,
6,388,,7.146278,
6,1430,,7.14661,
6,1430,,7.148198,
6,853,,7.148213,
6,1430,,7.221425,
6,1430,,7.222204,
6,1430,,7.222334,
6,1430,,7.225316,
6,1430,,7.225431,
6,1430,,7.228411,
6,1430,,7.228543,
6,1430,,7.23151,
6,1430,,7.231624,
6,1430,,7.234639,
6,1430,,7.234661,
6,927,,7.237655,
17,,1358,7.325374,
6,0,,7.414262,
17,,1358,7.414274,
6,1430,,7.428595,
6,1430,,7.440178,
6,1430,,7.44221,
6,1430,,7.458627,
6,24,,7.511055,
6,0,,7.595853,
6,1430,,7.641528,
6,1430,,7.641549,
6,1430,,7.641751,
6,949,,7.64176,
6,24,,7.673673,
6,0,,7.673699,
6,1430,,7.778886,
6,1430,,7.824696,
6,39,,8.014745,
6,608,,8.020635,
6,0,,8.099672,
6,0,,8.099681,
6,266,,8.099685,
6,1266,,8.10189,
6,0,,8.101896,
6,0,,8.105437,
6,0,,8.124011,
6,0,,8.124022,
6,64,,8.124026,
6,92,,8.124029,
6,252,,8.124032,
6,0,,8.125259,
6,0,,8.127917,
6,0,,8.143308,
6,1430,,8.149938,
6,31,,8.150437,
6,1430,,8.169174,
6,0,,8.169421,
6,0,,8.16943,
6,0,,8.169432,
6,608,,8.169957,
6,520,,8.210801,
6,486,,8.210834,
6,0,,8.21216,
6,31,,8.212623,
6,39,,8.212632,
6,0,,8.225865,
6,953,,8.237987,
6,1430,,8.251756,
6,0,,8.366684,
6,1430,,8.392588,
6,1430,,8.39462,
6,1430,,8.394736,
6,1430,,8.402816,
6,1430,,8.40284,
6,1430,,8.410988,
6,1430,,8.410999,
6,0,,8.411163,
6,0,,8.41288,
6,1430,,8.419163,
6,1430,,8.419171,
6,1430,,8.427309,
6,1430,,8.427423,
6,1430,,8.435519,
6,1430,,8.439595,
6,1430,,8.439705,
6,1430,,8.44777,
6,1430,,8.447886,
6,1430,,8.455946,
6,1430,,8.456076,
6,1430,,8.464126,
6,1430,,8.464182,
6,1430,,8.472301,
6,1430,,8.472323,
6,1430,,8.480472,
6,1430,,8.480586,
6,0,,8.493983,
6,0,,8.516871,
6,1430,,8.51986,
6,1430,,8.521908,
6,1430,,8.521918,
6,0,,8.528932,
6,1430,,8.530058,
6,1430,,8.542718,
6,24,,8.553232,
6,1430,,8.574123,
6,1430,,8.577812,
6,1430,,8.577831,
6,950,,8.592492,
6,0,,8.603648,
6,0,,8.603655,
6,64,,8.603658,
6,0,,8.644185,
6,0,,8.644197,
6,64,,8.6442,
6,0,,8.647104,
6,0,,8.689037,
6,0,,8.909924,
6,313,,8.909936,
6,0,,8.935575,
6,1430,,8.955587,
6,1430,,8.959248,
6,1430,,8.959381,
6,950,,8.973904,
6,0,,9.007548,
6,1027,,9.028361,
6,0,,9.037526,
6,0,,9.165526,
6,0,,9.204639,
6,0,,9.20627,
6,39,,9.246595,
6,0,,9.308888,
6,0,,9.309268,
6,147,,9.309426,
6,0,,9.309716,
