protocol,tcp_bytes,quic_bytes,real_time,
6,110,,0.125574,
6,0,,0.128097,
6,110,,0.128776,
6,0,,0.128792,
6,110,,0.162118,
6,110,,0.166327,
6,0,,0.166353,
6,0,,0.268216,
6,110,,0.772725,
6,110,,0.774277,
6,0,,0.774295,
6,0,,1.064759,
6,24,,1.599997,
6,0,,1.645004,
6,0,,1.645016,
6,0,,1.647097,
6,0,,1.647333,
6,0,,1.648615,
6,0,,1.648623,
6,0,,1.650091,
6,0,,1.650098,
6,517,,1.650101,
6,517,,1.650105,
6,0,,1.650781,
6,0,,1.650791,
6,0,,1.652176,
6,0,,1.652396,
6,0,,1.653432,
6,0,,1.65344,
6,517,,1.659563,
6,517,,1.659573,
6,0,,1.661635,
6,0,,1.661655,
6,1430,,1.715474,
6,1430,,1.715581,
6,1430,,1.715696,
6,1430,,1.715828,
6,1094,,1.715909,
6,1430,,1.717486,
6,1430,,1.717597,
6,1430,,1.717728,
6,1430,,1.717842,
6,1094,,1.71794,
6,1430,,1.726202,
6,1430,,1.72633,
6,1430,,1.726443,
6,391,,1.726448,
6,1430,,1.728848,
6,1430,,1.728896,
6,1430,,1.729066,
6,1430,,1.729198,
6,950,,1.729205,
6,1094,,1.729379,
6,1094,,1.731246,
6,391,,1.738314,
6,950,,1.741458,
6,0,,1.874165,
6,0,,1.875112,
6,1430,,1.936403,
6,1430,,1.940278,
6,517,,1.943568,
6,517,,1.94358,
6,0,,1.944791,
6,0,,1.9448,
6,0,,1.944802,
6,0,,1.944805,
6,0,,1.944808,
6,0,,1.944813,
6,0,,1.944816,
6,0,,1.944819,
6,0,,1.944822,
6,0,,1.944824,
6,0,,1.944827,
6,0,,1.94483,
6,0,,1.945597,
6,0,,1.945608,
6,0,,1.945656,
6,0,,1.945662,
6,0,,1.945666,
6,0,,1.946717,
6,1430,,1.947056,
6,1430,,1.94717,
6,1430,,1.947285,
6,0,,1.947305,
6,1430,,1.947416,
6,1430,,1.947531,
6,1430,,1.947662,
6,1094,,1.947744,
6,1094,,1.947842,
6,0,,1.947908,
6,0,,1.948366,
6,0,,1.950058,
6,0,,1.955533,
6,0,,1.955551,
6,517,,1.955686,
6,0,,2.036069,
6,1430,,2.03707,
6,0,,2.037078,
6,1430,,2.037185,
6,0,,2.037188,
6,1430,,2.037299,
6,0,,2.037303,
6,1430,,2.037431,
6,0,,2.037434,
6,941,,2.037436,
6,0,,2.037439,
6,64,,2.037798,
6,208,,2.038178,
6,0,,2.084514,
6,0,,2.084525,
6,0,,2.084528,
6,0,,2.084538,
6,0,,2.087015,
6,0,,2.120341,
6,529,,2.122648,
6,87,,2.125385,
6,0,,2.125439,
6,34,,2.126481,
6,0,,2.163984,
6,0,,2.251198,
6,0,,2.259357,
6,0,,2.259364,
6,64,,2.259369,
6,92,,2.259372,
6,252,,2.259376,
6,64,,2.259381,
6,92,,2.259384,
6,266,,2.259389,
6,74,,2.259394,
6,74,,2.259398,
6,0,,2.261368,
6,0,,2.261373,
6,0,,2.261379,
6,0,,2.261387,
6,0,,2.261395,
6,0,,2.261398,
6,0,,2.261405,
6,0,,2.261492,
6,608,,2.26173,
6,608,,2.261737,
6,910,,2.261894,
6,31,,2.261939,
6,31,,2.262021,
6,910,,2.262223,
6,0,,2.267368,
6,0,,2.276438,
6,0,,2.284505,
6,0,,2.293582,
6,0,,2.301672,
6,0,,2.310773,
6,0,,2.318897,
6,0,,2.329094,
6,520,,2.331532,
6,517,,2.33169,
6,39,,2.332015,
6,0,,2.336166,
6,0,,2.343508,
6,0,,2.343515,
6,0,,2.343518,
6,0,,2.343521,
6,517,,2.343525,
6,517,,2.34353,
6,0,,2.345725,
6,0,,2.345803,
6,0,,2.352459,
6,0,,2.352465,
6,31,,2.352468,
6,31,,2.352471,
6,0,,2.358993,
6,0,,2.359702,
6,0,,2.360853,
6,0,,2.360858,
6,0,,2.370056,
6,39,,2.370069,
6,35,,2.370073,
6,0,,2.372242,
6,0,,2.372259,
6,24,,2.381882,
6,24,,2.385359,
6,0,,2.385378,
6,0,,2.406089,
6,92,,2.406098,
6,31,,2.406113,
6,520,,2.40613,
6,0,,2.406135,
6,31,,2.408165,
6,0,,2.408217,
6,0,,2.408231,
6,0,,2.411515,
6,0,,2.411524,
6,1430,,2.41274,
6,1430,,2.412833,
6,1430,,2.412971,
6,1430,,2.413071,
6,950,,2.413073,
6,0,,2.413668,
6,1430,,2.414621,
6,1430,,2.414666,
6,1430,,2.414835,
6,1430,,2.414966,
6,950,,2.414973,
6,0,,2.423996,
6,388,,2.48408,
6,1430,,2.484259,
6,1430,,2.484374,
6,853,,2.48438,
6,0,,2.498695,
6,1098,,2.534376,
6,1430,,2.534616,
6,1430,,2.535001,
6,1430,,2.535116,
6,1430,,2.535864,
6,1430,,2.535911,
6,1430,,2.536692,
6,1038,,2.536706,
6,0,,2.541914,
6,0,,2.551819,
6,1430,,2.561426,
6,1430,,2.562377,
6,1430,,2.562385,
6,1430,,2.566149,
6,1430,,2.566271,
6,1430,,2.56998,
6,1430,,2.570079,
6,1430,,2.57381,
6,1430,,2.573922,
6,1430,,2.577609,
6,1430,,2.577714,
6,927,,2.581336,
6,1430,,2.597811,
6,1430,,2.59799,
6,1430,,2.598113,
6,1430,,2.598849,
6,1430,,2.598974,
6,1430,,2.599714,
6,1430,,2.599816,
6,1430,,2.60057,
6,1430,,2.600668,
6,1430,,2.601407,
6,1311,,2.601505,
6,1066,,2.602338,
6,63,,2.60243,
6,0,,2.634577,
6,0,,2.634603,
6,0,,2.637053,
6,0,,2.656712,
6,39,,2.671512,
6,0,,2.686673,
6,0,,2.688089,
6,0,,2.688097,
6,517,,2.6881,
6,0,,2.690164,
