protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0.000613,
6,0,,0.004872,
6,0,,0.004901,
6,0,,0.434921,
6,0,,0.845428,
6,110,,0.895262,
6,110,,0.900695,
6,0,,0.900709,
6,0,,0.926031,
6,0,,1.329477,
6,0,,1.411143,
6,0,,1.499508,
6,24,,1.699471,
6,24,,1.7036,
6,0,,1.703643,
6,0,,2.002426,
6,0,,2.003934,
6,0,,2.072487,
6,0,,2.072521,
6,517,,2.072659,
6,0,,2.116223,
6,0,,2.11624,
6,0,,2.118929,
6,0,,2.118944,
6,0,,2.13077,
6,0,,2.130788,
6,0,,2.130794,
6,0,,2.133192,
6,0,,2.133664,
6,0,,2.133673,
6,0,,2.140137,
6,1430,,2.140766,
6,0,,2.140781,
6,1430,,2.14088,
6,0,,2.140889,
6,1430,,2.140995,
6,0,,2.141002,
6,1430,,2.141127,
6,0,,2.141133,
6,941,,2.141137,
6,0,,2.14114,
6,64,,2.141534,
6,319,,2.14212,
6,0,,2.209242,
6,529,,2.210958,
6,87,,2.213403,
6,0,,2.213458,
6,34,,2.214564,
6,0,,2.253502,
6,0,,2.258802,
6,0,,2.258814,
6,517,,2.25882,
6,517,,2.25883,
6,0,,2.258845,
6,0,,2.261232,
6,0,,2.261453,
6,0,,2.261996,
6,0,,2.294787,
6,0,,2.295948,
6,0,,2.29597,
6,517,,2.295979,
6,517,,2.295986,
6,517,,2.295993,
6,0,,2.297119,
6,517,,2.297141,
6,0,,2.298106,
6,0,,2.298344,
6,0,,2.298449,
6,0,,2.29979,
6,1430,,2.328399,
6,1430,,2.328425,
6,1430,,2.328619,
6,1430,,2.328709,
6,1093,,2.328806,
6,1430,,2.328921,
6,1430,,2.329035,
6,1430,,2.329166,
6,1430,,2.329281,
6,1093,,2.329405,
6,0,,2.347042,
6,0,,2.354468,
6,1430,,2.364689,
6,1430,,2.364713,
6,1430,,2.36493,
6,1430,,2.36494,
6,951,,2.365028,
6,1430,,2.365318,
6,1430,,2.365348,
6,1430,,2.365524,
6,1430,,2.365665,
6,1430,,2.365779,
6,1430,,2.36591,
6,1430,,2.366026,
6,391,,2.366034,
6,949,,2.36614,
6,1430,,2.367558,
6,1430,,2.367625,
6,1430,,2.367773,
6,391,,2.367781,
6,110,,2.386881,
6,110,,2.390275,
6,0,,2.390297,
6,0,,2.41835,
6,391,,2.450557,
6,0,,2.537487,
6,24,,2.559426,
6,0,,2.604295,
6,0,,2.604305,
6,0,,2.605537,
6,1093,,2.621002,
6,0,,2.625054,
6,1430,,2.690651,
6,391,,2.700858,
6,949,,2.703164,
6,951,,2.704692,
6,110,,2.714932,
6,0,,2.717575,
6,110,,2.718218,
6,0,,2.718232,
6,0,,2.741968,
6,0,,2.765739,
6,0,,2.767214,
6,0,,2.770314,
6,0,,2.784553,
6,0,,2.806293,
6,0,,2.806302,
6,0,,2.806307,
6,0,,2.806312,
6,0,,2.806315,
6,0,,2.80632,
6,0,,2.849675,
6,0,,2.849684,
6,0,,2.882793,
6,0,,2.915848,
6,0,,2.948917,
6,0,,2.981018,
6,0,,3.005268,
6,0,,3.00543,
6,0,,3.011865,
6,0,,3.011905,
6,0,,3.012127,
6,0,,3.012147,
6,226,,3.012251,
6,239,,3.012377,
6,0,,3.014023,
6,0,,3.021655,
6,0,,3.022251,
6,102,,3.022396,
6,0,,3.022403,
6,472,,3.022676,
6,0,,3.022806,
6,0,,3.025514,
6,0,,3.025814,
6,0,,3.025832,
6,1191,,3.028169,
6,0,,3.028195,
6,0,,3.047708,
