protocol,tcp_bytes,quic_bytes,real_time
6,0,,0
6,0,,0.000011
6,0,,0.000016
6,0,,0.000026
6,0,,0.003619
6,0,,0.00379
6,0,,0.003871
6,0,,0.00399
6,0,,0.307661
6,0,,0.307765
6,0,,0.30881
6,0,,0.311869
6,0,,0.522333
6,0,,0.522343
6,0,,0.522348
6,0,,0.525929
6,0,,0.525946
6,0,,0.526303
6,0,,0.828068
6,0,,0.833013
6,0,,0.834666
6,0,,1.522315
6,0,,1.522327
6,0,,1.522341
6,0,,1.522349
6,0,,1.522353
6,0,,1.522359
6,0,,1.522369
6,0,,1.522381
6,517,,1.522387
6,0,,1.522594
6,517,,1.523496
6,517,,1.523501
6,517,,1.523505
6,0,,1.523715
6,0,,1.523722
6,0,,1.523725
6,0,,1.58308
6,0,,1.583085
6,0,,1.583093
6,0,,1.583097
6,0,,1.583103
6,0,,1.583107
6,0,,1.583113
6,0,,1.583117
6,0,,1.583122
6,517,,1.583126
6,517,,1.583132
6,517,,1.583138
6,0,,1.583328
6,0,,1.583336
6,0,,1.583339
6,0,,1.586748
6,0,,1.586755
6,0,,1.590417
6,2800,,1.596201
6,1400,,1.596237
6,1400,,1.596254
6,1338,,1.596258
6,2800,,1.599244
6,1689,,1.599268
6,2800,,1.599518
6,1400,,1.599529
6,1400,,1.599597
6,1332,,1.599604
6,2800,,1.603301
6,2800,,1.603405
6,1333,,1.603414
6,0,,1.610921
6,0,,1.610929
6,0,,1.643034
6,0,,1.645172
6,2800,,1.65225
6,2800,,1.652272
6,1333,,1.652286
6,2800,,1.654829
6,2800,,1.654853
6,1336,,1.654867
6,1400,,1.659799
6,1400,,1.659836
6,1689,,1.65984
6,0,,1.702185
6,74,,1.702193
6,98,,1.702197
6,250,,1.7022
6,0,,1.702204
6,0,,1.706
6,0,,1.706019
6,0,,1.706022
6,966,,1.70633
6,31,,1.706858
6,0,,1.730165
6,0,,1.743448
6,0,,1.743455
6,74,,1.743459
6,98,,1.743462
6,319,,1.743466
6,32,,1.74347
6,0,,1.743475
6,0,,1.747248
6,0,,1.747263
6,0,,1.747265
6,0,,1.747267
6,966,,1.747494
6,31,,1.747851
6,0,,1.755176
6,453,,1.777894
6,526,,1.777913
6,31,,1.780576
6,39,,1.780799
6,0,,1.783079
6,0,,1.783085
6,0,,1.784193
6,1054,,1.82964
6,223,,1.829661
6,455,,1.829664
6,39,,1.829673
6,74,,2.170136
6,98,,2.170143
6,663,,2.170147
6,0,,2.170151
6,0,,2.173651
6,0,,2.173671
6,0,,2.173673
6,958,,2.174244
6,31,,2.17513
6,0,,2.180486
6,1400,,2.292457
6,319,,2.29247
6,1400,,2.292472
6,2800,,2.31417
6,2800,,2.357512
6,1400,,2.400797
6,1400,,2.400825
6,2800,,2.444143
6,2800,,2.487616
6,2800,,2.530845
6,2800,,2.574164
6,1400,,2.617494
6,0,,2.724847
6,0,,2.910165
6,0,,2.921214
6,289,,3.186285
6,1333,,3.187636
6,1336,,3.200294
6,39,,3.428272
6,39,,3.764775
6,1400,,4.435415
6,1400,,5.491996
6,1400,,5.492197
6,1400,,5.504254
6,0,,5.652697
6,74,,5.652703
6,250,,5.652707
6,32,,5.652711
6,663,,5.652723
6,74,,5.652737
6,422,,5.65274
6,523,,5.652744
6,0,,5.656243
6,0,,5.656441
6,0,,5.65645
6,0,,5.656453
6,0,,5.656455
6,0,,5.6566
6,0,,5.656608
6,958,,5.656984
6,997,,7.652249
6,1333,,8.052107
6,997,,8.180773
6,958,,8.455196
6,835,,8.587624
6,0,,8.587631
6,0,,8.587634
6,74,,8.587643
6,0,,8.587646
6,0,,8.591227
6,0,,8.59156
6,989,,8.915405
6,422,,9.238265
6,835,,9.238301
6,0,,9.241862
6,0,,9.242024
6,523,,9.289271
6,0,,9.289279
6,74,,9.289282
6,0,,9.292806
6,0,,9.293068
6,958,,9.293156
6,0,,9.32148
6,0,,9.321486
6,0,,9.54185
6,1400,,10.488094
6,0,,11.605272
6,0,,11.610633
6,958,,12.871246
6,74,,14.439962
6,74,,14.439968
6,0,,14.443856
6,0,,14.443929
6,0,,14.444278
6,0,,14.601623
6,74,,14.601631
6,0,,14.601635
6,0,,14.605251
6,0,,14.607534
6,0,,14.611866
6,0,,14.611875
6,74,,15.263229
6,0,,15.27286
6,0,,15.489493
6,31,,15.489501
6,31,,15.489505
6,0,,15.493216
6,0,,15.493231
6,0,,15.582598
6,35,,15.582606
6,39,,15.58261
6,35,,15.58262
6,0,,15.582637
6,0,,15.582641
6,0,,15.582647
6,0,,15.586326
6,0,,15.586342
6,0,,15.586344
6,35,,15.591754
6,35,,15.591773
6,0,,15.591787
6,0,,15.595524
6,0,,15.595542
6,39,,15.607917
6,0,,15.611637
