protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0,
6,0,,0.003704,
6,0,,0.005807,
6,0,,0.009036,
6,517,,0.00904,
6,0,,0.009251,
6,0,,0.009615,
6,0,,0.013069,
6,517,,0.013076,
6,0,,0.013276,
6,0,,0.016895,
6,4200,,0.081905,
6,1400,,0.081933,
6,1333,,0.081946,
6,4200,,0.082907,
6,2733,,0.08297,
6,1333,,0.099706,
6,0,,0.099786,
6,0,,0.099792,
6,0,,0.099796,
6,0,,0.099804,
6,0,,0.099808,
6,0,,0.099813,
6,0,,0.099818,
6,0,,0.099822,
6,0,,0.099827,
6,0,,0.102969,
6,0,,0.10406,
6,0,,0.106937,
6,0,,0.110584,
6,0,,0.113439,
6,517,,0.114522,
6,0,,0.114729,
6,0,,0.117006,
6,0,,0.120536,
6,0,,0.125432,
6,517,,0.125441,
6,0,,0.125673,
6,0,,0.128977,
6,2800,,0.183084,
6,2800,,0.183174,
6,1337,,0.183187,
6,0,,0.187585,
6,0,,0.187593,
6,0,,0.187597,
6,0,,0.188831,
6,0,,0.189899,
6,1400,,0.202949,
6,2800,,0.202983,
6,290,,0.202993,
6,0,,0.205228,
6,0,,0.210301,
6,0,,0.210311,
6,0,,0.210321,
6,74,,0.433518,
6,74,,0.433523,
6,74,,0.433527,
6,0,,0.433531,
6,98,,0.433534,
6,98,,0.433538,
6,250,,0.433542,
6,74,,0.433546,
6,0,,0.436953,
6,0,,0.437104,
6,0,,0.437111,
6,0,,0.437113,
6,0,,0.437129,
6,0,,0.437133,
6,0,,0.437136,
6,966,,0.437208,
6,958,,0.437432,
6,966,,0.43744,
6,0,,0.437443,
6,958,,0.437445,
6,31,,0.437447,
6,31,,0.437638,
6,31,,0.457009,
6,31,,0.469551,
6,0,,0.471173,
6,98,,0.471657,
6,319,,0.471665,
6,32,,0.471669,
6,98,,0.471673,
6,0,,0.471678,
6,250,,0.471681,
6,32,,0.471697,
6,0,,0.475075,
6,0,,0.475225,
6,0,,0.475236,
6,0,,0.47527,
6,31,,0.4754,
6,663,,0.476504,
6,0,,0.476538,
6,0,,0.479746,
6,31,,0.479755,
6,0,,0.480158,
6,0,,0.480617,
6,0,,0.480623,
6,0,,0.480627,
6,0,,0.480636,
6,0,,0.480639,
6,0,,0.480645,
6,0,,0.480652,
6,0,,0.480655,
6,0,,0.480661,
6,31,,0.480664,
6,31,,0.481843,
6,0,,0.485471,
6,0,,0.4855,
6,0,,0.487968,
6,453,,0.511798,
6,526,,0.51194,
6,31,,0.514848,
6,39,,0.51488,
6,0,,0.520095,
6,35,,0.520102,
6,0,,0.527256,
6,39,,0.527265,
6,0,,0.527273,
6,0,,0.528671,
6,0,,0.530836,
6,1056,,0.567246,
6,110,,0.567266,
6,125,,0.567709,
6,186,,0.56772,
6,39,,0.567723,
6,0,,0.578004,
6,0,,0.578012,
6,0,,0.578015,
6,0,,0.579534,
6,0,,0.579542,
6,39,,0.584638,
6,0,,0.588268,
6,1400,,0.609015,
6,66,,0.609073,
6,1400,,0.609146,
6,2800,,0.609535,
6,1400,,0.610236,
6,1400,,0.610261,
6,1400,,0.610917,
6,1079,,0.610943,
6,1400,,0.613163,
6,1400,,0.613335,
6,2800,,0.613696,
6,2800,,0.614431,
6,1950,,0.615138,
6,1400,,0.617644,
6,1400,,0.617769,
6,2800,,0.618112,
6,1400,,0.618809,
6,1400,,0.666528,
6,1400,,0.896573,
6,1400,,1.344561,
6,39,,1.894735,
6,39,,1.894744,
6,39,,1.894759,
6,0,,1.898124,
6,0,,1.89814,
6,0,,1.898142,
6,0,,1.981599,
6,1400,,1.985378,
6,1400,,1.985403,
6,0,,1.987649,
6,1879,,1.991429,
6,0,,1.997017,
6,0,,2.000958,
6,0,,2.934791,
17,,1258,2.934809,
6,240,,2.936334,
6,240,,2.93635,
17,,1258,2.937626,
6,240,,2.937671,
6,0,,2.937677,
6,0,,2.937681,
17,,1258,2.939479,
6,0,,2.940005,
6,0,,2.940019,
6,0,,2.940785,
6,302,,2.940787,
6,1400,,2.940806,
6,1400,,2.941203,
17,,1258,2.941396,
6,2800,,2.941557,
6,2800,,2.942285,
6,0,,2.94297,
6,2776,,2.942982,
6,0,,2.942993,
6,24,,2.943641,
6,1400,,2.94366,
6,1400,,2.943676,
6,2800,,2.944405,
6,0,,2.944485,
6,2800,,2.945119,
6,2800,,2.945823,
6,2800,,2.946758,
6,2800,,2.94827,
6,0,,2.955598,
6,2800,,2.959432,
17,,1258,3.007282,
17,,1258,3.00731,
17,,1258,3.007313,
17,,832,3.007315,
6,0,,3.155443,
6,0,,3.155451,
6,0,,3.155455,
17,,1258,3.155466,
6,240,,3.155472,
6,0,,3.156724,
6,0,,3.156729,
6,0,,3.156733,
6,0,,3.157776,
6,0,,3.159012,
6,1400,,3.159143,
6,1400,,3.159157,
17,,1258,3.159171,
6,1400,,3.159453,
6,1400,,3.159463,
6,1400,,3.160191,
6,1400,,3.160224,
6,0,,3.160847,
6,1400,,3.160876,
6,1400,,3.160889,
17,,1258,3.161573,
6,0,,3.161583,
6,0,,3.161591,
6,1400,,3.161603,
6,1400,,3.161616,
6,1400,,3.162716,
6,0,,3.162795,
6,0,,3.162799,
6,1400,,3.162812,
6,0,,3.16394,
6,0,,3.163946,
6,0,,3.163969,
6,0,,3.165106,
6,0,,3.166199,
6,0,,3.166205,
6,0,,3.166484,
6,1400,,3.166497,
6,888,,3.166598,
17,,1258,3.166734,
17,,1258,3.166748,
17,,1258,3.166757,
17,,1258,3.166766,
17,,414,3.166769,
6,0,,3.168018,
6,0,,3.170101,
6,0,,3.171186,
6,0,,3.172842,
6,0,,3.17389,
6,0,,3.175657,
6,0,,3.175663,
6,0,,3.175666,
17,,1258,3.175676,
6,0,,3.177573,
6,0,,3.177583,
6,39,,3.177592,
17,,1258,3.180146,
6,0,,3.180157,
6,0,,3.181247,
6,0,,3.181258,
6,0,,3.181261,
6,0,,3.182449,
6,0,,3.183618,
6,0,,3.188035,
6,0,,3.189167,
6,0,,3.190247,
6,118,,3.192475,
17,,49,3.193422,
6,0,,3.193429,
6,0,,3.196126,
6,90,,3.19662,
6,1400,,3.196679,
6,1400,,3.19704,
6,1400,,3.197365,
6,1400,,3.19738,
6,1400,,3.198098,
6,1400,,3.198117,
6,0,,3.19863,
6,1400,,3.19881,
6,1400,,3.198823,
6,1400,,3.199514,
6,1400,,3.199532,
