protocol,tcp_bytes,quic_bytes,real_time,
6,0,,0,
6,0,,0.00001,
6,0,,0.003528,
6,0,,0.003612,
6,0,,0.04192,
6,0,,0.041938,
6,0,,0.043232,
6,0,,0.043239,
6,517,,0.043707,
6,0,,0.043998,
6,0,,0.045604,
6,0,,0.045824,
6,1400,,0.130129,
6,1400,,0.130209,
6,1400,,0.130362,
6,1400,,0.130479,
6,1340,,0.130595,
6,1340,,0.224994,
6,517,,0.228311,
6,0,,0.228571,
6,0,,0.236817,
6,0,,0.236825,
6,517,,0.236829,
6,517,,0.236833,
6,0,,0.237189,
6,0,,0.237191,
6,0,,0.237933,
6,0,,0.239453,
6,0,,0.239458,
6,0,,0.239461,
6,0,,0.240596,
6,0,,0.240603,
6,74,,0.255703,
6,98,,0.25571,
6,250,,0.257816,
6,0,,0.259169,
6,0,,0.259171,
6,966,,0.259524,
6,31,,0.259525,
6,0,,0.262299,
6,31,,0.262306,
6,0,,0.265753,
6,1400,,0.305503,
6,1400,,0.305619,
6,1400,,0.305741,
6,1400,,0.305859,
6,1333,,0.30598,
6,1400,,0.307532,
6,1400,,0.307546,
6,1400,,0.307666,
6,1400,,0.307785,
6,1333,,0.307898,
6,0,,0.313254,
6,0,,0.317389,
6,0,,0.320499,
6,1400,,0.323392,
6,1400,,0.323505,
6,1688,,0.323626,
6,0,,0.325703,
6,453,,0.333278,
6,526,,0.333323,
6,31,,0.335181,
6,39,,0.335324,
6,0,,0.351236,
6,74,,0.351246,
6,98,,0.351253,
6,663,,0.35126,
6,0,,0.354755,
6,0,,0.354758,
6,0,,0.354824,
6,958,,0.355041,
6,31,,0.35588,
6,0,,0.362037,
6,0,,0.362044,
6,0,,0.362047,
6,0,,0.362051,
6,0,,0.362055,
6,74,,0.362059,
6,0,,0.364128,
6,0,,0.365647,
6,0,,0.365695,
6,958,,0.365889,
6,0,,0.369782,
6,0,,0.369792,
6,74,,0.373926,
6,0,,0.373934,
6,0,,0.375638,
6,0,,0.377803,
6,966,,0.378018,
6,39,,0.380614,
6,35,,0.38062,
6,31,,0.380625,
6,98,,0.380669,
6,319,,0.380671,
6,32,,0.380672,
6,31,,0.383171,
6,0,,0.384035,
6,0,,0.384912,
6,31,,0.385259,
6,0,,0.389172,
6,0,,0.392167,
6,0,,0.4194,
6,0,,0.433413,
17,,1258,0.458425,
6,0,,0.458449,
6,0,,0.461096,
6,0,,0.462883,
17,,1258,0.463501,
17,,1258,0.463616,
17,,1258,0.463709,
17,,1258,0.463811,
17,,409,0.463819,
6,517,,0.463955,
6,0,,0.464254,
17,,1258,0.468807,
17,,49,0.468815,
17,,49,0.469924,
6,1054,,0.470761,
6,277,,0.470788,
6,212,,0.470814,
6,254,,0.470842,
6,39,,0.47137,
6,0,,0.473616,
6,0,,0.473624,
17,,91,0.473628,
17,,77,0.473632,
6,0,,0.47481,
6,0,,0.474825,
6,0,,0.47483,
17,,538,0.476193,
17,,124,0.476209,
17,,415,0.482111,
17,,41,0.483481,
6,39,,0.48349,
17,,35,0.484758,
6,0,,0.487323,
17,,41,0.516623,
6,1400,,0.666445,
6,65,,0.666448,
6,1400,,0.666572,
6,1400,,0.66727,
6,1400,,0.667388,
6,1400,,0.669002,
6,1400,,0.669127,
6,1400,,0.67075,
6,1057,,0.670837,
6,1400,,0.672309,
6,1400,,0.673148,
6,1400,,0.67327,
6,1400,,0.674889,
6,1400,,0.675007,
6,1400,,0.676605,
6,1400,,0.676757,
6,1678,,0.678428,
6,1400,,0.679558,
6,1400,,0.679679,
6,1400,,0.681194,
6,1400,,0.681313,
6,1448,,0.703716,
6,1448,,0.703829,
6,1448,,0.703952,
6,646,,0.704023,
6,646,,0.715832,
17,,41,0.728732,
6,0,,0.731267,
6,0,,0.731276,
17,,324,0.732447,
17,,1254,0.732567,
17,,1258,0.732673,
17,,1258,0.732762,
17,,1258,0.732866,
17,,1258,0.732971,
17,,1258,0.733077,
17,,1258,0.733182,
17,,1258,0.733289,
17,,1258,0.734841,
17,,1258,0.73494,
17,,1258,0.735045,
17,,1258,0.73515,
6,0,,0.73517,
17,,1258,0.735255,
17,,1258,0.735361,
6,0,,0.735453,
17,,1258,0.735467,
17,,1258,0.73557,
6,1400,,0.735721,
6,1400,,0.735836,
6,1400,,0.735978,
6,1400,,0.736084,
17,,1258,0.737092,
17,,1258,0.737207,
17,,1258,0.737315,
17,,1258,0.737419,
17,,1258,0.737509,
17,,1258,0.737615,
17,,1258,0.737721,
17,,1258,0.737827,
17,,1258,0.737931,
17,,1258,0.738036,
17,,1258,0.738142,
17,,1258,0.738281,
6,1133,,0.738379,
17,,1258,0.739428,
17,,1258,0.739551,
17,,1258,0.739665,
17,,1258,0.739717,
17,,1258,0.739822,
17,,1258,0.739929,
17,,1258,0.740034,
17,,1258,0.740139,
17,,1258,0.740245,
17,,1258,0.74035,
17,,1258,0.740455,
17,,1258,0.74056,
17,,1258,0.742583,
17,,1258,0.742689,
17,,1258,0.769437,
6,0,,0.789716,
17,,41,0.789724,
6,0,,0.791203,
6,0,,0.791211,
6,0,,0.791215,
6,0,,0.791219,
6,64,,0.791223,
17,,34,0.792886,
6,0,,0.798774,
17,,44,0.815101,
17,,41,0.815109,
17,,41,0.815113,
17,,41,0.815117,
17,,41,0.816723,
17,,1258,0.818849,
17,,1258,0.818918,
17,,1258,0.819025,
17,,1258,0.81916,
17,,1258,0.819233,
17,,1258,0.819338,
17,,1258,0.819443,
17,,1258,0.819549,
17,,1258,0.820387,
17,,1258,0.820472,
17,,1258,0.820563,
17,,1258,0.8207,
17,,1258,0.822665,
17,,1258,0.822769,
17,,1258,0.822835,
17,,1258,0.82294,
17,,41,0.835184,
17,,41,0.835192,
17,,41,0.835196,
17,,41,0.8352,
17,,41,0.835203,
17,,41,0.835206,
17,,41,0.83521,
6,0,,0.835215,
17,,41,0.835218,
17,,41,0.835222,
17,,41,0.835225,
6,39,,0.83523,
17,,1258,0.835241,
17,,41,0.836601,
17,,44,0.838147,
17,,41,0.838154,
17,,41,0.838552,
6,0,,0.838737,
17,,1258,0.83887,
17,,1258,0.838974,
17,,1258,0.83908,
17,,1258,0.839186,
17,,1258,0.839291,
17,,1258,0.839396,
17,,1258,0.839501,
17,,1258,0.839607,
17,,41,0.839851,
17,,41,0.839857,
17,,41,0.83986,
17,,1258,0.84016,
17,,1258,0.840264,
17,,1258,0.840369,
17,,1258,0.840475,
17,,1258,0.840823,
17,,41,0.841435,
17,,1258,0.842204,
17,,1258,0.842305,
17,,1258,0.842411,
17,,1258,0.842516,
17,,41,0.842525,
17,,41,0.84253,
17,,41,0.842533,
17,,41,0.842536,
17,,1258,0.842654,
17,,1258,0.842759,
17,,1258,0.842868,
17,,1258,0.842937,
17,,1258,0.843042,
17,,1258,0.843148,
17,,1258,0.843253,
17,,1258,0.843362,
17,,1258,0.843464,
17,,1258,0.84357,
17,,1258,0.843674,
17,,1258,0.843779,
17,,1258,0.845051,
17,,1258,0.845155,
17,,1258,0.84526,
17,,1258,0.845367,
17,,1258,0.84547,
17,,1258,0.845575,
17,,1258,0.84568,
17,,1258,0.845817,
17,,1258,0.846168,
17,,1258,0.846305,
17,,1258,0.84641,
17,,1258,0.846487,
17,,42,0.848273,
17,,42,0.848282,
17,,42,0.848286,
17,,42,0.848289,
17,,42,0.848292,
17,,42,0.848296,
17,,42,0.8483,
17,,1258,0.848381,
17,,1258,0.848485,
17,,1258,0.84859,
17,,1258,0.848695,
17,,1258,0.848807,
17,,1258,0.848941,
17,,1258,0.849012,
17,,1258,0.849151,
17,,1258,0.849254,
17,,1258,0.849328,
17,,1258,0.849432,
17,,1258,0.849538,
17,,1258,0.851991,
17,,1258,0.85209,
17,,1258,0.852195,
17,,1258,0.8523,
17,,1258,0.852405,
17,,1258,0.852513,
17,,1258,0.852616,
17,,1258,0.85272,
17,,1258,0.852828,
17,,1258,0.852931,
17,,1258,0.85304,
17,,1258,0.853143,
17,,1258,0.853248,
17,,1258,0.853353,
17,,1258,0.853458,
17,,1258,0.853563,
17,,1258,0.854003,
17,,1258,0.854106,
17,,1258,0.854218,
17,,1258,0.854317,
17,,1258,0.854423,
17,,1258,0.854528,
17,,1258,0.854633,
17,,1258,0.854738,
17,,1258,0.856205,
17,,1258,0.856303,
17,,42,0.860575,
17,,42,0.860583,
17,,47,0.860587,
17,,42,0.86059,
17,,42,0.860593,
17,,42,0.860596,
17,,42,0.861681,
17,,1258,0.865391,
17,,1258,0.86549,
17,,1258,0.865595,
17,,1258,0.8657,
17,,1258,0.865805,
17,,1258,0.86591,
17,,1258,0.866016,
17,,1258,0.866127,
17,,1258,0.868503,
17,,1258,0.868602,
17,,1258,0.868707,
17,,1258,0.868812,
17,,1258,0.868917,
17,,1258,0.869022,
17,,42,0.874766,
17,,42,0.874774,
17,,42,0.878245,
17,,42,0.878253,
17,,42,0.878257,
17,,1258,0.878266,
17,,1258,0.878421,
17,,1258,0.878493,
17,,1258,0.878598,
17,,1258,0.878729,
17,,1258,0.882012,
17,,42,0.882051,
17,,42,0.882057,
17,,42,0.882061,
17,,1258,0.882112,
17,,1258,0.882219,
17,,1258,0.882323,
17,,1258,0.88243,
17,,1258,0.882534,
17,,42,0.883933,
17,,42,0.883939,
17,,43,0.885048,
17,,1258,0.885739,
17,,1258,0.885805,
17,,1258,0.885909,
17,,1258,0.886014,
17,,1258,0.886129,
17,,1258,0.886244,
17,,1258,0.887485,
17,,1258,0.887561,
17,,1258,0.887669,
17,,43,0.887715,
17,,1258,0.887773,
17,,1258,0.887909,
17,,1258,0.888015,
17,,1258,0.888087,
17,,1258,0.888192,
17,,1258,0.888696,
17,,1258,0.888802,
17,,1258,0.888907,
17,,1258,0.889043,
17,,44,0.891099,
17,,1258,0.891453,
17,,1258,0.891551,
17,,1258,0.89169,
17,,1258,0.891789,
17,,1258,0.891895,
17,,1258,0.891971,
17,,1258,0.892077,
17,,1258,0.892181,
17,,1258,0.89229,
17,,1258,0.892391,
17,,1258,0.892531,
17,,1258,0.892637,
17,,1258,0.89362,
17,,1258,0.893718,
17,,1258,0.893795,
17,,1258,0.8939,
17,,1258,0.894006,
17,,1258,0.894656,
17,,1258,0.894792,
17,,1258,0.894893,
