protocol,tcp_bytes,quic_bytes,real_time,
6,129,,0.011277,
6,24,,0.115039,
6,4,,0.220022,
6,0,,0.220065,
6,24,,0.283154,
6,0,,0.283174,
6,77,,0.958939,
6,0,,0.989542,
6,0,,2.102393,
6,0,,2.176637,
6,129,,2.297879,
6,129,,2.661088,
6,24,,3.026503,
6,0,,3.026508,
6,0,,3.580125,
6,0,,3.580135,
6,0,,3.580139,
6,0,,3.580144,
6,0,,3.580149,
6,0,,3.580153,
6,0,,3.582664,
6,0,,3.582675,
6,0,,3.582677,
6,0,,3.582907,
6,0,,3.582915,
6,0,,3.58315,
6,0,,3.586331,
6,0,,3.586341,
6,0,,3.588803,
6,0,,3.58882,
6,0,,3.589362,
6,0,,3.589371,
6,0,,3.589375,
6,0,,3.589378,
6,0,,3.589382,
6,0,,3.589385,
6,517,,3.589389,
6,517,,3.589393,
6,0,,3.591554,
6,0,,3.591797,
6,517,,3.591865,
6,517,,3.591871,
6,0,,3.593934,
6,0,,3.594099,
6,517,,3.630325,
6,517,,3.630335,
6,0,,3.630342,
6,0,,3.630346,
6,517,,3.630364,
6,0,,3.632519,
6,0,,3.632616,
6,0,,3.632666,
6,517,,3.642469,
6,0,,3.645224,
6,1430,,3.65944,
6,1430,,3.659473,
6,1430,,3.659585,
6,1430,,3.659795,
6,951,,3.659806,
6,1430,,3.659991,
6,1430,,3.660106,
6,1430,,3.660237,
6,1430,,3.660358,
6,1095,,3.660375,
6,1430,,3.664463,
6,1430,,3.664594,
6,1430,,3.664724,
6,391,,3.664733,
6,1430,,3.667122,
6,1430,,3.667139,
6,1430,,3.667347,
6,1430,,3.667483,
6,950,,3.667492,
6,0,,3.677714,
6,951,,3.679375,
6,1095,,3.681093,
6,0,,3.683826,
6,391,,3.685614,
6,950,,3.688432,
6,0,,3.691323,
6,0,,3.693682,
6,0,,3.69577,
6,1430,,3.703702,
6,1430,,3.703818,
6,1430,,3.703949,
6,177,,3.703957,
6,1430,,3.704067,
6,1430,,3.704199,
6,1430,,3.704313,
6,1430,,3.704428,
6,1095,,3.704512,
6,0,,3.706854,
6,1430,,3.707817,
6,1430,,3.707914,
6,1430,,3.708045,
6,175,,3.708052,
6,0,,3.715519,
6,1430,,3.720653,
6,1430,,3.720779,
6,1430,,3.720894,
6,1430,,3.721008,
6,1095,,3.721018,
6,0,,3.724373,
6,0,,3.724377,
6,0,,3.727457,
6,177,,3.729479,
6,1095,,3.729589,
6,0,,3.74039,
6,0,,3.741456,
6,0,,3.743564,
6,0,,3.743573,
6,0,,3.745699,
6,0,,3.750853,
6,0,,3.768607,
6,0,,3.779771,
6,0,,3.786336,
6,0,,3.786343,
6,74,,3.786347,
6,92,,3.786358,
6,0,,3.788407,
6,0,,3.78844,
6,910,,3.788855,
6,31,,3.78886,
6,520,,3.789482,
6,0,,3.789498,
6,0,,3.789502,
6,0,,3.790584,
6,0,,3.794199,
6,64,,3.794214,
6,92,,3.794216,
6,266,,3.79422,
6,0,,3.796106,
6,0,,3.796296,
6,0,,3.796309,
6,0,,3.796328,
6,608,,3.796921,
6,31,,3.797126,
6,0,,3.797783,
6,0,,3.797789,
6,0,,3.797793,
6,64,,3.797797,
6,92,,3.7978,
6,175,,3.798017,
6,0,,3.799886,
6,0,,3.7999,
6,1266,,3.799942,
6,0,,3.799948,
6,74,,3.799952,
6,92,,3.799955,
6,322,,3.799958,
6,32,,3.799961,
6,608,,3.800369,
6,31,,3.800378,
6,0,,3.802342,
6,0,,3.802358,
6,0,,3.80236,
6,0,,3.802361,
6,918,,3.803017,
6,31,,3.80331,
6,1095,,3.804343,
6,0,,3.807988,
6,0,,3.81118,
6,64,,3.811187,
6,92,,3.81119,
6,252,,3.811194,
6,266,,3.811197,
6,520,,3.811202,
6,0,,3.813408,
6,0,,3.813414,
6,0,,3.813416,
6,0,,3.813418,
6,0,,3.813425,
