protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,2.014713
6,0.0,0.0,3.156768
17,0.0,1258.0,3.191448
6,0.0,0.0,3.195667
17,0.0,83.0,3.200499
6,0.0,0.0,3.207677
6,0.0,0.0,3.207794
6,512.0,0.0,3.208352
6,271.0,0.0,3.208649
6,0.0,0.0,3.208952
6,0.0,0.0,3.268631
6,0.0,0.0,3.269049
6,512.0,0.0,3.270235
6,275.0,0.0,3.270894
6,0.0,0.0,3.271052
17,0.0,1258.0,3.285868
17,0.0,1258.0,3.327717
17,0.0,799.0,3.327785
17,0.0,203.0,3.327803
17,0.0,86.0,3.329282
17,0.0,41.0,3.329374
17,0.0,676.0,3.329404
17,0.0,33.0,3.335395
6,384.0,0.0,3.341241
6,0.0,0.0,3.341415
6,74.0,0.0,3.342584
6,98.0,0.0,3.342598
6,686.0,0.0,3.342601
6,106.0,0.0,3.342608
6,4230.0,0.0,3.342626
6,4095.0,0.0,3.342638
6,0.0,0.0,3.34286
6,974.0,0.0,3.387829
6,31.0,0.0,3.388594
6,0.0,0.0,3.388834
17,0.0,37.0,3.389274
17,0.0,128.0,3.389329
17,0.0,42.0,3.390996
17,0.0,41.0,3.391055
6,31.0,0.0,3.404507
6,386.0,0.0,3.42943
6,0.0,0.0,3.430594
6,74.0,0.0,3.431308
6,0.0,0.0,3.431411
6,0.0,0.0,3.442658
6,341.0,0.0,3.485964
6,0.0,0.0,3.48619
6,1958.0,0.0,3.491261
6,0.0,0.0,3.491346
6,39.0,0.0,3.491357
6,0.0,0.0,3.491387
6,39.0,0.0,3.492019
6,0.0,0.0,3.492074
17,0.0,1254.0,3.513679
17,0.0,1258.0,3.513792
17,0.0,756.0,3.513823
17,0.0,94.0,3.513841
17,0.0,43.0,3.515541
17,0.0,41.0,3.51565
6,978.0,0.0,3.527112
17,0.0,41.0,3.540646
6,0.0,0.0,3.570617
17,0.0,33.0,3.601407
17,0.0,1258.0,4.652703
17,0.0,81.0,4.659145
17,0.0,267.0,4.659192
17,0.0,143.0,4.659205
17,0.0,144.0,4.659215
17,0.0,1258.0,4.723541
17,0.0,1258.0,4.764903
17,0.0,87.0,4.766062
17,0.0,789.0,4.769364
17,0.0,215.0,4.769476
17,0.0,33.0,4.769508
17,0.0,41.0,4.769986
17,0.0,41.0,4.795494
6,74.0,0.0,4.801264
6,1288.0,0.0,4.807327
6,2576.0,0.0,4.807426
6,0.0,0.0,4.80765
6,1288.0,0.0,4.814778
6,0.0,0.0,4.814915
6,1288.0,0.0,4.814931
6,1288.0,0.0,4.815027
6,0.0,0.0,4.815074
6,2576.0,0.0,4.815121
6,2576.0,0.0,4.815165
6,0.0,0.0,4.8152
6,1288.0,0.0,4.819273
6,2576.0,0.0,4.819372
6,0.0,0.0,4.819418
6,2576.0,0.0,4.819472
6,2576.0,0.0,4.819569
6,0.0,0.0,4.819647
6,2576.0,0.0,4.82533
17,0.0,128.0,4.825557
6,1288.0,0.0,4.825624
17,0.0,34.0,4.825686
6,0.0,0.0,4.825722
17,0.0,41.0,4.826328
17,0.0,1258.0,4.83626
17,0.0,87.0,4.839704
17,0.0,189.0,4.839721
17,0.0,94.0,4.839732
6,6440.0,0.0,4.839757
17,0.0,997.0,4.839811
17,0.0,722.0,4.83983
17,0.0,33.0,4.839838
17,0.0,43.0,4.84061
17,0.0,43.0,4.840641
17,0.0,49.0,4.841202
17,0.0,41.0,4.843454
17,0.0,43.0,4.843469
17,0.0,1258.0,4.847628
17,0.0,1258.0,4.850187
17,0.0,86.0,4.852418
17,0.0,341.0,4.852439
17,0.0,84.0,4.852453
17,0.0,341.0,4.852466
6,5152.0,0.0,4.852489
17,0.0,33.0,4.852537
6,0.0,0.0,4.852554
17,0.0,722.0,4.852557
17,0.0,33.0,4.852565
17,0.0,43.0,4.852811
17,0.0,48.0,4.853626
17,0.0,1258.0,4.858152
17,0.0,82.0,4.859425
17,0.0,338.0,4.859439
6,7728.0,0.0,4.859462
6,3864.0,0.0,4.863506
6,0.0,0.0,4.863594
6,2576.0,0.0,4.863604
6,1288.0,0.0,4.86365
6,1288.0,0.0,4.863702
6,0.0,0.0,4.863741
6,1288.0,0.0,4.871768
6,0.0,0.0,4.871896
6,1288.0,0.0,4.877234
6,1288.0,0.0,4.877346
6,0.0,0.0,4.877404
6,2576.0,0.0,4.877458
6,1288.0,0.0,4.877494
6,0.0,0.0,4.877527
6,1288.0,0.0,4.877551
6,1288.0,0.0,4.877756
6,0.0,0.0,4.877845
6,1200.0,0.0,4.881748
6,9960.0,0.0,4.889076
17,0.0,33.0,4.889213
6,0.0,0.0,4.889255
6,344.0,0.0,4.889268
6,1271.0,0.0,4.893109
6,0.0,0.0,4.894627
6,39.0,0.0,4.894639
6,0.0,0.0,4.894722
17,0.0,33.0,4.909179
17,0.0,1258.0,4.90923
