protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.052261
17,0.0,86.0,0.053856
6,0.0,0.0,0.056541
6,0.0,0.0,0.092651
6,0.0,0.0,0.094152
6,783.0,0.0,0.094192
6,0.0,0.0,0.096445
17,0.0,1258.0,0.124196
17,0.0,1258.0,0.130165
17,0.0,791.0,0.130357
17,0.0,207.0,0.130489
17,0.0,33.0,0.130631
17,0.0,1258.0,0.13578
17,0.0,81.0,0.135912
17,0.0,41.0,0.136079
17,0.0,713.0,0.137064
17,0.0,1254.0,0.137219
17,0.0,1258.0,0.137312
17,0.0,1258.0,0.137396
17,0.0,491.0,0.137471
6,384.0,0.0,0.169237
6,0.0,0.0,0.169865
6,74.0,0.0,0.170869
6,0.0,0.0,0.171067
17,0.0,135.0,0.201509
17,0.0,33.0,0.201699
17,0.0,37.0,0.201773
17,0.0,41.0,0.204182
17,0.0,41.0,0.204487
6,974.0,0.0,0.20728
6,0.0,0.0,0.248398
17,0.0,1254.0,0.2522
17,0.0,1092.0,0.252372
17,0.0,96.0,0.252471
17,0.0,43.0,0.253442
17,0.0,41.0,0.253601
17,0.0,33.0,0.303878
17,0.0,1258.0,0.912225
17,0.0,1258.0,0.917136
17,0.0,85.0,0.919869
17,0.0,260.0,0.920073
17,0.0,1258.0,0.96612
17,0.0,1258.0,0.971252
17,0.0,1258.0,0.99121
17,0.0,1258.0,0.997144
17,0.0,1258.0,0.997257
17,0.0,1258.0,0.997348
17,0.0,790.0,0.997408
17,0.0,1254.0,0.997477
17,0.0,1258.0,0.997535
17,0.0,1258.0,0.997595
17,0.0,1258.0,0.997712
17,0.0,1258.0,0.997775
17,0.0,1258.0,0.997824
17,0.0,49.0,0.997961
17,0.0,1258.0,0.998268
17,0.0,188.0,0.998309
17,0.0,33.0,0.998323
17,0.0,1258.0,0.999895
17,0.0,81.0,1.000025
17,0.0,41.0,1.000288
17,0.0,45.0,1.000685
17,0.0,41.0,1.000841
17,0.0,41.0,1.000959
17,0.0,41.0,1.001317
17,0.0,41.0,1.001377
17,0.0,41.0,1.001481
17,0.0,41.0,1.001727
17,0.0,1258.0,1.008181
17,0.0,838.0,1.008524
17,0.0,49.0,1.009593
17,0.0,91.0,1.018336
17,0.0,78.0,1.018458
17,0.0,261.0,1.019073
17,0.0,1258.0,1.027319
17,0.0,1258.0,1.027552
17,0.0,1258.0,1.027599
17,0.0,1258.0,1.027621
17,0.0,1258.0,1.028405
17,0.0,41.0,1.028745
17,0.0,41.0,1.028812
17,0.0,1258.0,1.028835
17,0.0,1258.0,1.028896
17,0.0,1258.0,1.028914
17,0.0,1258.0,1.028928
17,0.0,1258.0,1.028941
17,0.0,1258.0,1.028954
17,0.0,1258.0,1.029107
17,0.0,1258.0,1.029136
17,0.0,1258.0,1.029151
17,0.0,1258.0,1.029163
17,0.0,1258.0,1.029175
17,0.0,1258.0,1.029187
17,0.0,41.0,1.029483
17,0.0,41.0,1.029826
17,0.0,41.0,1.030071
17,0.0,41.0,1.030317
17,0.0,41.0,1.030547
17,0.0,41.0,1.030777
17,0.0,1258.0,1.031154
17,0.0,1258.0,1.031208
17,0.0,1222.0,1.031225
17,0.0,38.0,1.031239
17,0.0,1228.0,1.031251
17,0.0,38.0,1.031264
17,0.0,1228.0,1.031276
17,0.0,38.0,1.031288
17,0.0,1228.0,1.031299
17,0.0,38.0,1.031311
17,0.0,41.0,1.032698
17,0.0,41.0,1.032766
17,0.0,41.0,1.032784
17,0.0,41.0,1.0328
17,0.0,1228.0,1.032821
17,0.0,41.0,1.032869
17,0.0,38.0,1.032889
17,0.0,1228.0,1.032905
17,0.0,38.0,1.032918
17,0.0,1228.0,1.032931
17,0.0,38.0,1.032942
17,0.0,1228.0,1.032954
17,0.0,38.0,1.03297
17,0.0,1228.0,1.032982
17,0.0,38.0,1.032994
17,0.0,1228.0,1.033007
17,0.0,38.0,1.033017
17,0.0,1228.0,1.033029
17,0.0,44.0,1.033123
17,0.0,41.0,1.03333
17,0.0,41.0,1.033537
17,0.0,41.0,1.034521
17,0.0,41.0,1.03483
17,0.0,1258.0,1.035083
17,0.0,41.0,1.035132
17,0.0,41.0,1.035341
17,0.0,1258.0,1.038133
17,0.0,41.0,1.038654
17,0.0,1258.0,1.040465
17,0.0,1258.0,1.040675
17,0.0,1258.0,1.040712
17,0.0,1258.0,1.040729
17,0.0,41.0,1.041148
17,0.0,41.0,1.041313
17,0.0,1258.0,1.04209
17,0.0,1258.0,1.042161
