protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.354976
6,0.0,0.0,0.364027
17,0.0,1258.0,0.373456
6,0.0,0.0,0.377474
17,0.0,1258.0,0.40948
6,0.0,0.0,0.409733
17,0.0,1258.0,0.409914
6,0.0,0.0,0.410031
6,0.0,0.0,0.410181
6,0.0,0.0,0.410203
6,517.0,0.0,0.41198
6,0.0,0.0,0.412361
6,517.0,0.0,0.414076
6,0.0,0.0,0.41441
17,0.0,1258.0,0.414538
17,0.0,1258.0,0.414829
17,0.0,1258.0,0.442316
17,0.0,1258.0,0.442442
17,0.0,1258.0,0.44252
17,0.0,1258.0,0.442568
17,0.0,49.0,0.443153
17,0.0,49.0,0.443739
17,0.0,1258.0,0.450316
17,0.0,238.0,0.450454
17,0.0,49.0,0.45789
17,0.0,1258.0,0.462377
17,0.0,521.0,0.462516
17,0.0,49.0,0.463555
6,4200.0,0.0,0.484685
6,4910.0,0.0,0.485054
6,0.0,0.0,0.485369
6,0.0,0.0,0.485382
6,652.0,0.0,0.485415
6,0.0,0.0,0.485497
17,0.0,49.0,0.496432
17,0.0,91.0,0.502613
17,0.0,80.0,0.502695
6,74.0,0.0,0.502719
17,0.0,41.0,0.502727
17,0.0,175.0,0.502745
6,0.0,0.0,0.502809
17,0.0,91.0,0.518151
17,0.0,78.0,0.51863
6,74.0,0.0,0.519379
6,0.0,0.0,0.519507
17,0.0,41.0,0.52001
17,0.0,167.0,0.520643
17,0.0,49.0,0.52828
17,0.0,966.0,0.544263
17,0.0,129.0,0.544484
17,0.0,41.0,0.545016
17,0.0,33.0,0.560352
17,0.0,942.0,0.560434
17,0.0,239.0,0.560504
6,974.0,0.0,0.560562
17,0.0,129.0,0.560618
17,0.0,43.0,0.562688
17,0.0,41.0,0.562765
17,0.0,41.0,0.562784
17,0.0,33.0,0.568316
6,950.0,0.0,0.568415
17,0.0,239.0,0.568491
17,0.0,45.0,0.56993
6,0.0,0.0,0.601456
6,0.0,0.0,0.609379
17,0.0,33.0,0.632328
17,0.0,33.0,0.632409
17,0.0,601.0,1.048561
17,0.0,1254.0,1.048928
17,0.0,1258.0,1.049049
17,0.0,1258.0,1.049234
17,0.0,593.0,1.049319
6,0.0,0.0,1.091827
17,0.0,35.0,1.107778
17,0.0,33.0,1.107988
6,0.0,0.0,1.131674
