protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.300687
6,0.0,0.0,0.304523
17,0.0,1258.0,0.342505
6,0.0,0.0,0.345062
17,0.0,1258.0,0.377885
6,0.0,0.0,0.378245
6,0.0,0.0,0.378504
6,517.0,0.0,0.379956
17,0.0,1258.0,0.38014
6,0.0,0.0,0.380255
17,0.0,1258.0,0.389457
17,0.0,1258.0,0.389534
17,0.0,49.0,0.389997
17,0.0,1258.0,0.391421
6,0.0,0.0,0.391577
6,0.0,0.0,0.391674
6,517.0,0.0,0.392746
17,0.0,1258.0,0.392881
6,0.0,0.0,0.393015
17,0.0,1258.0,0.434468
17,0.0,1258.0,0.434557
17,0.0,49.0,0.434979
17,0.0,1258.0,0.44123
17,0.0,231.0,0.441322
17,0.0,49.0,0.448909
17,0.0,1258.0,0.457316
17,0.0,514.0,0.457401
17,0.0,49.0,0.458255
17,0.0,91.0,0.473413
17,0.0,76.0,0.473494
17,0.0,41.0,0.474794
17,0.0,176.0,0.474865
17,0.0,91.0,0.480758
17,0.0,77.0,0.480835
17,0.0,174.0,0.480859
6,2716.0,0.0,0.489183
6,0.0,0.0,0.48944
6,2135.0,0.0,0.494494
6,0.0,0.0,0.494591
6,74.0,0.0,0.495662
6,0.0,0.0,0.495732
6,4910.0,0.0,0.50695
6,0.0,0.0,0.508295
6,74.0,0.0,0.508303
6,0.0,0.0,0.508388
17,0.0,966.0,0.51139
17,0.0,129.0,0.511775
17,0.0,41.0,0.512123
17,0.0,33.0,0.512191
17,0.0,239.0,0.513384
17,0.0,43.0,0.515015
17,0.0,942.0,0.516369
17,0.0,129.0,0.516437
17,0.0,41.0,0.516886
17,0.0,244.0,0.521342
17,0.0,43.0,0.522014
17,0.0,33.0,0.522091
6,974.0,0.0,0.527197
17,0.0,41.0,0.548079
6,950.0,0.0,0.562377
17,0.0,33.0,0.576425
6,0.0,0.0,0.578369
17,0.0,33.0,0.581294
6,0.0,0.0,0.602349
17,0.0,641.0,0.983906
17,0.0,1254.0,0.986896
17,0.0,1258.0,0.987036
17,0.0,1258.0,0.987059
17,0.0,545.0,0.987077
17,0.0,35.0,1.079383
17,0.0,41.0,1.105564
17,0.0,1254.0,1.163035
17,0.0,33.0,1.170906
17,0.0,33.0,1.189092
17,0.0,33.0,1.191499
17,0.0,1254.0,1.191854
17,0.0,35.0,1.230963
17,0.0,35.0,1.231448
17,0.0,1258.0,1.343765
17,0.0,1258.0,1.409276
17,0.0,1258.0,1.413118
17,0.0,130.0,1.455204
17,0.0,1254.0,1.4554
17,0.0,1258.0,1.455495
17,0.0,1258.0,1.455591
17,0.0,430.0,1.455662
17,0.0,1258.0,1.472574
17,0.0,1258.0,1.473299
17,0.0,49.0,1.474189
17,0.0,1258.0,1.476131
17,0.0,868.0,1.477181
17,0.0,49.0,1.47907
17,0.0,91.0,1.504727
17,0.0,75.0,1.504975
17,0.0,983.0,1.505113
17,0.0,39.0,1.511382
17,0.0,35.0,1.512414
17,0.0,35.0,1.513137
17,0.0,41.0,1.537682
17,0.0,951.0,1.556177
17,0.0,129.0,1.55631
17,0.0,42.0,1.557361
17,0.0,1254.0,1.560172
17,0.0,43.0,1.562556
17,0.0,1008.0,1.562748
17,0.0,216.0,1.562842
17,0.0,35.0,1.566421
17,0.0,41.0,1.596899
17,0.0,41.0,1.622721
17,0.0,323.0,1.630913
17,0.0,33.0,1.631008
17,0.0,43.0,1.63451
17,0.0,33.0,1.636619
17,0.0,127.0,1.637401
17,0.0,1254.0,1.638893
17,0.0,1258.0,1.638973
17,0.0,1258.0,1.638999
17,0.0,457.0,1.639077
17,0.0,41.0,1.659008
17,0.0,35.0,1.692051
17,0.0,33.0,1.69252
17,0.0,33.0,1.706114
17,0.0,41.0,1.717985
17,0.0,1254.0,1.735881
17,0.0,43.0,1.736996
17,0.0,909.0,1.738455
17,0.0,152.0,1.738621
17,0.0,41.0,1.739125
17,0.0,133.0,1.750515
17,0.0,1254.0,1.750682
17,0.0,1258.0,1.750762
17,0.0,1258.0,1.750815
17,0.0,660.0,1.750863
17,0.0,35.0,1.791132
17,0.0,33.0,1.793366
17,0.0,41.0,1.817891
17,0.0,1254.0,1.846428
17,0.0,43.0,1.847456
17,0.0,1182.0,1.848159
17,0.0,118.0,1.848284
17,0.0,41.0,1.850354
17,0.0,33.0,1.925849
17,0.0,1254.0,2.052832
17,0.0,43.0,2.053691
17,0.0,1258.0,2.056053
17,0.0,1258.0,2.056201
17,0.0,1258.0,2.056288
17,0.0,1258.0,2.05635
17,0.0,1258.0,2.056402
17,0.0,1258.0,2.056462
17,0.0,41.0,2.056519
17,0.0,41.0,2.056665
17,0.0,41.0,2.056764
17,0.0,1258.0,2.056849
17,0.0,1258.0,2.05694
17,0.0,1258.0,2.057019
17,0.0,1258.0,2.057072
17,0.0,41.0,2.057125
17,0.0,1258.0,2.05723
17,0.0,41.0,2.057303
17,0.0,1258.0,2.05834
17,0.0,41.0,2.058903
17,0.0,1258.0,2.060104
17,0.0,1258.0,2.062015
17,0.0,41.0,2.062678
17,0.0,1258.0,2.065004
17,0.0,1258.0,2.06692
17,0.0,41.0,2.067632
17,0.0,1258.0,2.07036
17,0.0,1258.0,2.072658
17,0.0,41.0,2.073366
17,0.0,1258.0,2.076808
17,0.0,1258.0,2.08048
17,0.0,41.0,2.081105
17,0.0,1258.0,2.082357
17,0.0,1258.0,2.08251
17,0.0,41.0,2.083663
17,0.0,1258.0,2.08552
17,0.0,1258.0,2.089606
17,0.0,41.0,2.09065
17,0.0,1258.0,2.091875
17,0.0,1258.0,2.094681
17,0.0,41.0,2.095558
17,0.0,1258.0,2.096735
17,0.0,1258.0,2.099562
17,0.0,41.0,2.100416
17,0.0,1258.0,2.101188
17,0.0,1258.0,2.105339
17,0.0,1258.0,2.105462
17,0.0,41.0,2.106162
17,0.0,1258.0,2.107278
17,0.0,1258.0,2.107377
17,0.0,1258.0,2.107492
17,0.0,1258.0,2.107531
17,0.0,41.0,2.107575
17,0.0,41.0,2.107713
17,0.0,1258.0,2.111288
17,0.0,1258.0,2.11154
17,0.0,41.0,2.112258
17,0.0,1258.0,2.113494
17,0.0,1258.0,2.113652
17,0.0,41.0,2.114232
17,0.0,1258.0,2.115438
17,0.0,1258.0,2.115607
17,0.0,1258.0,2.115664
17,0.0,1258.0,2.115713
17,0.0,45.0,2.115767
17,0.0,41.0,2.115888
17,0.0,1258.0,2.117711
17,0.0,1258.0,2.117894
17,0.0,41.0,2.118306
17,0.0,1258.0,2.121699
17,0.0,1258.0,2.121825
17,0.0,1258.0,2.121867
17,0.0,1258.0,2.121899
17,0.0,41.0,2.122502
17,0.0,41.0,2.122659
17,0.0,1258.0,2.123928
17,0.0,1258.0,2.124147
17,0.0,41.0,2.125491
17,0.0,1258.0,2.125828
17,0.0,1258.0,2.125948
17,0.0,41.0,2.126879
17,0.0,1258.0,2.127075
17,0.0,1258.0,2.127161
17,0.0,1258.0,2.127224
17,0.0,1258.0,2.127269
17,0.0,41.0,2.128164
17,0.0,41.0,2.128312
17,0.0,1258.0,2.130904
17,0.0,1258.0,2.131008
17,0.0,1258.0,2.131043
17,0.0,1258.0,2.131075
17,0.0,41.0,2.132885
17,0.0,41.0,2.133121
17,0.0,1258.0,2.136854
17,0.0,41.0,2.138023
17,0.0,1156.0,2.138117
17,0.0,41.0,2.1638
17,0.0,34.0,2.170992
17,0.0,1094.0,2.203479
17,0.0,42.0,2.204209
17,0.0,1258.0,2.3107
6,0.0,0.0,2.314475
6,0.0,0.0,2.318813
6,0.0,0.0,2.325453
17,0.0,821.0,2.32809
6,0.0,0.0,2.350523
6,0.0,0.0,2.351059
6,517.0,0.0,2.351629
6,0.0,0.0,2.351832
17,0.0,1258.0,2.352155
6,0.0,0.0,2.352474
6,0.0,0.0,2.352704
6,517.0,0.0,2.354339
17,0.0,1258.0,2.354831
6,0.0,0.0,2.355083
6,0.0,0.0,2.365624
6,0.0,0.0,2.36616
6,517.0,0.0,2.366758
6,0.0,0.0,2.367047
17,0.0,1258.0,2.382109
17,0.0,1258.0,2.382321
17,0.0,49.0,2.382954
17,0.0,35.0,2.39157
17,0.0,1258.0,2.391842
17,0.0,882.0,2.392014
17,0.0,49.0,2.393511
17,0.0,91.0,2.411089
17,0.0,75.0,2.411182
17,0.0,252.0,2.414578
17,0.0,134.0,2.414793
17,0.0,141.0,2.414914
17,0.0,41.0,2.41932
6,1358.0,0.0,2.422307
6,0.0,0.0,2.423053
6,1358.0,0.0,2.425427
6,0.0,0.0,2.425828
6,2716.0,0.0,2.426607
6,0.0,0.0,2.426814
6,1483.0,0.0,2.426858
6,0.0,0.0,2.426999
6,74.0,0.0,2.431987
6,0.0,0.0,2.432275
6,2716.0,0.0,2.432417
6,0.0,0.0,2.432845
6,2716.0,0.0,2.433392
6,0.0,0.0,2.434173
6,1483.0,0.0,2.434302
6,0.0,0.0,2.434431
6,74.0,0.0,2.435678
6,0.0,0.0,2.435882
6,2716.0,0.0,2.440288
6,0.0,0.0,2.440803
6,4200.0,0.0,2.440866
6,0.0,0.0,2.441052
6,74.0,0.0,2.447998
6,0.0,0.0,2.4483
17,0.0,973.0,2.462684
17,0.0,129.0,2.462959
17,0.0,35.0,2.463059
17,0.0,33.0,2.463106
17,0.0,36.0,2.463142
17,0.0,41.0,2.463795
17,0.0,41.0,2.465009
6,980.0,0.0,2.473019
6,980.0,0.0,2.473227
6,980.0,0.0,2.476853
17,0.0,259.0,2.484357
17,0.0,43.0,2.487894
17,0.0,33.0,2.488229
17,0.0,1002.0,2.496275
17,0.0,43.0,2.498415
17,0.0,41.0,2.498594
17,0.0,43.0,2.49866
17,0.0,707.0,2.498722
17,0.0,33.0,2.498813
17,0.0,703.0,2.498861
17,0.0,33.0,2.4989
17,0.0,33.0,2.498936
17,0.0,43.0,2.509957
17,0.0,43.0,2.51046
17,0.0,41.0,2.510562
17,0.0,43.0,2.510628
17,0.0,43.0,2.513497
6,0.0,0.0,2.516322
6,0.0,0.0,2.516333
17,0.0,41.0,2.516345
17,0.0,326.0,2.518454
6,0.0,0.0,2.518556
17,0.0,33.0,2.544497
17,0.0,33.0,2.546366
17,0.0,1258.0,2.550858
17,0.0,1258.0,2.553164
17,0.0,1258.0,2.554707
17,0.0,33.0,2.555336
17,0.0,33.0,2.570959
17,0.0,35.0,2.581311
17,0.0,41.0,2.607304
17,0.0,1258.0,2.618377
17,0.0,1258.0,2.619231
17,0.0,1258.0,2.620355
17,0.0,1258.0,2.621388
17,0.0,1258.0,2.621472
17,0.0,1258.0,2.621512
17,0.0,1258.0,2.621802
17,0.0,1258.0,2.621923
17,0.0,1258.0,2.622296
17,0.0,1258.0,2.622362
17,0.0,1258.0,2.62261
17,0.0,1258.0,2.62295
17,0.0,49.0,2.624007
17,0.0,49.0,2.624093
17,0.0,49.0,2.624123
17,0.0,1258.0,2.624157
17,0.0,1258.0,2.624716
17,0.0,1258.0,2.624925
17,0.0,390.0,2.625116
17,0.0,395.0,2.631007
17,0.0,404.0,2.631611
17,0.0,49.0,2.631922
17,0.0,49.0,2.63215
17,0.0,49.0,2.632193
17,0.0,49.0,2.633226
17,0.0,49.0,2.633267
17,0.0,91.0,2.643191
17,0.0,80.0,2.643334
17,0.0,335.0,2.643363
17,0.0,91.0,2.648656
17,0.0,77.0,2.648751
17,0.0,327.0,2.648778
17,0.0,45.0,2.64881
17,0.0,43.0,2.649641
17,0.0,33.0,2.651321
17,0.0,91.0,2.655818
17,0.0,80.0,2.6559
17,0.0,326.0,2.655925
17,0.0,41.0,2.677597
17,0.0,538.0,2.679368
17,0.0,538.0,2.680438
17,0.0,124.0,2.680569
17,0.0,124.0,2.680585
17,0.0,35.0,2.680604
17,0.0,215.0,2.680621
17,0.0,41.0,2.681924
17,0.0,41.0,2.682036
17,0.0,43.0,2.682067
17,0.0,538.0,2.682102
17,0.0,35.0,2.682166
17,0.0,124.0,2.682187
17,0.0,41.0,2.682771
17,0.0,215.0,2.692033
17,0.0,35.0,2.692188
17,0.0,215.0,2.692215
17,0.0,43.0,2.692916
17,0.0,43.0,2.694749
17,0.0,33.0,2.726377
17,0.0,33.0,2.750262
17,0.0,33.0,2.750462
17,0.0,33.0,2.76189
17,0.0,168.0,2.924746
17,0.0,164.0,2.930001
17,0.0,103.0,2.935254
17,0.0,162.0,2.93986
17,0.0,1258.0,2.949074
17,0.0,35.0,2.960195
17,0.0,133.0,2.962095
17,0.0,43.0,2.963575
17,0.0,35.0,2.966471
17,0.0,98.0,2.966686
17,0.0,43.0,2.968403
17,0.0,35.0,2.97298
17,0.0,33.0,2.973093
17,0.0,33.0,2.973113
17,0.0,110.0,2.973129
17,0.0,1254.0,2.973145
17,0.0,1258.0,2.973173
17,0.0,1258.0,2.973188
17,0.0,1258.0,2.973204
17,0.0,41.0,2.976488
17,0.0,43.0,2.976709
17,0.0,43.0,2.976835
17,0.0,41.0,2.976922
17,0.0,1258.0,2.976993
17,0.0,1258.0,2.977138
17,0.0,41.0,2.98231
17,0.0,1258.0,2.98247
17,0.0,1258.0,2.982572
17,0.0,1258.0,2.982593
17,0.0,41.0,2.983241
17,0.0,41.0,2.983311
17,0.0,1258.0,2.986453
17,0.0,1258.0,2.986578
17,0.0,1258.0,2.9866
17,0.0,41.0,2.98713
17,0.0,1258.0,2.990905
17,0.0,1106.0,2.991017
17,0.0,41.0,2.99203
17,0.0,33.0,3.00022
17,0.0,33.0,3.005094
17,0.0,1258.0,3.016224
17,0.0,41.0,3.018146
17,0.0,1258.0,3.018328
17,0.0,1258.0,3.075912
17,0.0,1258.0,3.076058
17,0.0,49.0,3.076684
17,0.0,1258.0,3.086072
17,0.0,49.0,3.087833
17,0.0,821.0,3.088082
17,0.0,49.0,3.090016
17,0.0,91.0,3.09644
17,0.0,77.0,3.096524
17,0.0,233.0,3.09655
17,0.0,947.0,3.155275
17,0.0,129.0,3.155492
17,0.0,41.0,3.156043
17,0.0,35.0,3.165296
17,0.0,41.0,3.191188
17,0.0,367.0,3.333936
17,0.0,35.0,3.395358
17,0.0,41.0,3.421348
17,0.0,125.0,3.460325
17,0.0,33.0,3.460438
17,0.0,43.0,3.462619
17,0.0,41.0,3.486609
17,0.0,33.0,3.541723
17,0.0,223.0,3.550076
17,0.0,33.0,3.55028
17,0.0,43.0,3.551209
17,0.0,41.0,3.57712
17,0.0,33.0,3.620551
17,0.0,87.0,3.624522
17,0.0,126.0,3.631566
17,0.0,1254.0,3.631811
17,0.0,1258.0,3.631859
17,0.0,1258.0,3.631888
17,0.0,455.0,3.631913
17,0.0,35.0,3.662162
17,0.0,1254.0,3.662367
17,0.0,1258.0,3.663264
17,0.0,1258.0,3.663375
17,0.0,1258.0,3.663434
17,0.0,1258.0,3.663476
17,0.0,1258.0,3.663519
17,0.0,1258.0,3.663556
17,0.0,1258.0,3.663595
17,0.0,1258.0,3.663634
17,0.0,43.0,3.663678
17,0.0,41.0,3.66466
17,0.0,41.0,3.664922
17,0.0,41.0,3.668986
17,0.0,41.0,3.669294
17,0.0,1258.0,3.669483
17,0.0,1258.0,3.669666
17,0.0,1258.0,3.669742
17,0.0,218.0,3.669793
17,0.0,41.0,3.67036
17,0.0,41.0,3.671069
17,0.0,37.0,3.671214
17,0.0,34.0,3.671621
17,0.0,41.0,3.697657
17,0.0,34.0,3.702936
17,0.0,33.0,3.725548
17,0.0,1254.0,3.741109
17,0.0,1258.0,3.741298
17,0.0,44.0,3.743958
17,0.0,1258.0,3.744176
17,0.0,1258.0,3.744285
17,0.0,1258.0,3.744307
17,0.0,1258.0,3.744323
17,0.0,1258.0,3.74434
17,0.0,1258.0,3.744353
17,0.0,1258.0,3.744367
17,0.0,589.0,3.744383
17,0.0,184.0,3.744397
17,0.0,41.0,3.748699
17,0.0,34.0,3.796682
6,0.0,0.0,4.176785
17,0.0,533.0,4.224577
17,0.0,1254.0,4.225065
17,0.0,1258.0,4.225307
17,0.0,1258.0,4.226019
17,0.0,1258.0,4.238742
17,0.0,503.0,4.239002
17,0.0,511.0,4.239171
17,0.0,1254.0,4.239296
17,0.0,1258.0,4.239401
17,0.0,1258.0,4.239489
17,0.0,1258.0,4.23957
17,0.0,1258.0,4.239656
