protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,0.981872
6,0.0,0.0,2.98151
17,0.0,1258.0,4.011259
17,0.0,85.0,4.01534
6,0.0,0.0,4.017724
17,0.0,1258.0,4.222722
17,0.0,1258.0,4.258135
17,0.0,808.0,4.258719
17,0.0,190.0,4.258855
17,0.0,1258.0,4.264829
17,0.0,81.0,4.269839
17,0.0,33.0,4.270042
17,0.0,41.0,4.270701
17,0.0,318.0,4.273968
17,0.0,1254.0,4.274967
17,0.0,1258.0,4.275727
17,0.0,1258.0,4.276479
17,0.0,892.0,4.277065
6,0.0,0.0,4.393238
6,0.0,0.0,4.397768
6,768.0,0.0,4.397863
6,15.0,0.0,4.399435
6,0.0,0.0,4.400167
17,0.0,385.0,4.670389
17,0.0,1258.0,4.87606
17,0.0,88.0,4.878942
17,0.0,1258.0,4.879974
17,0.0,86.0,4.88485
17,0.0,1258.0,4.885902
17,0.0,88.0,4.888792
6,0.0,0.0,4.889852
6,0.0,0.0,4.895812
6,0.0,0.0,4.901112
17,0.0,37.0,4.904353
17,0.0,129.0,4.904475
17,0.0,41.0,4.905603
17,0.0,1254.0,5.079441
17,0.0,33.0,5.118631
6,0.0,0.0,5.128787
6,0.0,0.0,5.135689
6,0.0,0.0,5.142631
6,0.0,0.0,5.165042
17,0.0,33.0,5.493343
17,0.0,33.0,5.562343
17,0.0,41.0,5.563226
17,0.0,1258.0,5.760396
17,0.0,34.0,5.894585
17,0.0,1258.0,5.936795
17,0.0,88.0,5.939637
17,0.0,469.0,5.939686
17,0.0,379.0,5.93971
6,0.0,0.0,5.942469
6,0.0,0.0,5.942538
6,0.0,0.0,5.942549
6,0.0,0.0,6.181243
6,0.0,0.0,6.181521
6,0.0,0.0,6.181556
17,0.0,35.0,6.182982
17,0.0,892.0,6.183874
6,0.0,0.0,6.19905
17,0.0,1258.0,6.217762
17,0.0,1258.0,6.221991
17,0.0,1258.0,6.234542
17,0.0,1258.0,6.234629
17,0.0,49.0,6.236355
17,0.0,1258.0,6.243636
17,0.0,393.0,6.243731
17,0.0,175.0,6.245996
17,0.0,340.0,6.246859
6,384.0,0.0,6.255124
6,0.0,0.0,6.2554
6,74.0,0.0,6.257269
6,0.0,0.0,6.257401
17,0.0,125.0,6.317605
17,0.0,1258.0,6.320286
17,0.0,1258.0,6.546619
17,0.0,85.0,6.549749
17,0.0,262.0,6.549961
17,0.0,170.0,6.550018
17,0.0,170.0,6.550043
17,0.0,179.0,6.550063
17,0.0,169.0,6.550343
17,0.0,1258.0,6.568847
17,0.0,1258.0,6.571894
17,0.0,1258.0,6.575064
17,0.0,1258.0,6.575154
17,0.0,49.0,6.575972
17,0.0,1258.0,6.588336
17,0.0,400.0,6.588422
17,0.0,173.0,6.593443
17,0.0,329.0,6.594331
17,0.0,535.0,6.595609
17,0.0,1254.0,6.595896
17,0.0,1258.0,6.596131
17,0.0,1258.0,6.596189
17,0.0,1258.0,6.59621
17,0.0,609.0,6.596228
17,0.0,35.0,6.929331
17,0.0,1258.0,6.930566
17,0.0,1258.0,6.951255
17,0.0,171.0,6.964913
17,0.0,171.0,6.968298
17,0.0,171.0,6.970898
17,0.0,1258.0,6.972169
6,0.0,0.0,6.981377
17,0.0,37.0,7.287511
17,0.0,533.0,7.289298
17,0.0,37.0,7.649102
6,0.0,0.0,7.649251
6,0.0,0.0,7.649585
6,0.0,0.0,7.649798
6,0.0,0.0,7.649961
6,0.0,0.0,7.650143
6,0.0,0.0,7.650175
6,0.0,0.0,7.650194
6,0.0,0.0,7.650211
6,517.0,0.0,7.650765
6,0.0,0.0,7.651382
6,517.0,0.0,7.652753
6,0.0,0.0,7.653425
6,517.0,0.0,7.655334
6,0.0,0.0,7.655942
6,517.0,0.0,7.657244
6,0.0,0.0,7.657828
17,0.0,1258.0,7.687488
17,0.0,1258.0,7.768159
17,0.0,81.0,7.773492
17,0.0,250.0,7.773585
17,0.0,134.0,7.773616
17,0.0,439.0,7.773648
17,0.0,1258.0,7.773747
17,0.0,263.0,7.773802
17,0.0,794.0,7.773819
17,0.0,188.0,7.773857
17,0.0,43.0,7.778362
17,0.0,1258.0,7.778626
17,0.0,81.0,7.778674
17,0.0,41.0,7.778703
17,0.0,41.0,7.804937
17,0.0,41.0,7.805222
17,0.0,1258.0,7.871346
6,0.0,0.0,7.941249
6,0.0,0.0,7.941447
6,0.0,0.0,7.941644
17,0.0,130.0,7.984525
17,0.0,1258.0,7.98834
17,0.0,1258.0,8.012314
17,0.0,1258.0,8.038678
17,0.0,888.0,8.061524
17,0.0,1258.0,8.178447
17,0.0,1258.0,8.224165
17,0.0,1258.0,8.226545
17,0.0,81.0,8.227021
17,0.0,796.0,8.238034
17,0.0,178.0,8.238241
17,0.0,41.0,8.239649
17,0.0,41.0,8.267477
17,0.0,39.0,8.492462
17,0.0,1258.0,8.493595
17,0.0,33.0,8.522953
17,0.0,533.0,8.524018
17,0.0,126.0,8.524647
17,0.0,288.0,8.594203
17,0.0,145.0,8.813063
17,0.0,1258.0,8.816491
17,0.0,33.0,8.852428
17,0.0,1258.0,8.870073
17,0.0,163.0,8.961937
17,0.0,439.0,8.967648
17,0.0,41.0,8.968681
6,2576.0,0.0,9.208938
6,0.0,0.0,9.20936
6,1288.0,0.0,9.214713
6,0.0,0.0,9.214851
6,1102.0,0.0,9.23383
6,0.0,0.0,9.234079
6,64.0,0.0,9.235116
6,0.0,0.0,9.235352
17,0.0,1258.0,9.412903
17,0.0,430.0,9.413969
17,0.0,1258.0,9.570472
17,0.0,168.0,9.57183
17,0.0,1258.0,9.758817
17,0.0,1258.0,9.774137
17,0.0,1258.0,9.776713
17,0.0,81.0,9.777306
17,0.0,810.0,9.779766
17,0.0,168.0,9.779978
17,0.0,41.0,9.781119
17,0.0,41.0,9.808377
17,0.0,45.0,10.01337
17,0.0,1258.0,10.014829
17,0.0,1258.0,10.048427
17,0.0,1258.0,10.080517
17,0.0,1258.0,10.113362
17,0.0,1258.0,10.145337
17,0.0,1258.0,10.179426
17,0.0,1258.0,10.210289
17,0.0,1258.0,10.242863
17,0.0,1123.0,10.274842
17,0.0,41.0,10.404053
17,0.0,1258.0,10.567331
6,0.0,0.0,10.577054
6,0.0,0.0,10.594642
17,0.0,1258.0,10.598494
17,0.0,168.0,10.600001
17,0.0,538.0,10.660021
17,0.0,125.0,10.66024
17,0.0,35.0,10.660267
17,0.0,41.0,10.664232
17,0.0,41.0,10.665378
17,0.0,87.0,10.670006
17,0.0,206.0,10.679818
17,0.0,538.0,10.67991
17,0.0,125.0,10.680036
17,0.0,33.0,10.680089
17,0.0,42.0,10.684944
17,0.0,41.0,10.687141
17,0.0,41.0,10.687977
17,0.0,1258.0,10.688726
17,0.0,1258.0,10.731748
6,0.0,0.0,10.831755
17,0.0,1258.0,10.864688
17,0.0,236.0,10.947699
17,0.0,33.0,11.158824
17,0.0,129.0,11.159156
17,0.0,1258.0,11.160674
17,0.0,33.0,11.177624
17,0.0,41.0,11.187089
17,0.0,146.0,11.203107
17,0.0,1258.0,11.465924
6,0.0,0.0,11.621418
6,0.0,0.0,11.621529
17,0.0,73.0,11.828952
6,0.0,0.0,11.861313
17,0.0,37.0,11.89805
17,0.0,1258.0,11.927502
17,0.0,41.0,11.939612
6,0.0,0.0,11.94201
6,0.0,0.0,11.942074
6,0.0,0.0,11.942083
17,0.0,129.0,11.959619
17,0.0,1258.0,11.959819
6,0.0,0.0,11.960176
6,0.0,0.0,11.960711
6,0.0,0.0,11.961411
6,0.0,0.0,11.961461
17,0.0,41.0,11.962283
17,0.0,1258.0,11.965869
17,0.0,1258.0,11.966127
17,0.0,1258.0,11.966228
17,0.0,395.0,11.966319
17,0.0,1258.0,11.970073
17,0.0,33.0,11.977702
17,0.0,33.0,11.977809
17,0.0,789.0,11.979592
6,517.0,0.0,11.982122
6,0.0,0.0,11.98489
6,517.0,0.0,11.985194
17,0.0,49.0,11.985555
17,0.0,49.0,11.985825
6,0.0,0.0,11.98613
17,0.0,91.0,11.997772
17,0.0,78.0,11.998584
17,0.0,470.0,12.000073
17,0.0,323.0,12.000852
17,0.0,37.0,12.117978
17,0.0,215.0,12.118383
17,0.0,1258.0,12.119331
17,0.0,41.0,12.120877
6,3864.0,0.0,12.124033
6,0.0,0.0,12.125129
6,1288.0,0.0,12.13003
6,1103.0,0.0,12.130736
6,0.0,0.0,12.131022
6,0.0,0.0,12.131061
6,64.0,0.0,12.133095
6,0.0,0.0,12.133384
6,1288.0,0.0,12.138215
6,0.0,0.0,12.138794
6,1288.0,0.0,12.144325
6,0.0,0.0,12.14468
6,1102.0,0.0,12.159472
6,0.0,0.0,12.159846
6,0.0,0.0,12.160736
6,0.0,0.0,12.161183
6,64.0,0.0,12.161246
6,0.0,0.0,12.161444
6,517.0,0.0,12.16307
6,0.0,0.0,12.163785
17,0.0,1258.0,12.164631
6,460.0,0.0,12.165901
6,0.0,0.0,12.166139
6,3864.0,0.0,12.171221
6,0.0,0.0,12.172063
17,0.0,33.0,12.177822
6,1103.0,0.0,12.178021
17,0.0,129.0,12.178186
17,0.0,1258.0,12.178267
6,0.0,0.0,12.178388
17,0.0,42.0,12.178419
17,0.0,1254.0,12.178477
17,0.0,293.0,12.17947
6,64.0,0.0,12.180422
6,0.0,0.0,12.180691
17,0.0,41.0,12.180882
17,0.0,168.0,12.182864
17,0.0,39.0,12.183891
17,0.0,1258.0,12.18473
17,0.0,35.0,12.1849
17,0.0,1258.0,12.184963
17,0.0,1258.0,12.185033
17,0.0,1258.0,12.188511
17,0.0,41.0,12.190121
17,0.0,44.0,12.192157
17,0.0,1258.0,12.202434
17,0.0,1258.0,12.204157
17,0.0,1258.0,12.2072
6,0.0,0.0,12.214973
17,0.0,41.0,12.23037
17,0.0,1258.0,12.232331
17,0.0,1258.0,12.237547
17,0.0,179.0,12.240803
17,0.0,41.0,12.264615
17,0.0,1258.0,12.274285
17,0.0,1258.0,12.2788
17,0.0,41.0,12.306438
17,0.0,1258.0,12.316103
17,0.0,1258.0,12.317576
17,0.0,41.0,12.344728
17,0.0,1258.0,12.357185
17,0.0,1258.0,12.358778
17,0.0,41.0,12.384732
17,0.0,1254.0,12.397796
17,0.0,1258.0,12.39803
17,0.0,1258.0,12.398122
17,0.0,41.0,12.399147
17,0.0,41.0,12.400623
17,0.0,1135.0,12.403057
17,0.0,1258.0,12.404965
17,0.0,1258.0,12.405277
17,0.0,1258.0,12.405405
17,0.0,41.0,12.40623
17,0.0,1258.0,12.410005
17,0.0,1258.0,12.410225
17,0.0,1258.0,12.410317
17,0.0,41.0,12.410868
17,0.0,41.0,12.41206
17,0.0,1258.0,12.416123
17,0.0,1258.0,12.416273
17,0.0,1258.0,12.41638
17,0.0,41.0,12.417209
17,0.0,1258.0,12.42203
17,0.0,1258.0,12.437625
17,0.0,41.0,12.438391
17,0.0,1258.0,12.44366
17,0.0,1258.0,12.443803
17,0.0,41.0,12.444945
17,0.0,1258.0,12.458915
17,0.0,41.0,12.459802
6,0.0,0.0,12.465719
17,0.0,41.0,12.472327
17,0.0,1258.0,12.483541
17,0.0,1258.0,12.48362
17,0.0,556.0,12.484258
17,0.0,1258.0,12.489651
17,0.0,1258.0,12.489723
17,0.0,41.0,12.490277
6,0.0,0.0,12.515815
6,0.0,0.0,12.521755
6,0.0,0.0,12.527692
17,0.0,41.0,12.536367
17,0.0,1258.0,12.536451
6,0.0,0.0,12.536577
6,0.0,0.0,12.536866
6,0.0,0.0,12.53703
17,0.0,37.0,12.537168
17,0.0,1258.0,12.537199
17,0.0,33.0,12.537214
17,0.0,1258.0,12.537229
6,0.0,0.0,12.537358
6,0.0,0.0,12.537375
6,0.0,0.0,12.537381
17,0.0,1258.0,12.537389
17,0.0,1258.0,12.537413
6,517.0,0.0,12.53918
17,0.0,326.0,12.539607
6,0.0,0.0,12.539963
6,517.0,0.0,12.540508
17,0.0,41.0,12.542104
6,0.0,0.0,12.542293
17,0.0,538.0,12.542372
17,0.0,1258.0,12.542693
6,517.0,0.0,12.546429
6,0.0,0.0,12.546744
17,0.0,42.0,12.548632
17,0.0,41.0,12.563402
17,0.0,41.0,12.564361
6,1288.0,0.0,12.566268
6,0.0,0.0,12.567141
17,0.0,41.0,12.568179
6,3678.0,0.0,12.569933
6,0.0,0.0,12.570291
6,64.0,0.0,12.572247
6,0.0,0.0,12.57257
17,0.0,1258.0,12.576081
17,0.0,125.0,12.576231
6,4966.0,0.0,12.576369
6,0.0,0.0,12.576941
17,0.0,41.0,12.578734
6,64.0,0.0,12.58188
17,0.0,1258.0,12.582437
17,0.0,1258.0,12.582657
6,0.0,0.0,12.584278
17,0.0,41.0,12.584627
17,0.0,1258.0,12.584917
17,0.0,1258.0,12.599382
17,0.0,41.0,12.601366
17,0.0,1258.0,12.608186
17,0.0,455.0,12.608332
17,0.0,1258.0,12.608369
17,0.0,33.0,12.608448
17,0.0,1258.0,12.608471
17,0.0,43.0,12.610774
17,0.0,92.0,12.611045
17,0.0,33.0,12.611158
17,0.0,49.0,12.612714
17,0.0,43.0,12.615175
17,0.0,41.0,12.617762
17,0.0,1258.0,12.621545
17,0.0,41.0,12.623981
17,0.0,1254.0,12.627905
17,0.0,43.0,12.62942
17,0.0,1258.0,12.639855
17,0.0,35.0,12.639916
17,0.0,33.0,12.639975
17,0.0,231.0,12.639995
17,0.0,41.0,12.640111
17,0.0,41.0,12.640756
17,0.0,46.0,12.642017
17,0.0,1258.0,12.648196
17,0.0,41.0,12.651397
17,0.0,1258.0,12.658367
6,1288.0,0.0,12.676926
6,0.0,0.0,12.677208
6,3678.0,0.0,12.682374
6,0.0,0.0,12.684491
6,64.0,0.0,12.684501
17,0.0,41.0,12.684511
17,0.0,1258.0,12.684614
17,0.0,33.0,12.684681
17,0.0,1258.0,12.684708
6,0.0,0.0,12.684786
17,0.0,1258.0,12.689928
17,0.0,41.0,12.690628
17,0.0,1258.0,12.69486
17,0.0,33.0,12.694941
17,0.0,41.0,12.711984
17,0.0,1258.0,12.716484
17,0.0,41.0,12.720851
17,0.0,1258.0,12.722547
6,802.0,0.0,12.722707
17,0.0,1258.0,12.723206
17,0.0,41.0,12.72546
17,0.0,1258.0,12.737508
17,0.0,41.0,12.743208
6,0.0,0.0,12.763211
17,0.0,41.0,12.764378
17,0.0,1258.0,12.773532
17,0.0,33.0,12.77374
17,0.0,34.0,12.773809
17,0.0,1258.0,12.773968
17,0.0,1258.0,12.785133
17,0.0,1258.0,12.785586
17,0.0,41.0,12.78753
17,0.0,1258.0,12.798458
17,0.0,45.0,12.799501
17,0.0,41.0,12.802005
17,0.0,1258.0,12.804066
17,0.0,41.0,12.830323
17,0.0,1258.0,12.838053
17,0.0,33.0,12.844246
17,0.0,1258.0,12.844447
17,0.0,1258.0,12.844612
6,0.0,0.0,12.84473
6,0.0,0.0,12.845239
17,0.0,49.0,12.848359
17,0.0,1016.0,12.848777
6,768.0,0.0,12.850019
6,0.0,0.0,12.85063
6,19.0,0.0,12.852561
6,0.0,0.0,12.853253
17,0.0,176.0,12.860045
17,0.0,267.0,12.862533
17,0.0,166.0,12.864126
17,0.0,167.0,12.86565
17,0.0,168.0,12.867272
17,0.0,205.0,12.867519
17,0.0,35.0,12.867719
17,0.0,42.0,12.867805
17,0.0,1254.0,12.867874
17,0.0,41.0,12.868566
17,0.0,44.0,12.871424
17,0.0,41.0,12.872573
17,0.0,41.0,12.872733
17,0.0,1001.0,12.88144
17,0.0,62.0,12.881677
17,0.0,109.0,12.88177
17,0.0,91.0,12.881826
17,0.0,288.0,12.881876
17,0.0,35.0,12.881925
17,0.0,86.0,12.881973
17,0.0,80.0,12.882021
17,0.0,1258.0,12.882072
17,0.0,41.0,12.882493
17,0.0,41.0,12.883471
17,0.0,41.0,12.884172
17,0.0,41.0,12.88482
17,0.0,41.0,12.886346
17,0.0,1258.0,12.886635
17,0.0,1258.0,12.886812
17,0.0,33.0,12.892231
17,0.0,1258.0,12.897758
17,0.0,41.0,12.898685
17,0.0,41.0,12.914846
17,0.0,1258.0,12.918787
17,0.0,33.0,12.924714
17,0.0,1258.0,12.924884
17,0.0,41.0,12.925834
17,0.0,1258.0,12.93169
17,0.0,1258.0,12.931947
17,0.0,1258.0,12.937406
17,0.0,1258.0,12.942662
17,0.0,41.0,12.944405
17,0.0,1258.0,12.957913
17,0.0,36.0,12.958043
6,0.0,0.0,12.958243
6,0.0,0.0,12.958473
6,0.0,0.0,12.958648
6,0.0,0.0,12.95889
6,0.0,0.0,12.95893
6,0.0,0.0,12.958959
17,0.0,41.0,12.961459
6,768.0,0.0,12.962755
6,0.0,0.0,12.963268
6,4966.0,0.0,12.96353
6,19.0,0.0,12.964127
6,0.0,0.0,12.964401
17,0.0,1258.0,12.964448
17,0.0,461.0,12.964607
6,0.0,0.0,12.964883
6,0.0,0.0,12.965048
6,517.0,0.0,12.965637
6,0.0,0.0,12.966025
6,517.0,0.0,12.966088
6,64.0,0.0,12.966354
6,0.0,0.0,12.966582
6,0.0,0.0,12.966919
6,0.0,0.0,12.967202
17,0.0,43.0,12.971089
6,517.0,0.0,12.971435
17,0.0,41.0,12.972975
17,0.0,1254.0,12.97338
6,0.0,0.0,12.973805
17,0.0,1258.0,12.974034
17,0.0,1258.0,12.974152
17,0.0,1258.0,12.974233
17,0.0,192.0,12.974322
17,0.0,41.0,12.976546
17,0.0,41.0,12.976779
17,0.0,1258.0,12.97687
17,0.0,1254.0,12.977044
17,0.0,1258.0,12.977161
17,0.0,622.0,12.977238
17,0.0,43.0,12.984356
17,0.0,41.0,12.984631
17,0.0,1258.0,12.984742
17,0.0,1258.0,12.984862
17,0.0,1258.0,12.984949
17,0.0,1258.0,12.985056
17,0.0,41.0,12.986738
17,0.0,41.0,12.986972
17,0.0,1258.0,12.998186
17,0.0,41.0,12.999347
17,0.0,1258.0,13.003964
17,0.0,1258.0,13.004111
17,0.0,1258.0,13.004259
17,0.0,41.0,13.004971
17,0.0,1258.0,13.009772
17,0.0,41.0,13.010513
17,0.0,41.0,13.011415
17,0.0,1258.0,13.018421
17,0.0,1258.0,13.037516
17,0.0,1258.0,13.037669
17,0.0,41.0,13.045539
17,0.0,1258.0,13.053653
17,0.0,1258.0,13.05383
17,0.0,41.0,13.054727
17,0.0,1258.0,13.059507
17,0.0,1258.0,13.059666
17,0.0,41.0,13.061317
17,0.0,41.0,13.064393
17,0.0,1258.0,13.077597
17,0.0,41.0,13.079978
17,0.0,1258.0,13.083879
17,0.0,1258.0,13.084063
17,0.0,1258.0,13.097974
17,0.0,1258.0,13.098367
17,0.0,41.0,13.101367
17,0.0,1258.0,13.103205
17,0.0,1258.0,13.103355
17,0.0,1258.0,13.103512
17,0.0,1258.0,13.10359
17,0.0,41.0,13.106653
17,0.0,41.0,13.107739
17,0.0,1258.0,13.108761
17,0.0,1258.0,13.108907
17,0.0,41.0,13.109906
17,0.0,41.0,13.115143
17,0.0,1258.0,13.117093
17,0.0,41.0,13.143591
17,0.0,1258.0,13.15649
17,0.0,1258.0,13.156583
17,0.0,1258.0,13.156621
17,0.0,1258.0,13.157003
