protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.22714
6,0.0,0.0,0.246488
17,0.0,1258.0,0.249208
6,0.0,0.0,0.250897
6,0.0,0.0,0.284892
6,0.0,0.0,0.28501
6,512.0,0.0,0.285651
6,5.0,0.0,0.285872
6,0.0,0.0,0.286241
17,0.0,1258.0,0.299905
6,0.0,0.0,0.30003
17,0.0,1258.0,0.300093
6,0.0,0.0,0.301203
6,512.0,0.0,0.30213
6,5.0,0.0,0.302353
6,0.0,0.0,0.302749
17,0.0,1258.0,0.303615
17,0.0,1258.0,0.303678
17,0.0,1258.0,0.319928
17,0.0,1258.0,0.320007
17,0.0,49.0,0.320367
17,0.0,1258.0,0.340014
17,0.0,1258.0,0.340093
17,0.0,49.0,0.340425
17,0.0,1258.0,0.364803
17,0.0,226.0,0.364885
17,0.0,49.0,0.375386
17,0.0,1258.0,0.379929
17,0.0,524.0,0.379988
17,0.0,49.0,0.381183
6,4852.0,0.0,0.386159
6,4910.0,0.0,0.386393
6,0.0,0.0,0.386507
6,0.0,0.0,0.386518
17,0.0,91.0,0.414396
17,0.0,79.0,0.414472
6,74.0,0.0,0.414503
6,0.0,0.0,0.414549
17,0.0,41.0,0.415379
17,0.0,166.0,0.415433
17,0.0,91.0,0.428516
17,0.0,75.0,0.429203
6,74.0,0.0,0.430578
6,0.0,0.0,0.430673
17,0.0,41.0,0.431225
17,0.0,174.0,0.432147
17,0.0,942.0,0.470915
6,950.0,0.0,0.470998
17,0.0,129.0,0.471037
17,0.0,245.0,0.471053
17,0.0,33.0,0.471067
17,0.0,41.0,0.47294
17,0.0,43.0,0.473028
17,0.0,966.0,0.476158
6,974.0,0.0,0.476215
6,0.0,0.0,0.476262
17,0.0,129.0,0.476269
17,0.0,41.0,0.478335
17,0.0,245.0,0.482076
17,0.0,33.0,0.48213
17,0.0,43.0,0.483126
17,0.0,41.0,0.498543
6,0.0,0.0,0.506374
17,0.0,41.0,0.507912
17,0.0,33.0,0.555825
17,0.0,33.0,0.555874
17,0.0,641.0,0.680891
17,0.0,1254.0,0.681035
17,0.0,1258.0,0.681083
17,0.0,1258.0,0.681106
17,0.0,1081.0,0.681125
17,0.0,35.0,0.741331
17,0.0,41.0,0.768299
17,0.0,33.0,0.779874
17,0.0,33.0,0.801664
17,0.0,130.0,0.959595
17,0.0,1254.0,0.959991
17,0.0,1258.0,0.960046
17,0.0,1258.0,0.960085
17,0.0,980.0,0.960114
17,0.0,35.0,1.020215
17,0.0,41.0,1.058412
17,0.0,33.0,1.061149
17,0.0,33.0,1.080192
17,0.0,1254.0,1.140303
17,0.0,838.0,1.140359
17,0.0,114.0,1.140376
17,0.0,43.0,1.142073
17,0.0,41.0,1.14222
17,0.0,33.0,1.205231
17,0.0,1258.0,1.236933
17,0.0,1258.0,1.300034
17,0.0,1258.0,1.302416
17,0.0,1258.0,1.339991
17,0.0,1258.0,1.34014
17,0.0,49.0,1.340361
17,0.0,1258.0,1.360977
17,0.0,819.0,1.361035
17,0.0,49.0,1.361587
17,0.0,91.0,1.367995
17,0.0,79.0,1.368048
17,0.0,231.0,1.368069
17,0.0,35.0,1.421039
17,0.0,947.0,1.421095
17,0.0,129.0,1.421114
17,0.0,41.0,1.421557
17,0.0,41.0,1.421604
17,0.0,41.0,1.421628
17,0.0,223.0,1.462529
17,0.0,33.0,1.462594
17,0.0,43.0,1.463536
17,0.0,41.0,1.488992
17,0.0,33.0,1.540824
17,0.0,1254.0,1.764968
17,0.0,1258.0,1.765418
17,0.0,43.0,1.766587
17,0.0,1258.0,1.780022
17,0.0,1258.0,1.78015
17,0.0,1258.0,1.780219
17,0.0,1258.0,1.780283
17,0.0,1258.0,1.780347
17,0.0,1258.0,1.780412
17,0.0,1258.0,1.780477
17,0.0,1258.0,1.780542
17,0.0,41.0,1.780614
17,0.0,41.0,1.780809
17,0.0,1258.0,1.780901
17,0.0,1258.0,1.780972
17,0.0,41.0,1.781042
17,0.0,1258.0,1.781123
17,0.0,41.0,1.781195
17,0.0,1258.0,1.781275
