protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,0.966057
6,0.0,0.0,2.966188
6,0.0,0.0,3.85141
6,0.0,0.0,3.883905
6,0.0,0.0,3.88414
6,768.0,0.0,3.899082
6,15.0,0.0,3.899409
6,0.0,0.0,3.899792
6,384.0,0.0,3.966961
6,0.0,0.0,3.967775
6,74.0,0.0,3.996474
6,0.0,0.0,3.996656
6,98.0,0.0,4.000137
6,724.0,0.0,4.000152
6,126.0,0.0,4.000157
6,3969.0,0.0,4.000162
6,3734.0,0.0,4.000177
6,0.0,0.0,4.000324
6,974.0,0.0,4.031785
6,101.0,0.0,4.032345
6,0.0,0.0,4.032467
6,31.0,0.0,4.033275
6,3296.0,0.0,4.033289
6,0.0,0.0,4.033396
6,31.0,0.0,4.048286
6,0.0,0.0,4.084537
6,579.0,0.0,4.099422
6,0.0,0.0,4.099564
6,39.0,0.0,4.099578
6,0.0,0.0,4.099605
6,39.0,0.0,4.103342
6,0.0,0.0,4.103442
6,72.0,0.0,4.107428
6,194.0,0.0,4.107555
6,0.0,0.0,4.111342
6,266.0,0.0,4.119794
17,0.0,1258.0,4.130746
17,0.0,83.0,4.134512
6,110.0,0.0,4.14522
6,0.0,0.0,4.145345
6,102.0,0.0,4.146541
6,0.0,0.0,4.146581
6,3302.0,0.0,4.146946
6,0.0,0.0,4.14707
6,3374.0,0.0,4.147702
6,0.0,0.0,4.147827
17,0.0,1258.0,4.198784
17,0.0,1258.0,4.205778
17,0.0,804.0,4.205877
17,0.0,194.0,4.205899
17,0.0,87.0,4.207248
17,0.0,41.0,4.208834
17,0.0,33.0,4.212076
17,0.0,41.0,4.23395
6,266.0,0.0,4.234604
17,0.0,128.0,4.234678
6,39.0,0.0,4.240711
6,0.0,0.0,4.241216
6,39.0,0.0,4.241224
6,0.0,0.0,4.241289
17,0.0,41.0,4.261577
6,266.0,0.0,4.268895
17,0.0,774.0,4.281166
17,0.0,1254.0,4.281312
17,0.0,1258.0,4.281372
17,0.0,1258.0,4.281423
17,0.0,87.0,4.281471
17,0.0,131.0,4.281516
17,0.0,1254.0,4.281563
17,0.0,1258.0,4.281611
17,0.0,869.0,4.281659
6,0.0,0.0,4.304275
17,0.0,37.0,4.336386
17,0.0,33.0,4.355049
17,0.0,37.0,4.355177
17,0.0,33.0,4.35522
17,0.0,41.0,4.356092
17,0.0,1254.0,4.645409
17,0.0,1258.0,4.645614
17,0.0,43.0,4.648655
17,0.0,1258.0,4.64888
17,0.0,1258.0,4.64913
17,0.0,1258.0,4.649182
17,0.0,1258.0,4.649222
17,0.0,1258.0,4.64926
17,0.0,1258.0,4.649299
17,0.0,1258.0,4.649337
17,0.0,444.0,4.649376
17,0.0,41.0,4.65271
17,0.0,41.0,4.652949
17,0.0,41.0,4.652999
17,0.0,41.0,4.653044
17,0.0,264.0,4.656464
17,0.0,41.0,4.657854
17,0.0,33.0,4.698405
17,0.0,1258.0,4.747428
6,0.0,0.0,4.752276
17,0.0,81.0,4.757192
6,0.0,0.0,4.786004
6,0.0,0.0,4.786387
6,768.0,0.0,4.786911
6,21.0,0.0,4.787053
6,0.0,0.0,4.787226
17,0.0,1258.0,4.799473
17,0.0,1258.0,4.811889
17,0.0,791.0,4.812066
17,0.0,213.0,4.812126
17,0.0,87.0,4.813404
17,0.0,41.0,4.813583
17,0.0,258.0,4.814252
17,0.0,135.0,4.815609
17,0.0,142.0,4.815755
17,0.0,33.0,4.817647
17,0.0,128.0,4.850641
6,387.0,0.0,4.856724
6,0.0,0.0,4.857202
6,74.0,0.0,4.858581
6,0.0,0.0,4.858672
17,0.0,37.0,4.862664
17,0.0,37.0,4.862785
17,0.0,33.0,4.862838
17,0.0,33.0,4.862885
17,0.0,41.0,4.863143
17,0.0,41.0,4.86359
6,980.0,0.0,4.883867
17,0.0,990.0,4.898277
17,0.0,715.0,4.898513
17,0.0,33.0,4.898576
17,0.0,716.0,4.898624
17,0.0,33.0,4.898668
17,0.0,33.0,4.898711
17,0.0,43.0,4.89947
17,0.0,43.0,4.900356
17,0.0,43.0,4.901325
17,0.0,41.0,4.901906
17,0.0,43.0,4.907028
17,0.0,43.0,4.927294
6,0.0,0.0,4.927386
17,0.0,43.0,4.937252
17,0.0,1258.0,4.947965
17,0.0,1258.0,4.952332
17,0.0,1258.0,4.956872
17,0.0,83.0,4.959649
17,0.0,334.0,4.959705
17,0.0,86.0,4.959724
17,0.0,334.0,4.95974
17,0.0,85.0,4.959764
17,0.0,334.0,4.959779
17,0.0,33.0,4.959797
17,0.0,33.0,4.970265
17,0.0,1258.0,4.990437
17,0.0,1258.0,4.990636
17,0.0,1258.0,4.99067
17,0.0,1258.0,4.990703
17,0.0,402.0,4.990722
17,0.0,49.0,4.992944
17,0.0,49.0,4.993062
17,0.0,458.0,4.993096
17,0.0,124.0,5.019872
17,0.0,35.0,5.020004
17,0.0,41.0,5.021131
17,0.0,41.0,5.021262
17,0.0,538.0,5.024576
17,0.0,215.0,5.02471
17,0.0,1258.0,5.024747
17,0.0,1258.0,5.024916
17,0.0,1258.0,5.024953
17,0.0,1258.0,5.024991
17,0.0,41.0,5.028219
17,0.0,43.0,5.028366
17,0.0,49.0,5.0284
17,0.0,49.0,5.02843
17,0.0,390.0,5.038849
17,0.0,1258.0,5.038962
17,0.0,461.0,5.041919
17,0.0,1258.0,5.043981
17,0.0,1258.0,5.045177
17,0.0,1258.0,5.045288
17,0.0,1258.0,5.045315
17,0.0,49.0,5.046833
17,0.0,49.0,5.04814
17,0.0,392.0,5.055163
17,0.0,462.0,5.05692
17,0.0,1254.0,5.074811
17,0.0,124.0,5.074902
17,0.0,478.0,5.074938
17,0.0,35.0,5.074958
17,0.0,262.0,5.07497
17,0.0,215.0,5.074978
17,0.0,41.0,5.076265
17,0.0,41.0,5.076369
17,0.0,45.0,5.076391
17,0.0,43.0,5.081825
17,0.0,41.0,5.084027
17,0.0,538.0,5.086612
17,0.0,41.0,5.087142
17,0.0,33.0,5.093047
17,0.0,124.0,5.128285
17,0.0,36.0,5.128446
17,0.0,215.0,5.128471
17,0.0,538.0,5.128486
17,0.0,41.0,5.129544
17,0.0,41.0,5.12965
17,0.0,45.0,5.129676
17,0.0,41.0,5.129694
17,0.0,1258.0,5.138948
17,0.0,1254.0,5.14605
17,0.0,41.0,5.146686
17,0.0,41.0,5.165054
17,0.0,33.0,5.166666
17,0.0,33.0,5.167178
17,0.0,33.0,5.20142
6,0.0,0.0,6.966119
17,0.0,174.0,9.572286
17,0.0,1254.0,9.573838
17,0.0,1258.0,9.574174
17,0.0,1258.0,9.574316
17,0.0,87.0,9.574382
17,0.0,120.0,9.588419
17,0.0,1254.0,9.588496
17,0.0,1258.0,9.58852
17,0.0,869.0,9.588537
17,0.0,35.0,9.602637
17,0.0,33.0,9.614426
17,0.0,33.0,9.620726
17,0.0,33.0,9.620868
17,0.0,41.0,9.622537
17,0.0,33.0,9.640859
17,0.0,135.0,9.770608
17,0.0,1254.0,9.770689
17,0.0,1258.0,9.770709
17,0.0,875.0,9.770723
17,0.0,1254.0,9.77074
17,0.0,1258.0,9.770792
17,0.0,43.0,9.772181
17,0.0,1258.0,9.776816
17,0.0,157.0,9.776956
17,0.0,182.0,9.777012
17,0.0,41.0,9.77818
17,0.0,41.0,9.778402
17,0.0,126.0,9.782308
17,0.0,1254.0,9.782464
17,0.0,1258.0,9.782529
17,0.0,947.0,9.782582
17,0.0,35.0,9.802431
17,0.0,33.0,9.818659
17,0.0,41.0,9.828618
17,0.0,33.0,9.831016
17,0.0,35.0,9.831148
17,0.0,33.0,9.831198
17,0.0,80.0,9.846114
17,0.0,1254.0,9.846189
17,0.0,1258.0,9.846209
17,0.0,991.0,9.846224
17,0.0,1254.0,9.870827
17,0.0,1258.0,9.871194
17,0.0,43.0,9.87364
17,0.0,1258.0,9.876639
17,0.0,1258.0,9.876805
17,0.0,683.0,9.876855
17,0.0,194.0,9.876897
17,0.0,41.0,9.880161
17,0.0,41.0,9.880273
17,0.0,1254.0,9.882541
17,0.0,1089.0,9.882687
17,0.0,235.0,9.88274
17,0.0,43.0,9.88439
17,0.0,41.0,9.884499
17,0.0,35.0,9.890262
17,0.0,33.0,9.902483
17,0.0,33.0,9.909184
17,0.0,41.0,9.917099
17,0.0,33.0,9.948093
17,0.0,1254.0,10.30889
17,0.0,511.0,10.309098
17,0.0,132.0,10.309184
17,0.0,43.0,10.312238
17,0.0,41.0,10.312414
17,0.0,1258.0,10.335343
17,0.0,88.0,10.348394
17,0.0,1254.0,10.348518
17,0.0,488.0,10.348642
17,0.0,635.0,10.349296
17,0.0,33.0,10.365585
17,0.0,1258.0,10.432286
17,0.0,798.0,10.432642
17,0.0,180.0,10.432729
17,0.0,1258.0,10.437091
17,0.0,81.0,10.437295
17,0.0,41.0,10.437351
17,0.0,33.0,10.44468
17,0.0,33.0,10.445281
17,0.0,323.0,10.445433
17,0.0,33.0,10.44549
17,0.0,41.0,10.450294
17,0.0,43.0,10.45056
17,0.0,41.0,10.47517
17,0.0,126.0,10.505151
17,0.0,33.0,10.517035
17,0.0,45.0,10.517175
17,0.0,33.0,10.517224
17,0.0,43.0,10.51925
17,0.0,41.0,10.544621
17,0.0,33.0,10.610893
17,0.0,1254.0,10.759475
17,0.0,43.0,10.763986
17,0.0,1258.0,10.765202
17,0.0,1258.0,10.765358
17,0.0,1258.0,10.765409
17,0.0,1258.0,10.765456
17,0.0,41.0,10.76957
17,0.0,1258.0,10.770641
17,0.0,1258.0,10.770795
17,0.0,1258.0,10.770846
17,0.0,1258.0,10.770887
17,0.0,1258.0,10.770928
17,0.0,1258.0,10.770971
17,0.0,1258.0,10.771245
17,0.0,827.0,10.771291
17,0.0,1253.0,10.771334
17,0.0,1258.0,10.771377
17,0.0,41.0,10.772929
17,0.0,41.0,10.77366
17,0.0,41.0,10.774312
17,0.0,41.0,10.774774
17,0.0,41.0,10.775189
17,0.0,41.0,10.776588
17,0.0,1258.0,10.776952
17,0.0,1258.0,10.777049
17,0.0,1258.0,10.777093
17,0.0,1258.0,10.777136
17,0.0,1258.0,10.777178
17,0.0,1258.0,10.77722
17,0.0,1258.0,10.777342
17,0.0,1258.0,10.777387
17,0.0,41.0,10.778135
17,0.0,41.0,10.779841
17,0.0,41.0,10.780564
17,0.0,41.0,10.781004
17,0.0,1258.0,10.782496
17,0.0,1258.0,10.799156
17,0.0,41.0,10.800867
17,0.0,1258.0,10.811342
17,0.0,1258.0,10.812003
17,0.0,41.0,10.812816
17,0.0,1258.0,10.816857
17,0.0,1258.0,10.82259
17,0.0,1258.0,10.822717
17,0.0,1258.0,10.822781
17,0.0,1258.0,10.822838
17,0.0,1258.0,10.822895
17,0.0,41.0,10.82313
17,0.0,41.0,10.823559
17,0.0,41.0,10.82392
17,0.0,1258.0,10.829569
17,0.0,1258.0,10.829943
17,0.0,1258.0,10.830015
17,0.0,1258.0,10.830078
17,0.0,1258.0,10.830138
17,0.0,1258.0,10.830204
17,0.0,1258.0,10.830266
17,0.0,1258.0,10.830328
17,0.0,1258.0,10.830388
17,0.0,41.0,10.83046
17,0.0,1258.0,10.830645
17,0.0,41.0,10.830715
17,0.0,41.0,10.830801
17,0.0,1258.0,10.830875
17,0.0,45.0,10.830943
17,0.0,1258.0,10.831021
17,0.0,1258.0,10.83109
17,0.0,1258.0,10.834991
17,0.0,1258.0,10.835241
17,0.0,1258.0,10.835317
17,0.0,1258.0,10.835382
17,0.0,1258.0,10.835444
17,0.0,1258.0,10.835507
17,0.0,1028.0,10.83557
17,0.0,381.0,10.835636
17,0.0,853.0,10.835701
17,0.0,41.0,10.836654
17,0.0,281.0,10.84211
17,0.0,33.0,10.842305
17,0.0,41.0,10.846514
17,0.0,34.0,10.878295
17,0.0,1258.0,11.045967
17,0.0,88.0,11.05916
17,0.0,260.0,11.05938
17,0.0,93.0,11.059584
17,0.0,1258.0,11.066363
17,0.0,1258.0,11.080719
17,0.0,81.0,11.090719
17,0.0,461.0,11.090769
17,0.0,804.0,11.09079
17,0.0,88.0,11.091375
17,0.0,229.0,11.096838
17,0.0,1258.0,11.128071
17,0.0,180.0,11.134631
17,0.0,33.0,11.13474
17,0.0,1258.0,11.134767
17,0.0,121.0,11.136038
17,0.0,794.0,11.141378
17,0.0,1254.0,11.1415
17,0.0,1258.0,11.14153
17,0.0,1258.0,11.141549
17,0.0,1258.0,11.141573
17,0.0,1258.0,11.14159
17,0.0,1258.0,11.141604
17,0.0,1258.0,11.141623
17,0.0,1258.0,11.141639
17,0.0,1258.0,11.141652
17,0.0,1258.0,11.14167
17,0.0,41.0,11.143892
17,0.0,43.0,11.144033
17,0.0,41.0,11.144188
17,0.0,41.0,11.14463
17,0.0,41.0,11.144687
17,0.0,41.0,11.144722
17,0.0,1258.0,11.146347
17,0.0,1258.0,11.146483
17,0.0,1258.0,11.146521
17,0.0,1258.0,11.146541
17,0.0,1258.0,11.146557
17,0.0,1258.0,11.146575
17,0.0,1258.0,11.146591
17,0.0,1258.0,11.146608
17,0.0,1258.0,11.146623
17,0.0,1258.0,11.146642
17,0.0,41.0,11.147702
17,0.0,41.0,11.147794
17,0.0,41.0,11.147825
17,0.0,41.0,11.147848
17,0.0,41.0,11.147868
17,0.0,1258.0,11.155682
17,0.0,1258.0,11.15584
17,0.0,1258.0,11.155883
17,0.0,41.0,11.156938
17,0.0,41.0,11.157062
17,0.0,1258.0,11.161931
17,0.0,1258.0,11.162069
17,0.0,1258.0,11.162101
17,0.0,1258.0,11.162125
17,0.0,1258.0,11.162145
17,0.0,1258.0,11.162175
17,0.0,1258.0,11.162199
17,0.0,1258.0,11.162217
17,0.0,1258.0,11.162238
17,0.0,1258.0,11.162258
17,0.0,1258.0,11.162276
17,0.0,1258.0,11.162297
17,0.0,1258.0,11.162316
17,0.0,41.0,11.163823
17,0.0,41.0,11.163946
17,0.0,41.0,11.16399
17,0.0,41.0,11.164019
17,0.0,41.0,11.164045
17,0.0,41.0,11.164491
17,0.0,1258.0,11.168557
17,0.0,41.0,11.169634
17,0.0,1258.0,11.195847
17,0.0,43.0,11.198878
17,0.0,1258.0,11.203178
17,0.0,1258.0,11.203521
17,0.0,1258.0,11.203712
17,0.0,1258.0,11.203831
17,0.0,41.0,11.205162
17,0.0,41.0,11.205516
17,0.0,1258.0,11.205742
17,0.0,1258.0,11.20603
17,0.0,1258.0,11.206184
17,0.0,41.0,11.207402
17,0.0,1258.0,11.208921
17,0.0,1258.0,11.209256
17,0.0,1258.0,11.209323
17,0.0,1258.0,11.209376
17,0.0,1258.0,11.209436
17,0.0,1258.0,11.209489
17,0.0,1258.0,11.209538
17,0.0,1258.0,11.209596
17,0.0,1258.0,11.209645
17,0.0,1258.0,11.2097
17,0.0,41.0,11.209783
17,0.0,41.0,11.211379
17,0.0,41.0,11.211544
17,0.0,41.0,11.211598
17,0.0,41.0,11.211643
17,0.0,1258.0,11.214546
17,0.0,1258.0,11.214725
17,0.0,1258.0,11.214787
17,0.0,1258.0,11.214855
17,0.0,1258.0,11.214907
17,0.0,1258.0,11.214953
17,0.0,1258.0,11.215
17,0.0,1000.0,11.215059
17,0.0,41.0,11.217593
17,0.0,41.0,11.217813
17,0.0,41.0,11.217869
17,0.0,41.0,11.217917
17,0.0,1258.0,11.220176
17,0.0,1258.0,11.220305
17,0.0,41.0,11.220964
17,0.0,1258.0,11.221227
17,0.0,1258.0,11.22148
17,0.0,1258.0,11.221551
17,0.0,1258.0,11.221622
17,0.0,1258.0,11.221676
17,0.0,1258.0,11.221725
17,0.0,1258.0,11.221796
