protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
17,0.0,60.0,0.048907
17,0.0,58.0,0.051804
17,0.0,58.0,0.054245
6,0.0,0.0,0.989872
17,0.0,1258.0,2.376786
17,0.0,86.0,2.378657
6,0.0,0.0,2.382018
6,0.0,0.0,2.480878
6,0.0,0.0,2.481219
17,0.0,1258.0,2.486343
17,0.0,88.0,2.488812
6,783.0,0.0,2.488886
6,0.0,0.0,2.490891
17,0.0,1258.0,2.491769
6,0.0,0.0,2.491932
17,0.0,1258.0,2.54464
17,0.0,87.0,2.549531
17,0.0,722.0,2.552044
17,0.0,1254.0,2.552187
17,0.0,1258.0,2.552575
17,0.0,1258.0,2.552777
17,0.0,459.0,2.55291
17,0.0,804.0,2.558837
6,0.0,0.0,2.559029
6,0.0,0.0,2.559361
17,0.0,194.0,2.559409
17,0.0,33.0,2.559516
6,759.0,0.0,2.560731
17,0.0,41.0,2.560864
6,0.0,0.0,2.561015
17,0.0,1258.0,2.57228
17,0.0,128.0,2.616585
17,0.0,37.0,2.636609
6,384.0,0.0,2.637113
17,0.0,41.0,2.637342
6,0.0,0.0,2.637389
6,74.0,0.0,2.638065
6,0.0,0.0,2.638131
17,0.0,33.0,2.743913
17,0.0,1258.0,2.744302
17,0.0,33.0,2.744819
17,0.0,803.0,2.744925
17,0.0,171.0,2.744997
17,0.0,33.0,2.745049
17,0.0,1258.0,2.746677
17,0.0,81.0,2.746766
17,0.0,41.0,2.746792
17,0.0,195.0,2.746814
17,0.0,1258.0,2.826705
17,0.0,1258.0,2.843722
17,0.0,41.0,2.84421
17,0.0,33.0,2.937617
17,0.0,263.0,2.938497
6,974.0,0.0,2.98224
17,0.0,33.0,2.986778
17,0.0,37.0,3.001744
17,0.0,129.0,3.001888
17,0.0,1254.0,3.001969
17,0.0,1258.0,3.002038
17,0.0,1258.0,3.002104
17,0.0,41.0,3.0022
17,0.0,41.0,3.00236
17,0.0,1258.0,3.002462
17,0.0,43.0,3.002549
17,0.0,41.0,3.002647
17,0.0,1258.0,3.002742
17,0.0,41.0,3.00363
6,0.0,0.0,3.00432
17,0.0,33.0,3.008508
17,0.0,1258.0,3.008654
17,0.0,35.0,3.012665
17,0.0,1258.0,3.016799
17,0.0,41.0,3.017293
6,0.0,0.0,3.020521
17,0.0,1258.0,3.02617
17,0.0,1254.0,3.027867
17,0.0,1127.0,3.028023
17,0.0,258.0,3.028101
17,0.0,43.0,3.029913
17,0.0,41.0,3.030007
17,0.0,1258.0,3.033848
17,0.0,41.0,3.034355
17,0.0,1258.0,3.041962
17,0.0,33.0,3.043424
17,0.0,1258.0,3.051404
17,0.0,41.0,3.051841
17,0.0,1258.0,3.067562
17,0.0,1258.0,3.067675
17,0.0,41.0,3.068105
17,0.0,1258.0,3.069949
17,0.0,1258.0,3.072456
17,0.0,41.0,3.073185
6,372.0,0.0,3.073839
6,0.0,0.0,3.074921
6,74.0,0.0,3.074984
17,0.0,1258.0,3.075001
6,0.0,0.0,3.075458
17,0.0,33.0,3.08871
17,0.0,1258.0,3.088848
17,0.0,1258.0,3.088947
17,0.0,1258.0,3.089041
17,0.0,1258.0,3.089104
17,0.0,1258.0,3.089166
17,0.0,41.0,3.089244
17,0.0,41.0,3.0897
17,0.0,41.0,3.089843
17,0.0,1258.0,3.089951
17,0.0,1258.0,3.098829
17,0.0,1258.0,3.099052
17,0.0,41.0,3.099578
17,0.0,1258.0,3.103878
17,0.0,41.0,3.104663
17,0.0,1258.0,3.108602
17,0.0,1258.0,3.109872
17,0.0,1258.0,3.110016
17,0.0,41.0,3.110427
17,0.0,1258.0,3.114486
17,0.0,41.0,3.115175
17,0.0,1258.0,3.128849
17,0.0,1258.0,3.138943
17,0.0,1258.0,3.139184
17,0.0,41.0,3.140546
17,0.0,1258.0,3.142832
17,0.0,41.0,3.143626
17,0.0,1258.0,3.149745
17,0.0,1258.0,3.154514
17,0.0,41.0,3.155113
17,0.0,1258.0,3.158004
17,0.0,1258.0,3.159528
17,0.0,41.0,3.160425
17,0.0,1258.0,3.161712
17,0.0,1258.0,3.164518
17,0.0,41.0,3.165013
17,0.0,1258.0,3.166379
17,0.0,1258.0,3.178399
17,0.0,1258.0,3.17856
17,0.0,119.0,3.178654
17,0.0,44.0,3.179546
17,0.0,41.0,3.179913
6,950.0,0.0,3.182984
17,0.0,1258.0,3.18687
17,0.0,88.0,3.187597
17,0.0,1191.0,3.187623
17,0.0,1258.0,3.196955
17,0.0,85.0,3.197946
17,0.0,300.0,3.197977
6,0.0,0.0,3.220499
17,0.0,33.0,3.243959
17,0.0,1258.0,3.272959
17,0.0,1258.0,3.328418
17,0.0,1258.0,3.355856
17,0.0,1258.0,3.357896
17,0.0,81.0,3.359592
17,0.0,792.0,3.35977
17,0.0,180.0,3.359963
17,0.0,190.0,3.360022
17,0.0,33.0,3.360049
17,0.0,33.0,3.360082
17,0.0,1258.0,3.360104
17,0.0,33.0,3.360136
17,0.0,798.0,3.360157
17,0.0,1254.0,3.360188
17,0.0,1258.0,3.360221
17,0.0,1258.0,3.360366
17,0.0,1258.0,3.360401
17,0.0,41.0,3.361479
17,0.0,41.0,3.361593
