protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.084238
17,0.0,81.0,0.088859
6,0.0,0.0,0.091264
6,0.0,0.0,0.158078
6,0.0,0.0,0.158793
6,512.0,0.0,0.164172
6,271.0,0.0,0.164731
6,0.0,0.0,0.165352
17,0.0,1258.0,0.180086
17,0.0,1258.0,0.213753
17,0.0,803.0,0.214498
17,0.0,87.0,0.214984
17,0.0,195.0,0.215277
17,0.0,750.0,0.215386
17,0.0,1254.0,0.215508
17,0.0,1258.0,0.21558
17,0.0,1258.0,0.215639
17,0.0,564.0,0.215708
17,0.0,42.0,0.215765
17,0.0,33.0,0.215964
17,0.0,128.0,0.273982
6,384.0,0.0,0.293929
6,0.0,0.0,0.294905
6,74.0,0.0,0.296492
6,0.0,0.0,0.296859
17,0.0,37.0,0.297807
17,0.0,33.0,0.298058
17,0.0,33.0,0.298186
17,0.0,41.0,0.299334
17,0.0,34.0,0.328752
17,0.0,1254.0,0.383655
6,974.0,0.0,0.384019
6,0.0,0.0,0.38717
17,0.0,43.0,0.387188
17,0.0,1109.0,0.387444
17,0.0,177.0,0.387607
17,0.0,41.0,0.390723
17,0.0,33.0,0.457701
17,0.0,1258.0,1.224436
17,0.0,86.0,1.227009
6,0.0,0.0,1.228811
6,0.0,0.0,1.232513
6,0.0,0.0,1.236143
6,0.0,0.0,1.299966
6,0.0,0.0,1.300569
6,512.0,0.0,1.301644
6,277.0,0.0,1.301853
6,0.0,0.0,1.302221
6,0.0,0.0,1.324431
6,0.0,0.0,1.32548
6,512.0,0.0,1.326977
6,277.0,0.0,1.327407
6,0.0,0.0,1.329482
6,0.0,0.0,1.329895
6,0.0,0.0,1.330717
6,512.0,0.0,1.332316
6,5.0,0.0,1.332707
6,0.0,0.0,1.333376
17,0.0,1258.0,1.351399
17,0.0,1258.0,1.388723
17,0.0,792.0,1.389225
17,0.0,212.0,1.389346
17,0.0,33.0,1.389476
17,0.0,1258.0,1.393749
17,0.0,41.0,1.393981
17,0.0,257.0,1.394052
17,0.0,142.0,1.394099
17,0.0,135.0,1.394139
6,387.0,0.0,1.451179
6,0.0,0.0,1.452589
6,74.0,0.0,1.455032
6,0.0,0.0,1.455504
6,1368.0,0.0,1.461908
6,0.0,0.0,1.462696
6,1368.0,0.0,1.46715
6,0.0,0.0,1.467478
6,4179.0,0.0,1.46766
6,0.0,0.0,1.467904
6,387.0,0.0,1.468436
6,0.0,0.0,1.46893
6,74.0,0.0,1.470297
6,0.0,0.0,1.471158
6,74.0,0.0,1.471565
6,0.0,0.0,1.471764
17,0.0,128.0,1.476034
17,0.0,37.0,1.476188
17,0.0,33.0,1.476219
17,0.0,41.0,1.477349
17,0.0,38.0,1.487825
17,0.0,41.0,1.514062
6,980.0,0.0,1.530889
6,0.0,0.0,1.531514
6,980.0,0.0,1.531612
6,0.0,0.0,1.531868
6,980.0,0.0,1.534143
6,0.0,0.0,1.53428
17,0.0,1010.0,1.535526
17,0.0,43.0,1.537578
17,0.0,41.0,1.538804
17,0.0,43.0,1.538868
17,0.0,1258.0,1.544912
17,0.0,86.0,1.546018
17,0.0,343.0,1.546062
17,0.0,734.0,1.546084
17,0.0,765.0,1.546168
17,0.0,33.0,1.546204
17,0.0,33.0,1.546217
17,0.0,33.0,1.546228
17,0.0,43.0,1.546648
17,0.0,43.0,1.546736
17,0.0,41.0,1.546758
17,0.0,49.0,1.547979
17,0.0,43.0,1.551449
17,0.0,1258.0,1.556616
17,0.0,85.0,1.557687
17,0.0,1258.0,1.558745
17,0.0,86.0,1.559691
17,0.0,340.0,1.559734
17,0.0,351.0,1.559755
17,0.0,33.0,1.614543
17,0.0,33.0,1.619869
17,0.0,33.0,1.620517
17,0.0,1258.0,1.644599
17,0.0,1258.0,1.645905
17,0.0,1258.0,1.646478
17,0.0,1258.0,1.647571
17,0.0,1258.0,1.648058
17,0.0,49.0,1.648681
17,0.0,387.0,1.648826
17,0.0,1258.0,1.649452
17,0.0,1258.0,1.649692
17,0.0,1258.0,1.649724
17,0.0,1258.0,1.649738
17,0.0,470.0,1.650718
17,0.0,395.0,1.651639
17,0.0,1258.0,1.652508
17,0.0,49.0,1.653264
17,0.0,467.0,1.654901
17,0.0,1258.0,1.663817
17,0.0,1258.0,1.665708
17,0.0,1258.0,1.665839
17,0.0,1258.0,1.665911
17,0.0,1258.0,1.665993
17,0.0,49.0,1.666198
17,0.0,49.0,1.667505
17,0.0,396.0,1.667664
17,0.0,477.0,1.668439
17,0.0,538.0,1.767972
17,0.0,124.0,1.768216
17,0.0,35.0,1.768331
17,0.0,41.0,1.769465
17,0.0,215.0,1.769799
17,0.0,43.0,1.770994
17,0.0,538.0,1.771468
17,0.0,124.0,1.771659
17,0.0,35.0,1.771736
17,0.0,215.0,1.771893
17,0.0,41.0,1.771957
17,0.0,43.0,1.772466
17,0.0,538.0,1.783925
17,0.0,124.0,1.784144
17,0.0,41.0,1.784697
17,0.0,35.0,1.785318
17,0.0,215.0,1.787047
17,0.0,43.0,1.788418
17,0.0,33.0,1.878928
17,0.0,33.0,1.885724
17,0.0,33.0,1.889862
17,0.0,1258.0,1.936689
17,0.0,87.0,1.939099
17,0.0,936.0,1.939319
17,0.0,1254.0,1.939522
17,0.0,305.0,1.939626
17,0.0,1258.0,2.029187
17,0.0,1258.0,2.030091
17,0.0,1258.0,2.030332
17,0.0,1258.0,2.031754
17,0.0,403.0,2.031971
17,0.0,1258.0,2.037542
17,0.0,49.0,2.037971
17,0.0,97.0,2.039381
17,0.0,1258.0,2.041666
17,0.0,1223.0,2.04223
17,0.0,538.0,2.127692
17,0.0,124.0,2.129607
17,0.0,42.0,2.130753
17,0.0,35.0,2.131398
17,0.0,1258.0,2.134843
17,0.0,81.0,2.135762
17,0.0,1254.0,2.13582
17,0.0,1258.0,2.135858
17,0.0,1258.0,2.135879
17,0.0,258.0,2.135896
17,0.0,58.0,2.135912
17,0.0,366.0,2.138684
17,0.0,1254.0,2.138774
17,0.0,43.0,2.13954
17,0.0,1258.0,2.143748
17,0.0,41.0,2.144219
17,0.0,1258.0,2.147907
17,0.0,1258.0,2.149583
17,0.0,41.0,2.150099
17,0.0,1258.0,2.151589
17,0.0,1258.0,2.153679
17,0.0,41.0,2.15429
17,0.0,1258.0,2.155842
17,0.0,1258.0,2.159504
17,0.0,41.0,2.160105
17,0.0,1258.0,2.173156
17,0.0,1258.0,2.173484
17,0.0,1258.0,2.173643
17,0.0,1258.0,2.173735
17,0.0,41.0,2.174396
17,0.0,41.0,2.174731
17,0.0,1258.0,2.175677
17,0.0,1258.0,2.175923
17,0.0,41.0,2.176762
17,0.0,1258.0,2.177611
17,0.0,1258.0,2.179472
17,0.0,41.0,2.180136
17,0.0,1258.0,2.181921
17,0.0,1258.0,2.183785
17,0.0,41.0,2.184399
17,0.0,1258.0,2.188197
17,0.0,1258.0,2.190187
17,0.0,41.0,2.190838
17,0.0,1258.0,2.193295
17,0.0,1258.0,2.195535
17,0.0,41.0,2.196336
17,0.0,1258.0,2.197777
17,0.0,1258.0,2.20282
17,0.0,41.0,2.203672
17,0.0,1258.0,2.205778
17,0.0,1258.0,2.206193
17,0.0,41.0,2.206807
17,0.0,1258.0,2.207908
17,0.0,1258.0,2.211412
17,0.0,41.0,2.211958
17,0.0,1258.0,2.213861
17,0.0,1258.0,2.214024
17,0.0,41.0,2.214429
17,0.0,1258.0,2.218003
17,0.0,1258.0,2.222921
17,0.0,1258.0,2.223453
17,0.0,41.0,2.224366
17,0.0,1258.0,2.228387
17,0.0,41.0,2.229353
17,0.0,1258.0,2.229657
17,0.0,1258.0,2.231409
17,0.0,41.0,2.231883
17,0.0,1258.0,2.237465
17,0.0,1258.0,2.237589
17,0.0,41.0,2.237947
17,0.0,1258.0,2.243751
17,0.0,1258.0,2.243925
17,0.0,44.0,2.244399
17,0.0,1258.0,2.249639
17,0.0,1258.0,2.249813
17,0.0,41.0,2.251236
17,0.0,1258.0,2.255904
17,0.0,1258.0,2.25602
17,0.0,1258.0,2.256235
17,0.0,799.0,2.256271
17,0.0,1258.0,2.256325
17,0.0,179.0,2.256357
17,0.0,33.0,2.256404
17,0.0,86.0,2.257204
17,0.0,41.0,2.25734
17,0.0,41.0,2.257369
17,0.0,1258.0,2.261649
17,0.0,35.0,2.261763
17,0.0,1258.0,2.261865
17,0.0,41.0,2.262302
17,0.0,41.0,2.263645
17,0.0,1258.0,2.267621
17,0.0,323.0,2.267728
17,0.0,33.0,2.267829
17,0.0,41.0,2.26821
17,0.0,43.0,2.269498
17,0.0,1258.0,2.27369
17,0.0,1258.0,2.273862
17,0.0,1258.0,2.273941
17,0.0,1258.0,2.273999
17,0.0,1258.0,2.274065
17,0.0,41.0,2.275589
17,0.0,41.0,2.27576
17,0.0,1258.0,2.280033
17,0.0,1258.0,2.28021
17,0.0,1258.0,2.280278
17,0.0,41.0,2.281911
17,0.0,41.0,2.28209
17,0.0,1258.0,2.293695
17,0.0,41.0,2.295371
17,0.0,1258.0,2.297853
17,0.0,1258.0,2.298222
17,0.0,1258.0,2.298324
17,0.0,1258.0,2.298353
17,0.0,41.0,2.299095
17,0.0,41.0,2.299622
17,0.0,1258.0,2.303852
17,0.0,1258.0,2.303992
17,0.0,1258.0,2.304043
17,0.0,1258.0,2.304094
17,0.0,41.0,2.304515
17,0.0,41.0,2.304615
17,0.0,1258.0,2.310217
17,0.0,1258.0,2.310361
17,0.0,41.0,2.310774
17,0.0,1258.0,2.315527
17,0.0,1258.0,2.315663
17,0.0,41.0,2.317222
17,0.0,1258.0,2.322347
17,0.0,1258.0,2.322517
17,0.0,1258.0,2.322589
17,0.0,1258.0,2.322657
17,0.0,41.0,2.32364
17,0.0,41.0,2.323813
17,0.0,1258.0,2.327853
17,0.0,1258.0,2.328009
17,0.0,1258.0,2.32807
17,0.0,1258.0,2.328124
17,0.0,1258.0,2.328177
17,0.0,41.0,2.328235
17,0.0,41.0,2.328413
17,0.0,1258.0,2.328506
17,0.0,41.0,2.328572
17,0.0,1258.0,2.333889
17,0.0,1258.0,2.334039
17,0.0,1258.0,2.3341
17,0.0,1258.0,2.334146
17,0.0,1258.0,2.334195
17,0.0,1258.0,2.334248
17,0.0,45.0,2.335294
17,0.0,41.0,2.335478
17,0.0,41.0,2.335522
17,0.0,1258.0,2.339589
17,0.0,1258.0,2.339784
17,0.0,1258.0,2.339843
17,0.0,1258.0,2.339889
17,0.0,1258.0,2.339937
17,0.0,1258.0,2.339983
17,0.0,1258.0,2.340029
17,0.0,1258.0,2.340081
17,0.0,41.0,2.341602
17,0.0,41.0,2.341776
17,0.0,41.0,2.341813
17,0.0,41.0,2.341835
17,0.0,1258.0,2.346139
17,0.0,1258.0,2.346316
17,0.0,1258.0,2.346375
17,0.0,1258.0,2.346423
17,0.0,1258.0,2.346469
17,0.0,1258.0,2.346514
17,0.0,1258.0,2.346567
