protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.435088
6,0.0,0.0,0.439974
17,0.0,1258.0,0.461964
6,0.0,0.0,0.464853
17,0.0,1258.0,0.46624
6,0.0,0.0,0.466458
6,0.0,0.0,0.466777
6,517.0,0.0,0.468381
17,0.0,1258.0,0.468518
6,0.0,0.0,0.468621
6,0.0,0.0,0.48889
6,0.0,0.0,0.489178
6,517.0,0.0,0.490037
6,0.0,0.0,0.490249
17,0.0,1258.0,0.498786
17,0.0,1258.0,0.501096
17,0.0,1258.0,0.531828
17,0.0,1258.0,0.532794
17,0.0,1258.0,0.532905
17,0.0,231.0,0.532953
17,0.0,49.0,0.53333
17,0.0,49.0,0.549509
17,0.0,49.0,0.550446
17,0.0,1258.0,0.559881
17,0.0,1258.0,0.560022
17,0.0,1258.0,0.560077
17,0.0,49.0,0.560711
17,0.0,521.0,0.560808
17,0.0,49.0,0.561946
6,1288.0,0.0,0.567878
6,0.0,0.0,0.568234
6,3563.0,0.0,0.568273
6,0.0,0.0,0.56837
17,0.0,49.0,0.572782
17,0.0,49.0,0.578818
17,0.0,91.0,0.597842
17,0.0,74.0,0.597947
6,3864.0,0.0,0.598072
6,0.0,0.0,0.598496
6,1046.0,0.0,0.598867
6,0.0,0.0,0.598994
6,74.0,0.0,0.599612
6,0.0,0.0,0.59972
17,0.0,91.0,0.600548
17,0.0,79.0,0.600828
6,74.0,0.0,0.60214
6,0.0,0.0,0.602308
17,0.0,49.0,0.602841
17,0.0,41.0,0.602941
17,0.0,41.0,0.603505
17,0.0,175.0,0.606241
17,0.0,167.0,0.60715
17,0.0,966.0,0.621964
17,0.0,129.0,0.622119
17,0.0,41.0,0.622616
17,0.0,41.0,0.622969
6,974.0,0.0,0.630872
17,0.0,942.0,0.631802
17,0.0,41.0,0.632521
17,0.0,129.0,0.632768
6,950.0,0.0,0.632865
17,0.0,41.0,0.633661
17,0.0,244.0,0.633774
17,0.0,33.0,0.633829
17,0.0,45.0,0.6344
17,0.0,41.0,0.634488
17,0.0,244.0,0.638662
17,0.0,33.0,0.638855
17,0.0,45.0,0.639834
17,0.0,41.0,0.640097
6,0.0,0.0,0.673804
6,0.0,0.0,0.673832
17,0.0,33.0,0.692774
17,0.0,33.0,0.692875
17,0.0,604.0,1.151752
17,0.0,1254.0,1.155071
17,0.0,1258.0,1.156107
17,0.0,1258.0,1.15662
17,0.0,591.0,1.156711
6,0.0,0.0,1.195823
17,0.0,35.0,1.20277
17,0.0,33.0,1.207792
17,0.0,33.0,1.21176
6,0.0,0.0,1.212929
6,0.0,0.0,1.213263
6,517.0,0.0,1.214274
6,0.0,0.0,1.214777
17,0.0,41.0,1.22943
6,1288.0,0.0,1.312916
6,0.0,0.0,1.313562
6,5626.0,0.0,1.323001
6,0.0,0.0,1.323192
6,74.0,0.0,1.35204
6,0.0,0.0,1.352264
6,98.0,0.0,1.352954
6,0.0,0.0,1.353013
6,884.0,0.0,1.359294
6,0.0,0.0,1.359361
6,978.0,0.0,1.383867
6,31.0,0.0,1.384776
6,0.0,0.0,1.384951
6,31.0,0.0,1.389079
17,0.0,1258.0,1.403943
6,0.0,0.0,1.430377
17,0.0,1258.0,1.437009
17,0.0,1258.0,1.438697
6,493.0,0.0,1.495836
6,0.0,0.0,1.496038
6,1288.0,0.0,1.496085
6,0.0,0.0,1.49621
6,1288.0,0.0,1.496985
6,0.0,0.0,1.497225
6,854.0,0.0,1.497964
6,0.0,0.0,1.498113
6,39.0,0.0,1.500378
6,0.0,0.0,1.500557
17,0.0,1258.0,1.504249
17,0.0,1258.0,1.504408
17,0.0,49.0,1.505152
17,0.0,1258.0,1.506005
17,0.0,858.0,1.506131
17,0.0,130.0,1.50719
17,0.0,49.0,1.50875
17,0.0,1254.0,1.5091
17,0.0,1258.0,1.509195
17,0.0,1258.0,1.509253
17,0.0,477.0,1.509488
17,0.0,49.0,1.515177
17,0.0,91.0,1.519317
17,0.0,80.0,1.519376
17,0.0,945.0,1.519394
17,0.0,35.0,1.544225
17,0.0,33.0,1.544355
17,0.0,1258.0,1.544408
17,0.0,33.0,1.544466
17,0.0,128.0,1.544502
