protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,2.012857
17,0.0,1258.0,2.768237
17,0.0,83.0,2.770033
6,0.0,0.0,2.770889
17,0.0,1258.0,2.856556
6,0.0,0.0,2.862733
17,0.0,86.0,2.877984
6,0.0,0.0,2.90061
6,0.0,0.0,2.900745
6,768.0,0.0,2.901556
6,15.0,0.0,2.90174
6,0.0,0.0,2.902071
17,0.0,1258.0,2.911871
17,0.0,1258.0,2.91362
17,0.0,1258.0,2.943409
17,0.0,49.0,2.945183
17,0.0,1258.0,2.948353
17,0.0,49.0,2.950311
17,0.0,1258.0,2.954774
17,0.0,49.0,2.956261
17,0.0,1258.0,2.966434
6,0.0,0.0,2.966558
6,0.0,0.0,2.966644
6,768.0,0.0,2.96747
6,19.0,0.0,2.967554
6,0.0,0.0,2.967669
17,0.0,1258.0,2.968752
17,0.0,1258.0,3.0268
17,0.0,49.0,3.029808
17,0.0,257.0,3.033162
17,0.0,1258.0,3.033217
17,0.0,1258.0,3.033246
17,0.0,170.0,3.035922
17,0.0,49.0,3.035999
17,0.0,717.0,3.036033
17,0.0,127.0,3.036056
17,0.0,1254.0,3.036077
17,0.0,1258.0,3.036098
17,0.0,1258.0,3.036125
17,0.0,381.0,3.036141
17,0.0,1254.0,3.036155
17,0.0,1258.0,3.036168
17,0.0,1258.0,3.036184
17,0.0,569.0,3.036198
6,1288.0,0.0,3.038917
6,0.0,0.0,3.039151
6,3565.0,0.0,3.044937
6,0.0,0.0,3.045035
6,74.0,0.0,3.046289
6,0.0,0.0,3.046405
17,0.0,876.0,3.065662
17,0.0,173.0,3.067654
17,0.0,828.0,3.067791
6,1288.0,0.0,3.118092
6,0.0,0.0,3.11838
6,1288.0,0.0,3.122203
6,0.0,0.0,3.122307
6,2576.0,0.0,3.128333
6,0.0,0.0,3.12844
6,1762.0,0.0,3.128458
6,0.0,0.0,3.128519
6,74.0,0.0,3.129232
6,0.0,0.0,3.129282
17,0.0,966.0,3.134166
17,0.0,129.0,3.134272
17,0.0,42.0,3.134682
17,0.0,35.0,3.140118
17,0.0,971.0,3.140195
17,0.0,35.0,3.140238
17,0.0,129.0,3.140259
17,0.0,33.0,3.140276
17,0.0,41.0,3.140797
17,0.0,42.0,3.140847
17,0.0,33.0,3.144437
17,0.0,33.0,3.15278
17,0.0,33.0,3.159316
6,974.0,0.0,3.159413
17,0.0,35.0,3.159468
17,0.0,41.0,3.185486
6,0.0,0.0,3.196713
6,978.0,0.0,3.207548
17,0.0,1254.0,3.243746
17,0.0,43.0,3.244934
6,0.0,0.0,3.244993
17,0.0,1066.0,3.247997
17,0.0,220.0,3.248118
17,0.0,41.0,3.248739
17,0.0,1254.0,3.265771
17,0.0,43.0,3.267964
17,0.0,1258.0,3.285836
17,0.0,757.0,3.290084
17,0.0,141.0,3.29016
17,0.0,41.0,3.291425
17,0.0,41.0,3.318001
17,0.0,33.0,3.355993
17,0.0,1254.0,3.374998
17,0.0,43.0,3.376579
17,0.0,1258.0,3.380424
17,0.0,1258.0,3.380528
17,0.0,41.0,3.380782
17,0.0,1258.0,3.38654
17,0.0,1258.0,3.394696
17,0.0,41.0,3.395334
17,0.0,1258.0,3.400238
17,0.0,1258.0,3.406249
17,0.0,41.0,3.406716
17,0.0,1258.0,3.412195
17,0.0,1258.0,3.418176
17,0.0,41.0,3.418987
17,0.0,1258.0,3.422127
17,0.0,1258.0,3.427789
17,0.0,1258.0,3.427828
17,0.0,41.0,3.428206
17,0.0,1258.0,3.432396
17,0.0,41.0,3.433072
17,0.0,1258.0,3.437789
17,0.0,1258.0,3.438037
17,0.0,41.0,3.438802
17,0.0,1258.0,3.442122
17,0.0,1258.0,3.448591
17,0.0,1258.0,3.448988
17,0.0,41.0,3.449983
17,0.0,1258.0,3.454008
17,0.0,1258.0,3.454082
17,0.0,41.0,3.454807
17,0.0,1258.0,3.46051
17,0.0,41.0,3.461253
17,0.0,1258.0,3.519812
17,0.0,1258.0,3.524108
17,0.0,41.0,3.524752
17,0.0,1258.0,3.530044
17,0.0,1258.0,3.530162
17,0.0,41.0,3.530733
17,0.0,1258.0,3.536117
17,0.0,1258.0,3.544683
17,0.0,41.0,3.545524
17,0.0,1258.0,3.55012
17,0.0,1258.0,3.556234
17,0.0,1258.0,3.556332
17,0.0,1258.0,3.556373
17,0.0,41.0,3.557434
17,0.0,41.0,3.557493
17,0.0,1258.0,3.562138
17,0.0,1258.0,3.562274
17,0.0,41.0,3.563274
17,0.0,1258.0,3.572845
17,0.0,44.0,3.577335
17,0.0,1258.0,3.578103
17,0.0,1258.0,3.584079
17,0.0,41.0,3.584982
17,0.0,1258.0,3.593754
17,0.0,1258.0,3.602844
17,0.0,41.0,3.603545
17,0.0,1258.0,3.608158
17,0.0,1258.0,3.60822
17,0.0,41.0,3.608615
17,0.0,1258.0,3.614076
17,0.0,414.0,3.620277
17,0.0,41.0,3.620752
17,0.0,33.0,3.680362
17,0.0,1258.0,4.202162
17,0.0,84.0,4.203736
17,0.0,267.0,4.203763
17,0.0,143.0,4.203781
17,0.0,144.0,4.203873
17,0.0,1258.0,4.324369
17,0.0,1258.0,4.334651
17,0.0,1258.0,4.33794
17,0.0,81.0,4.338116
17,0.0,802.0,4.340826
17,0.0,202.0,4.341011
17,0.0,33.0,4.341132
17,0.0,41.0,4.341809
17,0.0,537.0,4.362286
17,0.0,41.0,4.362933
17,0.0,34.0,4.366909
17,0.0,41.0,4.392874
17,0.0,126.0,4.428767
17,0.0,1258.0,4.440676
17,0.0,619.0,4.440801
17,0.0,45.0,4.442222
17,0.0,43.0,4.442793
17,0.0,43.0,4.444752
17,0.0,43.0,4.450345
17,0.0,43.0,4.450399
17,0.0,1258.0,4.523244
17,0.0,33.0,4.528786
17,0.0,1258.0,4.530258
17,0.0,33.0,4.557809
17,0.0,1258.0,4.581822
17,0.0,1258.0,4.584026
17,0.0,1258.0,4.586436
17,0.0,49.0,4.587886
17,0.0,1258.0,4.592177
17,0.0,1258.0,4.592252
17,0.0,390.0,4.59228
17,0.0,49.0,4.592783
17,0.0,49.0,4.594584
17,0.0,91.0,4.596815
17,0.0,80.0,4.597114
17,0.0,335.0,4.597583
17,0.0,204.0,4.597857
17,0.0,1258.0,4.626884
17,0.0,1258.0,4.629892
17,0.0,1258.0,4.632287
17,0.0,49.0,4.634352
17,0.0,1258.0,4.638248
17,0.0,49.0,4.639706
17,0.0,1258.0,4.644259
17,0.0,123.0,4.644316
17,0.0,404.0,4.644346
17,0.0,49.0,4.648198
17,0.0,41.0,4.648433
17,0.0,91.0,4.65692
17,0.0,77.0,4.656961
17,0.0,1258.0,4.657897
17,0.0,334.0,4.66271
17,0.0,83.0,4.662741
17,0.0,866.0,4.662759
17,0.0,1258.0,4.662781
17,0.0,35.0,4.662863
17,0.0,33.0,4.662884
17,0.0,231.0,4.662895
17,0.0,41.0,4.663734
17,0.0,44.0,4.66378
17,0.0,33.0,4.741198
17,0.0,124.0,4.747722
17,0.0,538.0,4.747786
17,0.0,41.0,4.748306
17,0.0,41.0,4.748363
17,0.0,35.0,4.757461
17,0.0,215.0,4.762852
17,0.0,1258.0,4.762906
17,0.0,43.0,4.764149
17,0.0,1258.0,4.765305
17,0.0,1258.0,4.791096
17,0.0,49.0,4.792757
17,0.0,1258.0,4.796095
17,0.0,1258.0,4.796177
17,0.0,873.0,4.796198
17,0.0,49.0,4.796842
17,0.0,991.0,4.797694
17,0.0,33.0,4.875684
17,0.0,129.0,4.917373
17,0.0,35.0,4.917469
17,0.0,951.0,4.917492
17,0.0,42.0,4.917974
17,0.0,41.0,4.91803
17,0.0,41.0,4.918047
17,0.0,323.0,4.925718
17,0.0,43.0,4.926443
17,0.0,33.0,4.930581
17,0.0,41.0,4.956452
17,0.0,33.0,5.054991
17,0.0,1258.0,5.899368
17,0.0,88.0,5.901402
17,0.0,1089.0,5.901437
17,0.0,1258.0,5.90146
17,0.0,1258.0,5.901475
17,0.0,901.0,5.901489
17,0.0,59.0,5.901502
17,0.0,1258.0,6.110903
17,0.0,791.0,6.111471
17,0.0,187.0,6.111636
17,0.0,35.0,6.111782
17,0.0,329.0,6.111922
17,0.0,33.0,6.112059
17,0.0,33.0,6.112196
17,0.0,35.0,6.112333
17,0.0,74.0,6.112472
17,0.0,33.0,6.112785
17,0.0,1258.0,6.117886
17,0.0,81.0,6.118214
17,0.0,41.0,6.118271
17,0.0,41.0,6.118302
17,0.0,43.0,6.118328
17,0.0,41.0,6.118354
17,0.0,43.0,6.118381
6,0.0,0.0,6.141231
17,0.0,41.0,6.141805
17,0.0,136.0,6.253177
17,0.0,41.0,6.280063
17,0.0,673.0,6.339314
17,0.0,1254.0,6.339398
