protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,2.009718
17,0.0,1258.0,4.4258
17,0.0,87.0,4.428541
6,0.0,0.0,4.429892
6,0.0,0.0,4.534552
6,0.0,0.0,4.53466
6,768.0,0.0,4.535107
6,15.0,0.0,4.535203
6,0.0,0.0,4.535469
17,0.0,1258.0,4.546877
17,0.0,1258.0,4.555623
17,0.0,86.0,4.558021
17,0.0,720.0,4.558108
17,0.0,1254.0,4.558143
17,0.0,1258.0,4.558161
17,0.0,1258.0,4.558177
17,0.0,514.0,4.558196
17,0.0,794.0,4.563156
17,0.0,204.0,4.571986
17,0.0,41.0,4.573139
17,0.0,33.0,4.577569
6,384.0,0.0,4.62889
6,0.0,0.0,4.629187
6,74.0,0.0,4.62965
6,0.0,0.0,4.629706
17,0.0,128.0,4.654551
17,0.0,37.0,4.654646
17,0.0,41.0,4.655
17,0.0,33.0,4.659595
17,0.0,33.0,4.693642
17,0.0,33.0,4.69751
6,974.0,0.0,4.712749
17,0.0,1254.0,4.729472
17,0.0,43.0,4.73033
17,0.0,1102.0,4.734546
17,0.0,132.0,4.734627
17,0.0,41.0,4.735384
6,0.0,0.0,4.749109
17,0.0,33.0,4.844243
17,0.0,1258.0,5.044625
17,0.0,87.0,5.046563
17,0.0,956.0,5.046591
17,0.0,820.0,5.046608
17,0.0,1254.0,5.046622
17,0.0,398.0,5.046635
17,0.0,1254.0,5.046651
17,0.0,396.0,5.046663
17,0.0,1258.0,5.110324
17,0.0,86.0,5.112486
17,0.0,1254.0,5.112515
17,0.0,1258.0,5.112545
17,0.0,1258.0,5.112564
17,0.0,238.0,5.112584
17,0.0,58.0,5.112622
17,0.0,1258.0,5.129658
17,0.0,1258.0,5.131646
17,0.0,1258.0,5.133473
17,0.0,49.0,5.134898
17,0.0,1258.0,5.140255
17,0.0,1258.0,5.140361
17,0.0,394.0,5.140396
17,0.0,49.0,5.141347
17,0.0,97.0,5.142886
17,0.0,1258.0,5.142959
17,0.0,1258.0,5.14299
17,0.0,1258.0,5.143069
17,0.0,1224.0,5.143144
17,0.0,538.0,5.229309
17,0.0,124.0,5.233553
17,0.0,42.0,5.233871
17,0.0,36.0,5.25257
17,0.0,36.0,5.252642
17,0.0,360.0,5.252665
17,0.0,41.0,5.253609
17,0.0,43.0,5.253689
17,0.0,1254.0,5.257696
17,0.0,1258.0,5.265118
17,0.0,787.0,5.265197
17,0.0,1258.0,5.265226
17,0.0,191.0,5.265299
17,0.0,86.0,5.266091
17,0.0,41.0,5.26615
17,0.0,41.0,5.266169
17,0.0,1258.0,5.269676
17,0.0,1258.0,5.269749
17,0.0,33.0,5.269784
17,0.0,41.0,5.270221
17,0.0,1258.0,5.275594
17,0.0,1258.0,5.275646
17,0.0,43.0,5.276149
17,0.0,1258.0,5.281726
17,0.0,1258.0,5.281848
17,0.0,33.0,5.281879
17,0.0,41.0,5.282121
17,0.0,1258.0,5.287648
17,0.0,41.0,5.28799
17,0.0,41.0,5.291389
17,0.0,1258.0,5.298522
17,0.0,35.0,5.301634
17,0.0,1258.0,5.30175
17,0.0,323.0,5.301779
17,0.0,1258.0,5.301801
17,0.0,33.0,5.301815
17,0.0,1258.0,5.301832
17,0.0,43.0,5.303288
17,0.0,41.0,5.303366
17,0.0,41.0,5.30339
17,0.0,1258.0,5.307682
17,0.0,1258.0,5.307771
17,0.0,41.0,5.308232
17,0.0,41.0,5.327861
17,0.0,1258.0,5.332556
17,0.0,1258.0,5.337586
17,0.0,1258.0,5.337753
17,0.0,41.0,5.33823
17,0.0,1258.0,5.34356
17,0.0,1258.0,5.343678
17,0.0,1258.0,5.343711
17,0.0,41.0,5.344144
17,0.0,41.0,5.344206
17,0.0,1258.0,5.353564
17,0.0,1258.0,5.359593
17,0.0,1258.0,5.359704
17,0.0,1258.0,5.359744
17,0.0,1258.0,5.359786
17,0.0,41.0,5.360219
17,0.0,41.0,5.362014
17,0.0,1258.0,5.365662
17,0.0,1258.0,5.36575
17,0.0,41.0,5.366091
17,0.0,1258.0,5.371038
17,0.0,1258.0,5.371264
17,0.0,41.0,5.371971
17,0.0,1258.0,5.376567
17,0.0,1258.0,5.376772
17,0.0,41.0,5.377257
17,0.0,1258.0,5.382708
17,0.0,1258.0,5.382884
17,0.0,41.0,5.3843
17,0.0,1258.0,5.386106
17,0.0,1258.0,5.38641
17,0.0,41.0,5.387375
17,0.0,1258.0,5.399378
17,0.0,41.0,5.400039
17,0.0,1258.0,5.403624
17,0.0,1258.0,5.413747
17,0.0,41.0,5.414644
17,0.0,1258.0,5.415678
17,0.0,1258.0,5.415911
17,0.0,41.0,5.416581
17,0.0,1258.0,5.419956
17,0.0,1258.0,5.427149
17,0.0,1258.0,5.427512
17,0.0,41.0,5.427634
17,0.0,1258.0,5.437846
17,0.0,44.0,5.438756
17,0.0,1258.0,5.443926
17,0.0,1258.0,5.445928
17,0.0,1258.0,5.446096
17,0.0,41.0,5.446566
17,0.0,1258.0,5.451688
17,0.0,1258.0,5.451823
17,0.0,41.0,5.452469
