protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.50274
6,0.0,0.0,0.506178
17,0.0,1258.0,0.560201
17,0.0,1258.0,0.56381
17,0.0,1258.0,0.56607
6,0.0,0.0,0.566757
6,0.0,0.0,0.568185
6,0.0,0.0,0.568282
6,512.0,0.0,0.569165
6,5.0,0.0,0.569257
6,0.0,0.0,0.569336
17,0.0,49.0,0.689273
6,0.0,0.0,0.750702
6,0.0,0.0,0.792146
6,0.0,0.0,0.814076
17,0.0,49.0,0.820756
17,0.0,1258.0,0.861513
17,0.0,49.0,1.070905
17,0.0,1258.0,1.298533
17,0.0,49.0,1.300866
17,0.0,1258.0,1.305755
6,4852.0,0.0,1.305929
17,0.0,1258.0,1.306196
6,0.0,0.0,1.306286
6,0.0,0.0,1.306416
6,0.0,0.0,1.306516
6,0.0,0.0,1.30653
6,0.0,0.0,1.306544
17,0.0,1258.0,1.306561
17,0.0,1258.0,1.306596
6,0.0,0.0,1.306632
6,0.0,0.0,1.306703
17,0.0,230.0,1.306716
17,0.0,1258.0,1.306742
17,0.0,1258.0,1.306781
17,0.0,1258.0,1.306805
17,0.0,116.0,1.306831
17,0.0,658.0,1.306851
17,0.0,1258.0,1.306878
17,0.0,117.0,1.306909
17,0.0,1258.0,1.306936
17,0.0,239.0,1.306965
17,0.0,1258.0,1.314214
17,0.0,49.0,1.314348
17,0.0,49.0,1.314404
17,0.0,49.0,1.315314
6,512.0,0.0,1.327853
6,5.0,0.0,1.328001
6,0.0,0.0,1.328153
6,512.0,0.0,1.33604
6,5.0,0.0,1.336148
6,0.0,0.0,1.336257
17,0.0,49.0,1.336535
17,0.0,49.0,1.33799
17,0.0,49.0,1.338204
6,512.0,0.0,1.34825
6,5.0,0.0,1.348409
6,0.0,0.0,1.348618
17,0.0,51.0,1.34962
17,0.0,51.0,1.34971
17,0.0,1258.0,1.349765
17,0.0,53.0,1.349822
17,0.0,53.0,1.350343
17,0.0,51.0,1.350434
17,0.0,91.0,1.389413
17,0.0,78.0,1.390391
17,0.0,41.0,1.39088
17,0.0,169.0,1.392319
6,74.0,0.0,1.40187
6,0.0,0.0,1.402014
17,0.0,91.0,1.403938
17,0.0,80.0,1.404044
17,0.0,46.0,1.405323
17,0.0,177.0,1.405493
17,0.0,630.0,1.406194
6,98.0,0.0,1.406324
6,0.0,0.0,1.406406
17,0.0,1254.0,1.406968
17,0.0,1258.0,1.40706
17,0.0,1258.0,1.407115
17,0.0,691.0,1.407154
6,1388.0,0.0,1.518892
6,0.0,0.0,1.519748
6,1005.0,0.0,1.932926
17,0.0,942.0,1.933289
6,3522.0,0.0,1.933367
6,4852.0,0.0,1.933465
6,0.0,0.0,1.933896
6,0.0,0.0,1.933911
6,0.0,0.0,1.933922
17,0.0,966.0,1.933942
17,0.0,130.0,1.934
17,0.0,149.0,1.934046
17,0.0,33.0,1.934073
17,0.0,33.0,1.934104
17,0.0,239.0,1.934127
17,0.0,34.0,1.934164
17,0.0,244.0,1.934195
17,0.0,33.0,1.934223
17,0.0,33.0,1.93425
17,0.0,42.0,1.937406
17,0.0,41.0,1.937578
17,0.0,46.0,1.93974
6,74.0,0.0,1.941519
6,0.0,0.0,1.941654
6,74.0,0.0,1.94301
6,0.0,0.0,1.943137
17,0.0,46.0,1.944262
17,0.0,41.0,1.944731
17,0.0,43.0,1.946205
6,31.0,0.0,1.946313
6,0.0,0.0,1.946394
6,4164.0,0.0,2.077595
6,0.0,0.0,2.077864
6,746.0,0.0,2.077889
6,0.0,0.0,2.077963
6,74.0,0.0,2.079693
6,0.0,0.0,2.079764
17,0.0,1254.0,2.38597
17,0.0,1258.0,2.386154
17,0.0,1258.0,2.386202
17,0.0,1258.0,2.386231
17,0.0,1258.0,2.386253
17,0.0,43.0,2.386771
17,0.0,41.0,2.387049
17,0.0,41.0,2.387903
17,0.0,1258.0,2.571917
17,0.0,33.0,2.578228
6,950.0,0.0,2.578394
6,974.0,0.0,2.578434
6,950.0,0.0,2.578463
17,0.0,1258.0,2.578495
17,0.0,1258.0,2.578518
17,0.0,1258.0,2.578533
17,0.0,1258.0,2.578549
17,0.0,33.0,2.578564
17,0.0,1254.0,2.578579
17,0.0,33.0,2.578593
17,0.0,41.0,2.579506
17,0.0,41.0,2.579711
17,0.0,43.0,2.579953
6,0.0,0.0,2.617139
6,0.0,0.0,2.617155
6,0.0,0.0,2.617162
17,0.0,442.0,2.743407
17,0.0,43.0,2.744043
6,0.0,0.0,2.765445
17,0.0,145.0,2.966358
17,0.0,1254.0,2.966484
17,0.0,1258.0,2.966526
17,0.0,1258.0,2.966562
17,0.0,690.0,2.966595
17,0.0,35.0,3.043047
17,0.0,33.0,3.054506
17,0.0,33.0,3.059245
17,0.0,41.0,3.069497
17,0.0,1254.0,3.508374
17,0.0,1258.0,3.509044
17,0.0,1258.0,3.509096
17,0.0,1258.0,3.50912
17,0.0,1258.0,3.509135
17,0.0,1258.0,3.509147
17,0.0,1258.0,3.509159
17,0.0,1258.0,3.509172
17,0.0,44.0,3.510059
17,0.0,41.0,3.510585
17,0.0,41.0,3.510827
17,0.0,41.0,3.511112
17,0.0,41.0,3.537382
17,0.0,1258.0,3.571732
17,0.0,311.0,3.577465
17,0.0,279.0,3.577536
17,0.0,41.0,3.578157
17,0.0,33.0,3.583228
17,0.0,41.0,3.604723
