protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,1.020633
6,0.0,0.0,3.035333
6,0.0,0.0,7.164752
17,0.0,1258.0,8.271958
6,0.0,0.0,8.280966
17,0.0,1258.0,8.311078
6,0.0,0.0,8.316659
17,0.0,1258.0,8.425307
6,0.0,0.0,8.428641
17,0.0,1258.0,8.430812
6,0.0,0.0,8.449434
6,0.0,0.0,8.449572
6,512.0,0.0,8.450327
6,5.0,0.0,8.450434
6,0.0,0.0,8.450546
17,0.0,1258.0,8.536418
17,0.0,49.0,8.537906
17,0.0,1258.0,8.558436
17,0.0,49.0,8.559975
6,0.0,0.0,8.564275
17,0.0,49.0,8.570109
17,0.0,1258.0,8.611394
17,0.0,1258.0,8.62759
17,0.0,1258.0,8.62937
6,0.0,0.0,8.632999
6,0.0,0.0,8.633088
6,512.0,0.0,8.633503
6,5.0,0.0,8.63363
6,0.0,0.0,8.633688
6,0.0,0.0,8.63381
6,0.0,0.0,8.633845
6,512.0,0.0,8.63415
6,5.0,0.0,8.634215
6,0.0,0.0,8.634293
17,0.0,1258.0,8.754816
17,0.0,1258.0,8.755002
17,0.0,49.0,8.756339
17,0.0,1258.0,8.760212
17,0.0,232.0,8.7603
17,0.0,49.0,8.762107
6,0.0,0.0,8.796652
6,0.0,0.0,8.796766
6,512.0,0.0,8.797388
6,5.0,0.0,8.797476
6,0.0,0.0,8.797591
17,0.0,91.0,8.813008
17,0.0,73.0,8.81309
17,0.0,41.0,8.813128
17,0.0,735.0,8.813157
17,0.0,76.0,8.813186
17,0.0,1254.0,8.813207
17,0.0,1258.0,8.813225
17,0.0,1258.0,8.81324
17,0.0,715.0,8.813259
17,0.0,1258.0,8.817344
17,0.0,163.0,8.818504
17,0.0,115.0,8.822349
17,0.0,832.0,8.826078
6,0.0,0.0,8.828578
6,0.0,0.0,8.845202
6,1306.0,0.0,8.858009
6,0.0,0.0,8.858199
6,1306.0,0.0,8.861548
6,0.0,0.0,8.861633
6,1306.0,0.0,8.869898
6,0.0,0.0,8.869989
6,934.0,0.0,8.873306
17,0.0,1258.0,8.873391
6,0.0,0.0,8.873421
17,0.0,666.0,8.873427
6,74.0,0.0,8.874617
17,0.0,49.0,8.87463
17,0.0,49.0,8.874701
6,0.0,0.0,8.874756
17,0.0,91.0,8.8847
17,0.0,75.0,8.88479
17,0.0,175.0,8.884814
17,0.0,131.0,8.901659
17,0.0,1254.0,8.90181
17,0.0,1258.0,8.901855
17,0.0,1258.0,8.907232
17,0.0,629.0,8.907285
17,0.0,158.0,9.154234
6,1306.0,0.0,9.317723
6,0.0,0.0,9.319342
6,1306.0,0.0,9.347161
6,0.0,0.0,9.347466
6,2241.0,0.0,9.351707
6,0.0,0.0,9.352048
17,0.0,966.0,9.352092
17,0.0,130.0,9.352235
6,74.0,0.0,9.354561
17,0.0,41.0,9.354593
17,0.0,41.0,9.354748
6,0.0,0.0,9.354905
6,1306.0,0.0,9.376105
6,0.0,0.0,9.37676
17,0.0,33.0,9.381417
6,2612.0,0.0,9.381619
6,0.0,0.0,9.381825
6,992.0,0.0,9.381897
6,4910.0,0.0,9.382149
6,0.0,0.0,9.382609
6,0.0,0.0,9.382644
6,74.0,0.0,9.384908
6,74.0,0.0,9.384932
6,0.0,0.0,9.385068
6,0.0,0.0,9.3852
17,0.0,1254.0,9.482839
17,0.0,158.0,9.520302
17,0.0,1186.0,9.682126
17,0.0,268.0,9.684175
6,0.0,0.0,9.851691
