protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.027364
17,0.0,85.0,0.037495
6,0.0,0.0,0.046588
6,0.0,0.0,0.076257
6,0.0,0.0,0.077052
6,783.0,0.0,0.081951
6,0.0,0.0,0.08313
17,0.0,1258.0,0.097782
17,0.0,1258.0,0.198229
17,0.0,789.0,0.199231
17,0.0,209.0,0.19947
17,0.0,33.0,0.19967
17,0.0,1258.0,0.202461
17,0.0,81.0,0.202728
17,0.0,41.0,0.203731
17,0.0,752.0,0.207243
17,0.0,1254.0,0.20796
17,0.0,1258.0,0.208287
17,0.0,1258.0,0.208768
17,0.0,1006.0,0.208985
17,0.0,126.0,0.230969
17,0.0,37.0,0.250645
6,384.0,0.0,0.250976
6,0.0,0.0,0.251879
17,0.0,33.0,0.251929
17,0.0,42.0,0.25887
6,74.0,0.0,0.259339
6,0.0,0.0,0.259656
17,0.0,33.0,0.274143
6,974.0,0.0,0.290314
6,0.0,0.0,0.330029
17,0.0,1254.0,0.418338
17,0.0,1065.0,0.418663
17,0.0,230.0,0.418914
17,0.0,43.0,0.420568
17,0.0,41.0,0.421298
17,0.0,1258.0,0.464779
17,0.0,86.0,0.468206
17,0.0,267.0,0.468329
17,0.0,144.0,0.468401
17,0.0,143.0,0.468467
17,0.0,33.0,0.483085
17,0.0,1258.0,0.536393
17,0.0,1258.0,0.637592
17,0.0,790.0,0.639519
17,0.0,214.0,0.639812
17,0.0,33.0,0.64007
17,0.0,1258.0,0.641248
17,0.0,81.0,0.641572
17,0.0,41.0,0.642626
17,0.0,41.0,0.669393
17,0.0,134.0,0.669893
17,0.0,41.0,0.696472
17,0.0,1258.0,0.724603
17,0.0,88.0,0.727678
17,0.0,299.0,0.727802
17,0.0,1004.0,0.764442
17,0.0,729.0,0.767487
17,0.0,44.0,0.76791
17,0.0,730.0,0.768861
17,0.0,33.0,0.769187
17,0.0,33.0,0.769462
17,0.0,33.0,0.769977
17,0.0,43.0,0.771218
17,0.0,43.0,0.77219
17,0.0,41.0,0.773076
17,0.0,48.0,0.774284
17,0.0,1258.0,0.790607
