protocol,tcp_bytes,quic_bytes,real_time
17,0.0,1258.0,0.002187
17,0.0,85.0,0.003623
6,0.0,0.0,0.004413
6,0.0,0.0,0.016726
6,0.0,0.0,0.09579
6,0.0,0.0,0.095989
6,512.0,0.0,0.097359
6,271.0,0.0,0.097526
6,0.0,0.0,0.097698
6,0.0,0.0,0.106479
6,0.0,0.0,0.106657
6,512.0,0.0,0.107903
6,271.0,0.0,0.108043
6,0.0,0.0,0.108197
17,0.0,1258.0,0.271401
6,384.0,0.0,0.299649
6,0.0,0.0,0.300401
6,74.0,0.0,0.301962
6,0.0,0.0,0.302164
6,98.0,0.0,0.311004
6,0.0,0.0,0.311082
6,0.0,0.0,0.311313
6,291.0,0.0,0.312084
6,101.0,0.0,0.312103
6,1024.0,0.0,0.312114
6,1024.0,0.0,0.312124
6,1024.0,0.0,0.31219
6,1024.0,0.0,0.312204
6,15.0,0.0,0.312225
6,0.0,0.0,0.312539
6,1024.0,0.0,0.31278
6,1024.0,0.0,0.312795
6,1024.0,0.0,0.312826
6,1024.0,0.0,0.312837
6,79.0,0.0,0.312846
6,0.0,0.0,0.312883
6,384.0,0.0,0.315536
6,0.0,0.0,0.31603
6,0.0,0.0,0.316097
6,974.0,0.0,0.406172
6,31.0,0.0,0.407211
6,0.0,0.0,0.407238
6,31.0,0.0,0.415503
6,0.0,0.0,0.458883
6,3037.0,0.0,0.554912
6,0.0,0.0,0.555501
6,5607.0,0.0,0.563859
6,0.0,0.0,0.564199
6,39.0,0.0,0.567167
6,0.0,0.0,0.567551
6,73.0,0.0,0.614209
6,2373.0,0.0,0.626746
6,0.0,0.0,0.627221
6,0.0,0.0,0.810031
17,0.0,1258.0,0.813122
17,0.0,1258.0,1.873545
6,0.0,0.0,2.827123
17,0.0,1258.0,4.00562
17,0.0,1258.0,4.006093
6,105.0,0.0,6.45975
6,0.0,0.0,6.46023
6,1024.0,0.0,6.460368
6,1024.0,0.0,6.460386
6,1024.0,0.0,6.460397
6,1019.0,0.0,6.460408
6,0.0,0.0,6.460582
6,275.0,0.0,6.699023
6,35.0,0.0,6.700553
6,0.0,0.0,6.700777
6,39.0,0.0,6.710917
6,39.0,0.0,6.71132
6,0.0,0.0,6.711501
17,0.0,1258.0,6.873588
17,0.0,86.0,6.87649
6,107.0,0.0,6.877686
6,0.0,0.0,6.878023
6,1024.0,0.0,6.878165
6,1024.0,0.0,6.878183
6,1024.0,0.0,6.878197
6,1019.0,0.0,6.87821
6,0.0,0.0,6.878354
6,0.0,0.0,6.951157
6,71.0,0.0,7.085528
6,239.0,0.0,7.096355
6,0.0,0.0,7.096614
6,39.0,0.0,7.097414
6,0.0,0.0,7.097606
17,0.0,1258.0,7.171437
6,119.0,0.0,7.502682
6,1024.0,0.0,7.503203
6,1024.0,0.0,7.503244
6,1024.0,0.0,7.503265
6,1011.0,0.0,7.503286
6,0.0,0.0,7.503738
6,1421.0,0.0,7.710876
6,444.0,0.0,7.722572
6,0.0,0.0,7.722959
6,39.0,0.0,7.723417
6,0.0,0.0,7.723581
17,0.0,1258.0,7.772909
17,0.0,1258.0,7.888311
17,0.0,86.0,7.891048
17,0.0,1258.0,7.903777
17,0.0,85.0,7.905849
17,0.0,1258.0,7.9075
17,0.0,88.0,7.910249
6,0.0,0.0,7.912068
6,0.0,0.0,7.915998
6,0.0,0.0,7.919551
6,0.0,0.0,7.99311
6,0.0,0.0,7.993473
6,0.0,0.0,7.994309
6,0.0,0.0,7.994372
6,512.0,0.0,7.994407
6,5.0,0.0,7.994837
6,0.0,0.0,7.995287
6,512.0,0.0,7.995475
6,5.0,0.0,7.99571
6,0.0,0.0,7.996107
6,1348.0,0.0,8.085332
6,0.0,0.0,8.08596
6,5179.0,0.0,8.098011
6,0.0,0.0,8.098722
6,3831.0,0.0,8.09906
6,0.0,0.0,8.099296
6,0.0,0.0,8.099331
6,0.0,0.0,8.099376
6,64.0,0.0,8.100917
6,0.0,0.0,8.101234
6,512.0,0.0,8.101737
6,5.0,0.0,8.10219
6,0.0,0.0,8.102796
6,64.0,0.0,8.103021
6,0.0,0.0,8.103346
6,451.0,0.0,8.103788
6,0.0,0.0,8.104013
6,451.0,0.0,8.104194
6,0.0,0.0,8.104375
17,0.0,1258.0,8.153134
6,802.0,0.0,8.195919
17,0.0,1258.0,8.197105
6,802.0,0.0,8.206785
6,0.0,0.0,8.235896
6,0.0,0.0,8.247041
6,5179.0,0.0,8.287829
6,0.0,0.0,8.288742
6,64.0,0.0,8.293489
6,0.0,0.0,8.293885
6,451.0,0.0,8.296573
6,0.0,0.0,8.296952
17,0.0,1258.0,8.43182
6,802.0,0.0,8.473919
6,0.0,0.0,8.510881
6,0.0,0.0,8.519608
6,0.0,0.0,8.530426
6,0.0,0.0,8.602843
6,0.0,0.0,8.603431
6,512.0,0.0,8.604459
6,5.0,0.0,8.604923
6,0.0,0.0,8.60545
6,0.0,0.0,8.60789
6,0.0,0.0,8.608231
6,512.0,0.0,8.609172
6,5.0,0.0,8.609529
6,0.0,0.0,8.610009
6,0.0,0.0,8.668237
17,0.0,1258.0,8.685969
6,0.0,0.0,8.731965
6,0.0,0.0,8.754718
6,0.0,0.0,8.755233
6,512.0,0.0,8.755804
6,5.0,0.0,8.756189
6,0.0,0.0,8.756749
17,0.0,1258.0,8.791817
6,0.0,0.0,8.810882
6,0.0,0.0,8.811873
6,512.0,0.0,8.813162
6,5.0,0.0,8.813602
6,0.0,0.0,8.814234
17,0.0,1258.0,8.975743
6,0.0,0.0,8.991728
6,0.0,0.0,9.077234
6,0.0,0.0,9.078475
6,512.0,0.0,9.078825
6,5.0,0.0,9.079297
6,0.0,0.0,9.079906
17,0.0,1258.0,9.510111
17,0.0,1258.0,9.754087
17,0.0,1258.0,9.981794
6,0.0,0.0,10.285594
6,0.0,0.0,10.371674
6,0.0,0.0,10.372346
6,512.0,0.0,10.373243
6,5.0,0.0,10.373699
6,0.0,0.0,10.37491
17,0.0,1258.0,10.87126
17,0.0,1258.0,11.662902
17,0.0,1258.0,11.886503
17,0.0,1258.0,11.901679
17,0.0,1258.0,11.902253
17,0.0,1258.0,11.917028
6,101.0,0.0,13.050815
6,0.0,0.0,13.051344
6,1024.0,0.0,13.052887
6,1024.0,0.0,13.052935
6,0.0,0.0,13.053178
6,1024.0,0.0,13.053595
6,1024.0,0.0,13.053679
6,0.0,0.0,13.053845
6,155.0,0.0,13.054085
6,0.0,0.0,13.054234
6,1422.0,0.0,14.130086
6,4044.0,0.0,14.138094
6,0.0,0.0,14.139006
6,35.0,0.0,14.139857
6,0.0,0.0,14.140226
6,5392.0,0.0,14.144612
6,2696.0,0.0,14.150505
6,0.0,0.0,14.150828
6,1348.0,0.0,14.16246
6,4044.0,0.0,14.168781
6,0.0,0.0,14.16924
6,5392.0,0.0,14.175254
6,1348.0,0.0,14.179816
6,0.0,0.0,14.180177
6,9436.0,0.0,14.186812
6,5392.0,0.0,14.196311
6,0.0,0.0,14.196865
6,2696.0,0.0,14.20893
6,9436.0,0.0,14.215205
6,0.0,0.0,14.215517
6,6740.0,0.0,14.228033
6,1348.0,0.0,14.233019
6,0.0,0.0,14.233849
6,5172.0,0.0,14.242611
6,2696.0,0.0,14.246383
6,0.0,0.0,14.246974
6,5392.0,0.0,14.253554
6,5392.0,0.0,14.265633
6,0.0,0.0,14.26592
6,3707.0,0.0,14.274803
6,39.0,0.0,14.277316
6,0.0,0.0,14.277619
17,0.0,1258.0,14.364241
17,0.0,84.0,14.366123
17,0.0,1258.0,14.367533
17,0.0,86.0,14.36927
6,0.0,0.0,14.370962
6,0.0,0.0,14.374228
6,0.0,0.0,14.377088
6,0.0,0.0,14.379628
17,0.0,1258.0,14.49295
6,0.0,0.0,14.493292
6,0.0,0.0,14.493981
6,512.0,0.0,14.494932
6,247.0,0.0,14.495382
6,0.0,0.0,14.496008
6,0.0,0.0,14.506115
6,0.0,0.0,14.506479
6,0.0,0.0,14.506855
6,0.0,0.0,14.507207
6,0.0,0.0,14.507275
6,0.0,0.0,14.507328
6,512.0,0.0,14.507595
6,5.0,0.0,14.508024
