protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,2.013225
17,0.0,1258.0,4.033499
17,0.0,88.0,4.03424
6,0.0,0.0,4.036149
6,0.0,0.0,4.03793
6,0.0,0.0,4.129675
6,0.0,0.0,4.129908
6,783.0,0.0,4.130559
6,0.0,0.0,4.130719
6,0.0,0.0,4.142551
6,0.0,0.0,4.142796
6,783.0,0.0,4.143661
6,0.0,0.0,4.144017
17,0.0,1258.0,4.156718
17,0.0,794.0,4.156983
17,0.0,204.0,4.157095
17,0.0,1258.0,4.159147
17,0.0,81.0,4.159372
17,0.0,41.0,4.159505
17,0.0,753.0,4.161745
17,0.0,129.0,4.16275
17,0.0,1254.0,4.163065
17,0.0,1258.0,4.163234
17,0.0,1258.0,4.163354
17,0.0,785.0,4.16347
17,0.0,1254.0,4.163741
17,0.0,1258.0,4.163919
17,0.0,1258.0,4.16408
17,0.0,33.0,4.166642
17,0.0,1258.0,4.167172
17,0.0,934.0,4.167251
17,0.0,75.0,4.201878
17,0.0,1254.0,4.201918
17,0.0,1258.0,4.201949
17,0.0,1258.0,4.205667
17,0.0,1008.0,4.205763
6,0.0,0.0,4.233906
6,384.0,0.0,4.24348
6,0.0,0.0,4.243706
6,74.0,0.0,4.244235
6,0.0,0.0,4.24439
6,384.0,0.0,4.261665
6,0.0,0.0,4.262314
6,74.0,0.0,4.262721
6,0.0,0.0,4.262783
17,0.0,138.0,4.26342
17,0.0,1254.0,4.263832
17,0.0,1258.0,4.263939
17,0.0,1258.0,4.268123
17,0.0,1258.0,4.268236
17,0.0,126.0,4.268626
17,0.0,37.0,4.269454
17,0.0,33.0,4.26978
17,0.0,37.0,4.269874
17,0.0,1258.0,4.269922
17,0.0,1258.0,4.269985
17,0.0,33.0,4.270023
17,0.0,33.0,4.270073
17,0.0,1258.0,4.274847
17,0.0,126.0,4.274947
17,0.0,37.0,4.308689
17,0.0,33.0,4.309974
17,0.0,1254.0,4.320648
17,0.0,1258.0,4.320692
17,0.0,43.0,4.321265
17,0.0,1258.0,4.32382
17,0.0,41.0,4.324318
17,0.0,1258.0,4.326662
6,0.0,0.0,4.328759
6,0.0,0.0,4.329054
6,517.0,0.0,4.329699
6,0.0,0.0,4.329984
17,0.0,1258.0,4.330681
17,0.0,41.0,4.331093
17,0.0,1258.0,4.333657
6,974.0,0.0,4.335594
17,0.0,1258.0,4.336526
17,0.0,41.0,4.337139
17,0.0,1258.0,4.339496
17,0.0,1258.0,4.342442
17,0.0,41.0,4.342711
17,0.0,945.0,4.34559
17,0.0,1258.0,4.347616
17,0.0,43.0,4.348136
17,0.0,1258.0,4.351724
17,0.0,1258.0,4.353747
17,0.0,41.0,4.354187
17,0.0,1258.0,4.358532
17,0.0,1258.0,4.360547
17,0.0,41.0,4.360786
17,0.0,1258.0,4.363577
17,0.0,1258.0,4.365619
17,0.0,41.0,4.366006
17,0.0,33.0,4.367507
17,0.0,33.0,4.368401
17,0.0,33.0,4.368448
17,0.0,1258.0,4.369611
17,0.0,33.0,4.36966
6,974.0,0.0,4.371463
17,0.0,1258.0,4.372477
17,0.0,41.0,4.372754
17,0.0,451.0,4.375613
6,0.0,0.0,4.376953
17,0.0,41.0,4.4013
6,0.0,0.0,4.412962
17,0.0,33.0,4.437618
6,1388.0,0.0,4.442757
6,0.0,0.0,4.442926
6,5526.0,0.0,4.450836
6,0.0,0.0,4.450969
6,74.0,0.0,4.466253
6,0.0,0.0,4.466404
6,98.0,0.0,4.466652
6,0.0,0.0,4.466687
6,753.0,0.0,4.467359
6,0.0,0.0,4.467402
6,978.0,0.0,4.566468
6,31.0,0.0,4.569352
6,0.0,0.0,4.569433
6,31.0,0.0,4.587629
17,0.0,131.0,4.609626
17,0.0,1254.0,4.609911
17,0.0,1258.0,4.610026
17,0.0,1258.0,4.610069
17,0.0,650.0,4.610103
6,0.0,0.0,4.62901
17,0.0,1254.0,4.677686
17,0.0,43.0,4.67848
17,0.0,1258.0,4.67852
17,0.0,1258.0,4.678543
17,0.0,1258.0,4.678556
17,0.0,1258.0,4.678571
17,0.0,1258.0,4.67858
17,0.0,1258.0,4.678591
17,0.0,1258.0,4.678602
17,0.0,1258.0,4.678611
17,0.0,41.0,4.680737
17,0.0,41.0,4.6809
17,0.0,41.0,4.680942
17,0.0,41.0,4.680971
17,0.0,1258.0,4.681008
17,0.0,1258.0,4.681111
17,0.0,1258.0,4.68115
17,0.0,41.0,4.681994
17,0.0,1258.0,4.682103
17,0.0,1258.0,4.682182
17,0.0,41.0,4.682656
17,0.0,1258.0,4.685586
17,0.0,1258.0,4.68569
17,0.0,41.0,4.686526
17,0.0,1258.0,4.698692
6,3269.0,0.0,4.698798
6,0.0,0.0,4.6989
17,0.0,1258.0,4.698915
17,0.0,1258.0,4.698951
17,0.0,1258.0,4.698982
17,0.0,1258.0,4.699018
17,0.0,1258.0,4.699059
17,0.0,41.0,4.699093
17,0.0,41.0,4.699708
17,0.0,41.0,4.699752
17,0.0,1258.0,4.700435
6,1060.0,0.0,4.700506
6,0.0,0.0,4.700575
17,0.0,1258.0,4.700586
17,0.0,41.0,4.701289
6,39.0,0.0,4.702848
6,0.0,0.0,4.703011
6,39.0,0.0,4.703347
6,0.0,0.0,4.703429
17,0.0,1258.0,4.704545
17,0.0,1258.0,4.704642
17,0.0,41.0,4.704959
17,0.0,1258.0,4.708745
17,0.0,1258.0,4.708895
17,0.0,41.0,4.70922
17,0.0,1258.0,4.711751
17,0.0,1258.0,4.711841
17,0.0,41.0,4.712145
17,0.0,522.0,4.723718
17,0.0,35.0,4.723835
17,0.0,33.0,4.723883
17,0.0,41.0,4.724309
17,0.0,147.0,4.745011
17,0.0,1254.0,4.745272
