protocol,tcp_bytes,quic_bytes,real_time
6,0.0,0.0,0.0
6,0.0,0.0,0.993123
6,0.0,0.0,3.009245
17,0.0,1258.0,3.609735
6,0.0,0.0,3.611358
17,0.0,83.0,3.612675
6,0.0,0.0,3.709148
6,0.0,0.0,3.709284
6,768.0,0.0,3.709985
6,15.0,0.0,3.710086
6,0.0,0.0,3.710184
17,0.0,1258.0,3.74505
17,0.0,1258.0,3.755306
6,0.0,0.0,3.757348
17,0.0,86.0,3.758739
17,0.0,1258.0,3.792141
17,0.0,792.0,3.792211
17,0.0,87.0,3.793486
17,0.0,41.0,3.793544
17,0.0,710.0,3.793565
17,0.0,1254.0,3.793581
17,0.0,1258.0,3.793595
17,0.0,1258.0,3.793615
17,0.0,572.0,3.793626
17,0.0,206.0,3.793907
17,0.0,33.0,3.793939
6,0.0,0.0,3.81688
6,0.0,0.0,3.816989
6,768.0,0.0,3.817856
6,0.0,0.0,3.81796
6,19.0,0.0,3.818056
6,0.0,0.0,3.818147
17,0.0,42.0,3.819704
6,384.0,0.0,3.834116
6,0.0,0.0,3.83429
6,74.0,0.0,3.834654
6,0.0,0.0,3.83471
17,0.0,1258.0,3.84223
17,0.0,33.0,3.855523
17,0.0,37.0,3.855619
17,0.0,41.0,3.855893
17,0.0,128.0,3.860587
17,0.0,33.0,3.860639
17,0.0,41.0,3.860957
17,0.0,33.0,3.866399
17,0.0,125.0,3.872732
17,0.0,1254.0,3.872803
17,0.0,1258.0,3.872839
17,0.0,1258.0,3.87286
17,0.0,450.0,3.872872
6,974.0,0.0,3.872896
17,0.0,1258.0,3.889969
17,0.0,808.0,3.890029
17,0.0,130.0,3.892137
17,0.0,86.0,3.892198
17,0.0,41.0,3.892216
17,0.0,1254.0,3.892229
17,0.0,1258.0,3.892239
17,0.0,1258.0,3.892258
17,0.0,436.0,3.892268
17,0.0,672.0,3.892279
17,0.0,194.0,3.892292
17,0.0,33.0,3.892325
6,0.0,0.0,3.912893
17,0.0,42.0,3.917805
17,0.0,35.0,3.941554
17,0.0,33.0,3.941631
17,0.0,33.0,3.944555
17,0.0,33.0,3.944612
17,0.0,41.0,3.944983
17,0.0,128.0,3.956397
17,0.0,33.0,3.960553
17,0.0,37.0,3.960628
17,0.0,33.0,3.960655
17,0.0,41.0,3.961465
6,386.0,0.0,3.963812
6,0.0,0.0,3.964222
6,74.0,0.0,3.96519
6,0.0,0.0,3.965343
6,978.0,0.0,4.016326
17,0.0,1254.0,4.039632
17,0.0,942.0,4.039749
17,0.0,43.0,4.040547
17,0.0,54.0,4.044
17,0.0,41.0,4.044598
6,0.0,0.0,4.052862
17,0.0,1254.0,4.064555
17,0.0,1258.0,4.064611
17,0.0,1258.0,4.064627
17,0.0,1258.0,4.064646
17,0.0,1258.0,4.064655
17,0.0,43.0,4.06552
17,0.0,41.0,4.065578
17,0.0,41.0,4.065591
17,0.0,1258.0,4.070082
17,0.0,1258.0,4.070146
17,0.0,1258.0,4.070164
17,0.0,41.0,4.070592
17,0.0,1258.0,4.073081
17,0.0,662.0,4.07314
17,0.0,41.0,4.073861
17,0.0,1254.0,4.078013
17,0.0,43.0,4.078819
17,0.0,1258.0,4.089106
17,0.0,755.0,4.094107
17,0.0,41.0,4.09455
17,0.0,41.0,4.098972
17,0.0,33.0,4.100548
17,0.0,134.0,4.100588
17,0.0,41.0,4.126563
17,0.0,33.0,4.155009
17,0.0,1254.0,5.055004
17,0.0,1258.0,5.055921
17,0.0,43.0,5.059369
17,0.0,1258.0,5.060762
17,0.0,1258.0,5.060931
17,0.0,1258.0,5.06102
17,0.0,1258.0,5.061103
17,0.0,41.0,5.061193
17,0.0,1258.0,5.061376
17,0.0,41.0,5.061472
17,0.0,1258.0,5.061576
17,0.0,41.0,5.06167
17,0.0,1258.0,5.06177
17,0.0,1258.0,5.061857
17,0.0,1258.0,5.061941
17,0.0,1258.0,5.062022
17,0.0,596.0,5.062102
17,0.0,41.0,5.062187
17,0.0,41.0,5.063138
17,0.0,41.0,5.063233
17,0.0,1253.0,5.067015
17,0.0,1258.0,5.067206
17,0.0,1258.0,5.067306
17,0.0,1258.0,5.067386
17,0.0,1258.0,5.067464
17,0.0,1258.0,5.067542
17,0.0,41.0,5.069393
17,0.0,41.0,5.069476
